year,cod_ine,nom_mun,nom_prov,poblacion,ganador,ganador_por,color,ganador_bloque,ganador_por_bloque,color_bloque,partido_1,partido_2,partido_3,partido_4,partido_5,partido_7,partido_8,partido_99
2012,25251,Vilanova de Segrià,Lleida,694,CiU,50,#1e4a8e,Nacionalismo/independentismo,71.47,#18a1cd,50,6.25,19.17,9.79,4.38,1.88,0.42,2.3
2012,25252,Vila-sana,Lleida,533,CiU,53.26,#1e4a8e,Nacionalismo/independentismo,76.76,#18a1cd,53.26,4.96,18.02,10.97,3.39,3.39,2.09,1.04
2012,25253,El Vilosell,Lleida,162,CiU,57.14,#1e4a8e,Nacionalismo/independentismo,84.28,#18a1cd,57.14,0.71,20,5,6.43,5.71,1.43,0
2012,25254,Vilanova de la Barca,Lleida,759,CiU,43.38,#1e4a8e,Nacionalismo/independentismo,64.7,#18a1cd,43.38,14.89,19.3,11.03,3.68,1.1,0.92,1.64
2012,25255,Vinaixa,Lleida,466,CiU,43.8,#1e4a8e,Nacionalismo/independentismo,72.73,#18a1cd,43.8,8.26,21.21,8.82,2.48,6.34,1.38,1.65
2012,25901,Vall de Cardós,Lleida,309,CiU,50,#1e4a8e,Nacionalismo/independentismo,78.04,#18a1cd,50,6.07,21.96,10.28,0.47,5.61,0.47,0.94
2012,25902,Sant Martí de Riucorb,Lleida,582,CiU,46.52,#1e4a8e,Nacionalismo/independentismo,73.03,#18a1cd,46.52,1.57,21.35,17.53,2.25,4.04,1.12,3.37
2012,25903,La Guingueta d'Àneu,Lleida,246,CiU,51.67,#1e4a8e,Nacionalismo/independentismo,81.68,#18a1cd,51.67,4.44,22.78,3.89,9.44,6.67,0.56,0
2012,25904,Castell de Mur,Lleida,142,CiU,50.88,#1e4a8e,Nacionalismo/independentismo,80.7,#18a1cd,50.88,5.26,24.56,3.51,7.02,3.51,1.75,0.88
2012,25905,Ribera d'Ondara,Lleida,366,CiU,54.74,#1e4a8e,Nacionalismo/independentismo,75.17,#18a1cd,54.74,3.65,17.88,13.14,3.28,0.73,1.82,1.09
2012,25906,Les Valls d'Aguilar,Lleida,241,CiU,43.29,#1e4a8e,Nacionalismo/independentismo,75.61,#18a1cd,43.29,8.54,28.05,6.71,6.1,4.27,0,0
2012,25907,Torrefeta i Florejacs,Lleida,508,CiU,47.41,#1e4a8e,Nacionalismo/independentismo,81.73,#18a1cd,47.41,3.54,28.88,7.9,4.36,3.81,1.63,1.08
2012,25908,Fígols i Alinyà,Lleida,237,CiU,50.57,#1e4a8e,Nacionalismo/independentismo,81.25,#18a1cd,50.57,5.68,20.45,5.68,4.55,6.25,3.98,0
2012,25909,La Vansa i Fórnols,Lleida,147,CiU,51.79,#1e4a8e,Nacionalismo/independentismo,81.25,#18a1cd,51.79,4.46,17.86,3.57,8.93,10.71,0.89,0.89
2012,25910,Josa i Tuixén,Lleida,122,CiU,46.15,#1e4a8e,Nacionalismo/independentismo,87.91,#18a1cd,46.15,4.4,29.67,3.3,3.3,2.2,9.89,0
2012,25911,Els Plans de Sió,Lleida,465,CiU,56.73,#1e4a8e,Nacionalismo/independentismo,83.93,#18a1cd,56.73,2.63,23.98,3.8,2.05,2.05,1.17,1.46
2012,25912,Gimenells i el Pla de la Font,Lleida,890,CiU,32.44,#1e4a8e,No nacionalistas,52,#fa8c00,32.44,18.56,10.7,20.57,4.85,2.34,0.67,3
2012,25913,Riu de Cerdanya,Lleida,101,CiU,66.29,#1e4a8e,Nacionalismo/independentismo,91,#18a1cd,66.29,1.12,19.1,3.37,2.25,1.12,4.49,0
2012,25998,Residents Absents,Lleida,12649,CiU,44.99,#1e4a8e,Nacionalismo/independentismo,69.7,#18a1cd,44.99,9.13,20.82,9.02,6.24,1.89,2,3.12
2012,43001,Aiguamúrcia,Tarragona,696,CiU,38.25,#1e4a8e,Nacionalismo/independentismo,65.14,#18a1cd,38.25,9.36,19.72,10.36,7.37,4.38,2.59,2.19
2012,43002,Albinyana,Tarragona,1802,CiU,32.41,#1e4a8e,No nacionalistas,53.6,#fa8c00,32.41,21.61,8.96,15.83,7.12,2.43,1.09,2.93
2012,43003,L'Albiol,Tarragona,319,CiU,37.05,#1e4a8e,Nacionalismo/independentismo,54.02,#18a1cd,37.05,19.2,8.93,8.93,6.25,6.7,1.34,4.04
2012,43004,Alcanar,Tarragona,6370,CiU,31.06,#1e4a8e,Nacionalismo/independentismo,65.17,#18a1cd,31.06,9.06,28.55,14.2,5.09,3.92,1.59,1.93
2012,43005,Alcover,Tarragona,3597,CiU,38.17,#1e4a8e,Nacionalismo/independentismo,63.29,#18a1cd,38.17,10.61,15.53,10.01,6.85,3.94,5.52,2.4
2012,43006,Aldover,Tarragona,711,CiU,33.48,#1e4a8e,Nacionalismo/independentismo,57.61,#18a1cd,33.48,16.74,18.26,11.52,5.65,4.57,1.3,1.96
2012,43007,L'Aleixar,Tarragona,632,CiU,49.38,#1e4a8e,Nacionalismo/independentismo,77.09,#18a1cd,49.38,4.38,21.46,8.33,6.25,4.79,1.46,1.05
2012,43008,Alfara de Carles,Tarragona,320,CiU,27.66,#1e4a8e,Nacionalismo/independentismo,50,#18a1cd,27.66,19.68,17.55,18.62,1.6,4.79,0,2.6500000000000004
2012,43009,Alforja,Tarragona,1417,CiU,38.86,#1e4a8e,Nacionalismo/independentismo,67.88,#18a1cd,38.86,9.84,21.35,5.49,9.12,5.18,2.49,2.8000000000000003
2012,43010,Alió,Tarragona,322,CiU,46.39,#1e4a8e,Nacionalismo/independentismo,70.72,#18a1cd,46.39,9.51,17.11,7.98,4.56,5.32,1.9,3.42
2012,43011,Almoster,Tarragona,1033,CiU,44.57,#1e4a8e,Nacionalismo/independentismo,71.86,#18a1cd,44.57,5.19,19.32,9.06,4.23,5.68,2.17,1.44
2012,43012,Altafulla,Tarragona,3469,CiU,32.57,#1e4a8e,Nacionalismo/independentismo,52.95,#18a1cd,32.57,10.82,15.34,11.64,12.04,1.85,3.11,2.79
2012,43013,L'Ametlla de Mar,Tarragona,4368,CiU,39.84,#1e4a8e,Nacionalismo/independentismo,65.6,#18a1cd,39.84,7.37,22.9,13.19,6.27,1.21,1.58,2.62
2012,43014,Amposta,Tarragona,14131,CiU,37.16,#1e4a8e,Nacionalismo/independentismo,63.8,#18a1cd,37.16,10.77,20.52,9.61,6.5,4.49,1.61,4.52
2012,43015,Arbolí,Tarragona,104,CiU,50.6,#1e4a8e,Nacionalismo/independentismo,95.17,#18a1cd,50.6,0,32.53,0,3.61,10.84,1.2,0
2012,43016,L'Arboç,Tarragona,3414,CiU,25.85,#1e4a8e,No nacionalistas,52.79,#fa8c00,25.85,20.51,11.57,12.62,7.62,7.49,1.05,4.72
2012,43017,L'Argentera,Tarragona,143,CiU,52.21,#1e4a8e,Nacionalismo/independentismo,78.76,#18a1cd,52.21,5.31,19.47,2.65,7.96,7.08,0,4.42
2012,43018,Arnes,Tarragona,428,CiU,63.82,#1e4a8e,Nacionalismo/independentismo,92.35,#18a1cd,63.82,0.59,25.88,3.24,1.18,2.06,0.59,0.29
2012,43019,Ascó,Tarragona,1350,CiU,43.17,#1e4a8e,Nacionalismo/independentismo,66.85,#18a1cd,43.17,11.73,18.79,10.93,3.99,2.96,1.82,2.16
2012,43020,Banyeres del Penedès,Tarragona,2148,CiU,28.02,#1e4a8e,No nacionalistas,55.42,#fa8c00,28.02,17.18,11.72,14.72,9.41,2.52,0.68,4.43
2012,43021,Barberà de la Conca,Tarragona,382,CiU,34.03,#1e4a8e,Nacionalismo/independentismo,71.85,#18a1cd,34.03,9.24,21.01,6.3,6.72,16.39,0.42,2.94
2012,43022,Batea,Tarragona,1549,CiU,33.03,#1e4a8e,Nacionalismo/independentismo,56.73,#18a1cd,33.03,12.81,20.22,18.85,6.13,1.92,1.56,0.91
2012,43023,Bellmunt del Priorat,Tarragona,241,CiU,33.52,#1e4a8e,Nacionalismo/independentismo,67.04,#18a1cd,33.52,18.18,18.75,2.84,6.25,14.2,0.57,2.8499999999999996
