year,cod_ine,nom_mun,nom_prov,poblacion,ganador,ganador_por,color,ganador_bloque,ganador_por_bloque,color_bloque,votos_partido_2,votos_partido_3,votos_partido_4,votos_partido_5,votos_partido_6,votos_partido_7,votos_partido_8,votos_partido_99,por_voto_partido_2,por_voto_partido_3,por_voto_partido_4,por_voto_partido_5,por_voto_partido_6,por_voto_partido_7,por_voto_partido_8,por_voto_partido_99
2017,08001,Abrera,Barcelona,8965,Cs,33.6,#da5b1f,No nacionalistas,70.1,#18a1cd,634,1411,1487,815,198,321,NA,158,8.3,18.5,19.5,10.7,2.6,4.2,NA,2.1
2017,08002,Aguilar de Segarra,Barcelona,215,JxCat,46,#00c4b2,Nacionalismo/independentismo,86.5,#fa8c00,85,37,9,1,38,3,NA,0,46,20,4.9,0.5,20.5,1.6,NA,0
2017,08003,Alella,Barcelona,7142,JxCat,30.8,#00c4b2,Nacionalismo/independentismo,58.9,#fa8c00,1860,1466,609,331,235,211,NA,56,30.8,24.3,10.1,5.5,3.9,3.5,NA,0.9
2017,08004,Alpens,Barcelona,212,JxCat,62.6,#00c4b2,Nacionalismo/independentismo,91.8,#fa8c00,122,40,8,6,17,0,NA,0,62.6,20.5,4.1,3.1,8.7,0,NA,0
2017,08005,L'Ametlla del Vallès,Barcelona,6317,JxCat,36.5,#00c4b2,Nacionalismo/independentismo,64.2,#fa8c00,1966,1296,450,261,202,125,NA,52,36.5,24,8.3,4.8,3.7,2.3,NA,1
2017,08006,Arenys de Mar,Barcelona,11669,JxCat,32.5,#00c4b2,Nacionalismo/independentismo,63.6,#fa8c00,3068,2439,872,447,489,318,NA,72,32.5,25.9,9.2,4.7,5.2,3.4,NA,0.8
2017,08007,Arenys de Munt,Barcelona,6624,JxCat,37.6,#00c4b2,Nacionalismo/independentismo,71.8,#fa8c00,2107,1595,346,265,323,104,NA,46,37.6,28.5,6.2,4.7,5.8,1.9,NA,0.8
2017,08008,Argençola,Barcelona,190,JxCat,44.9,#00c4b2,Nacionalismo/independentismo,85.4,#fa8c00,71,47,3,3,17,3,NA,2,44.9,29.8,1.9,1.9,10.8,1.9,NA,1.3
2017,08009,Argentona,Barcelona,9291,JxCat,29.3,#00c4b2,Nacionalismo/independentismo,58.3,#fa8c00,2349,1838,791,431,491,284,NA,71,29.3,22.9,9.8,5.4,6.1,3.5,NA,0.9
2017,08010,Artés,Barcelona,4218,JxCat,33.3,#00c4b2,Nacionalismo/independentismo,69,#fa8c00,1197,1023,265,133,261,88,NA,29,33.3,28.4,7.4,3.7,7.2,2.5,NA,0.8
2017,08011,Avià,Barcelona,1756,JxCat,47.8,#00c4b2,Nacionalismo/independentismo,87.2,#fa8c00,730,467,48,27,136,23,NA,1,47.8,30.6,3.1,1.8,8.9,1.5,NA,0.1
2017,08012,Avinyó,Barcelona,1697,JxCat,47.4,#00c4b2,Nacionalismo/independentismo,83.3,#fa8c00,680,415,51,25,100,39,NA,3,47.4,28.9,3.5,1.7,7,2.7,NA,0.2
