year,cod_ine,nom_mun,nom_prov,poblacion,ganador,ganador_por,color,ganador_bloque,ganador_por_bloque,color_bloque,votos_partido_1,votos_partido_3,votos_partido_4,votos_partido_5,votos_partido_6,votos_partido_7,votos_partido_8,votos_partido_99,por_voto_partido_1,por_voto_partido_3,por_voto_partido_4,por_voto_partido_5,por_voto_partido_6,por_voto_partido_7,por_voto_partido_8,por_voto_partido_99
2015,08001,Abrera,Barcelona,8828,Cs,25.1,#da5b1f,No nacionalistas,67.2,#fa8c00,1685,1275,938,619,453,NA,NA,264,23.9,18.1,13.3,8.8,6.4,NA,NA,3.7
2015,08002,Aguilar de Segarra,Barcelona,203,JxSí,73.8,#00c4b2,Nacionalismo/independentismo,90.9,#18a1cd,121,0,5,4,18,NA,NA,11,73.8,0,3,2.4,11,NA,NA,6.7
2015,08003,Alella,Barcelona,7118,JxSí,53.6,#00c4b2,Nacionalismo/independentismo,65.2,#18a1cd,3149,382,264,481,469,NA,NA,245,53.6,6.5,4.5,8.2,8,NA,NA,4.2
2015,08004,Alpens,Barcelona,234,JxSí,80.3,#00c4b2,Nacionalismo/independentismo,96.3,#18a1cd,175,3,4,0,29,NA,NA,6,80.3,1.4,1.8,0,13.3,NA,NA,2.8
2015,08005,L'Ametlla del Vallès,Barcelona,6157,JxSí,58.7,#00c4b2,Nacionalismo/independentismo,69.3,#18a1cd,2966,291,261,288,379,NA,NA,191,58.7,5.8,5.2,5.7,7.5,NA,NA,3.8
2015,08006,Arenys de Mar,Barcelona,11433,JxSí,54.2,#00c4b2,Nacionalismo/independentismo,66.2,#18a1cd,4758,780,493,687,803,NA,NA,308,54.2,8.9,5.6,7.8,9.2,NA,NA,3.5
2015,08007,Arenys de Munt,Barcelona,6514,JxSí,62.1,#00c4b2,Nacionalismo/independentismo,74.2,#18a1cd,3312,348,235,282,513,NA,NA,167,62.1,6.5,4.4,5.3,9.6,NA,NA,3.1
2015,08008,Argençola,Barcelona,188,JxSí,65.5,#00c4b2,Nacionalismo/independentismo,89.2,#18a1cd,97,1,0,8,27,NA,NA,10,65.5,0.7,0,5.4,18.2,NA,NA,6.8
2015,08009,Argentona,Barcelona,9123,JxSí,48.3,#00c4b2,Nacionalismo/independentismo,61.9,#18a1cd,3590,674,389,595,797,NA,NA,284,48.3,9.1,5.2,8,10.7,NA,NA,3.8
2015,08010,Artés,Barcelona,4198,JxSí,59.8,#00c4b2,Nacionalismo/independentismo,72.4,#18a1cd,2004,254,144,153,338,NA,NA,104,59.8,7.6,4.3,4.6,10.1,NA,NA,3.1
2015,08011,Avià,Barcelona,1756,JxSí,75,#00c4b2,Nacionalismo/independentismo,89.5,#18a1cd,1127,31,41,33,176,NA,NA,42,75,2.1,2.7,2.2,11.7,NA,NA,2.8
2015,08012,Avinyó,Barcelona,1674,JxSí,73.8,#00c4b2,Nacionalismo/independentismo,86.2,#18a1cd,1055,74,23,54,122,NA,NA,56,73.8,5.2,1.6,3.8,8.5,NA,NA,3.9
2015,08013,Avinyonet del Penedès,Barcelona,1224,JxSí,61,#00c4b2,Nacionalismo/independentismo,70.6,#18a1cd,604,73,49,50,80,NA,NA,22,61,7.4,4.9,5,8.1,NA,NA,2.2
2015,08014,Aiguafreda,Barcelona,1959,JxSí,64.2,#00c4b2,Nacionalismo/independentismo,77.2,#18a1cd,1048,108,83,84,159,NA,NA,63,64.2,6.6,5.1,5.1,9.7,NA,NA,3.9
2015,08015,Badalona,Barcelona,155911,JxSí,24.6,#00c4b2,No nacionalistas,66.9,#fa8c00,28782,17022,13335,26642,7621,NA,NA,3523,24.6,14.5,11.4,22.7,6.5,NA,NA,3
2015,08016,Bagà,Barcelona,1824,JxSí,60.6,#00c4b2,Nacionalismo/independentismo,74.2,#18a1cd,898,154,48,51,156,NA,NA,48,60.6,10.4,3.2,3.4,10.5,NA,NA,3.2
2015,08017,Balenyà,Barcelona,2755,JxSí,58.6,#00c4b2,Nacionalismo/independentismo,70.2,#18a1cd,1300,238,99,111,201,NA,NA,76,58.6,10.7,4.5,5,9.1,NA,NA,3.4
2015,08018,Balsareny,Barcelona,2651,JxSí,49.5,#00c4b2,Nacionalismo/independentismo,61.3,#18a1cd,1032,227,176,93,197,NA,NA,70,49.5,10.9,8.4,4.5,9.4,NA,NA,3.4
2015,08019,Barcelona,Barcelona,1141061,JxSí,37.2,#00c4b2,Nacionalismo/independentismo,50.3,#18a1cd,326376,100806,85841,80529,87774,NA,NA,36068,37.2,11.5,9.8,9.2,10,NA,NA,4.1
2015,08020,Begues,Barcelona,4863,JxSí,47.4,#00c4b2,Nacionalismo/independentismo,59.9,#18a1cd,1937,297,332,260,403,NA,NA,144,47.4,7.3,8.1,6.4,9.9,NA,NA,3.5
2015,08021,Bellprat,Barcelona,69,JxSí,56.1,#00c4b2,Nacionalismo/independentismo,71.9,#18a1cd,32,5,4,0,6,NA,NA,3,56.1,8.8,7,0,10.5,NA,NA,5.3
2015,08022,Berga,Barcelona,12261,JxSí,64.8,#00c4b2,Nacionalismo/independentismo,79,#18a1cd,6158,617,361,490,1117,NA,NA,291,64.8,6.5,3.8,5.2,11.8,NA,NA,3.1
2015,08023,Bigues i Riells,Barcelona,6663,JxSí,44.7,#00c4b2,Nacionalismo/independentismo,55.1,#18a1cd,2337,440,455,415,411,NA,NA,196,44.7,8.4,8.7,7.9,7.8,NA,NA,3.7
2015,08024,Borredà,Barcelona,386,JxSí,67,#00c4b2,Nacionalismo/independentismo,88.2,#18a1cd,221,21,0,7,52,NA,NA,18,67,6.4,0,2.1,15.8,NA,NA,5.4
2015,08025,El Bruc,Barcelona,1486,JxSí,45.6,#00c4b2,Nacionalismo/independentismo,64.5,#18a1cd,539,96,83,71,190,NA,NA,42,45.6,8.1,7,6,16.1,NA,NA,3.6
2015,08026,El Brull,Barcelona,188,JxSí,76.7,#00c4b2,Nacionalismo/independentismo,92.2,#18a1cd,128,0,4,4,22,NA,NA,4,76.7,0,2.4,2.4,13.2,NA,NA,2.4
2015,08027,Les Cabanyes,Barcelona,690,JxSí,57.6,#00c4b2,Nacionalismo/independentismo,69.8,#18a1cd,338,51,29,36,63,NA,NA,11,57.6,8.7,4.9,6.1,10.7,NA,NA,1.9
2015,08028,Cabrera d'Anoia,Barcelona,1038,JxSí,28.9,#00c4b2,No nacionalistas,61,#fa8c00,220,160,116,83,64,NA,NA,23,28.9,21,15.2,10.9,8.4,NA,NA,3
2015,08029,Cabrera de Mar,Barcelona,3431,JxSí,59.5,#00c4b2,Nacionalismo/independentismo,72,#18a1cd,1769,174,93,194,230,NA,NA,153,59.5,5.9,3.1,6.5,7.7,NA,NA,5.2
2015,08030,Cabrils,Barcelona,5092,JxSí,59.9,#00c4b2,Nacionalismo/independentismo,71.4,#18a1cd,2580,200,142,225,342,NA,NA,177,59.9,4.6,3.3,5.2,7.9,NA,NA,4.1
2015,08031,Calaf,Barcelona,2304,JxSí,61.8,#00c4b2,Nacionalismo/independentismo,72.6,#18a1cd,1171,156,97,136,128,NA,NA,89,61.8,8.2,5.1,7.2,6.8,NA,NA,4.7
2015,08032,Caldes d'Estrac,Barcelona,1990,JxSí,53.2,#00c4b2,Nacionalismo/independentismo,65.6,#18a1cd,825,174,87,91,133,NA,NA,68,53.2,11.2,5.6,5.9,8.6,NA,NA,4.4
2015,08033,Caldes de Montbui,Barcelona,12781,JxSí,48,#00c4b2,Nacionalismo/independentismo,59.8,#18a1cd,4871,1127,694,670,930,NA,NA,359,48,11.1,6.8,6.6,9.2,NA,NA,3.6
2015,08034,Calders,Barcelona,765,JxSí,75.2,#00c4b2,Nacionalismo/independentismo,86.7,#18a1cd,476,28,12,28,63,NA,NA,10,75.2,4.4,1.9,4.4,9.9,NA,NA,1.6
2015,08035,Calella,Barcelona,12425,JxSí,52.2,#00c4b2,Nacionalismo/independentismo,62.8,#18a1cd,4886,914,513,748,744,NA,NA,359,52.2,9.8,5.5,8,8,NA,NA,3.8
2015,08036,Calonge de Segarra,Barcelona,160,JxSí,78.8,#00c4b2,Nacionalismo/independentismo,89.4,#18a1cd,104,4,2,3,8,NA,NA,6,78.8,3,1.5,2.3,6.1,NA,NA,4.6
2015,08037,Calldetenes,Barcelona,1851,JxSí,76.6,#00c4b2,Nacionalismo/independentismo,87.4,#18a1cd,1220,49,31,59,137,NA,NA,39,76.6,3.1,2,3.7,8.6,NA,NA,2.5
2015,08038,Callús,Barcelona,1475,JxSí,64.5,#00c4b2,Nacionalismo/independentismo,75.4,#18a1cd,749,82,60,37,103,NA,NA,28,64.5,7.1,5.2,3.2,8.9,NA,NA,2.4
2015,08039,Campins,Barcelona,359,JxSí,64.3,#00c4b2,Nacionalismo/independentismo,82,#18a1cd,193,7,20,8,48,NA,NA,8,64.3,2.3,6.7,2.7,16,NA,NA,2.7
2015,08040,Canet de Mar,Barcelona,10716,JxSí,52.7,#00c4b2,Nacionalismo/independentismo,64.2,#18a1cd,4370,700,496,683,738,NA,NA,296,52.7,8.4,6,8.2,8.9,NA,NA,3.6
2015,08041,Canovelles,Barcelona,10315,Cs,28,#da5b1f,No nacionalistas,71.3,#fa8c00,1649,1637,752,784,354,NA,NA,259,21.7,21.5,9.9,10.3,4.7,NA,NA,3.4
2015,08042,Cànoves i Samalús,Barcelona,2234,JxSí,36.4,#00c4b2,No nacionalistas,51.9,#fa8c00,665,238,155,215,174,NA,NA,51,36.4,13,8.5,11.8,9.5,NA,NA,2.8
2015,08043,Canyelles,Barcelona,3192,JxSí,34.5,#00c4b2,No nacionalistas,55.8,#fa8c00,824,331,236,213,174,NA,NA,70,34.5,13.9,9.9,8.9,7.3,NA,NA,2.9
2015,08044,Capellades,Barcelona,4162,JxSí,41.3,#00c4b2,Nacionalismo/independentismo,59.1,#18a1cd,1374,442,175,253,502,NA,NA,127,41.3,13.3,5.3,7.6,15.1,NA,NA,3.8
2015,08045,Capolat,Barcelona,72,JxSí,65.6,#00c4b2,Nacionalismo/independentismo,83.6,#18a1cd,40,0,7,1,9,NA,NA,3,65.6,0,11.5,1.6,14.8,NA,NA,4.9
2015,08046,Cardedeu,Barcelona,13200,JxSí,48.6,#00c4b2,Nacionalismo/independentismo,63.9,#18a1cd,5174,922,707,635,1384,NA,NA,348,48.6,8.7,6.6,6,13,NA,NA,3.3
2015,08047,Cardona,Barcelona,3991,JxSí,49.7,#00c4b2,Nacionalismo/independentismo,61.4,#18a1cd,1511,406,115,217,212,NA,NA,160,49.7,13.4,3.8,7.1,7,NA,NA,5.3
2015,08048,Carme,Barcelona,591,JxSí,71.5,#00c4b2,Nacionalismo/independentismo,82.7,#18a1cd,356,26,13,20,38,NA,NA,20,71.5,5.2,2.6,4,7.6,NA,NA,4
2015,08049,Casserres,Barcelona,1294,JxSí,71.7,#00c4b2,Nacionalismo/independentismo,87.5,#18a1cd,778,31,23,56,128,NA,NA,45,71.7,2.9,2.1,5.2,11.8,NA,NA,4.1
2015,08050,Castellar del Riu,Barcelona,143,JxSí,85.2,#00c4b2,Nacionalismo/independentismo,91.8,#18a1cd,104,3,0,2,6,NA,NA,2,85.2,2.5,0,1.6,4.9,NA,NA,1.6
2015,08051,Castellar del Vallès,Barcelona,17839,JxSí,44,#00c4b2,Nacionalismo/independentismo,55.4,#18a1cd,6358,1733,1272,816,1327,NA,NA,454,44,12,8.8,5.6,9.2,NA,NA,3.1
2015,08052,Castellar de n'Hug,Barcelona,140,JxSí,73.8,#00c4b2,Nacionalismo/independentismo,93.4,#18a1cd,90,0,2,3,17,NA,NA,7,73.8,0,1.6,2.5,13.9,NA,NA,5.7
2015,08053,Castellbell i el Vilar,Barcelona,2797,JxSí,44.3,#00c4b2,Nacionalismo/independentismo,53.7,#18a1cd,925,356,152,168,139,NA,NA,81,44.3,17.1,7.3,8.1,6.7,NA,NA,3.9
2015,08054,Castellbisbal,Barcelona,8986,JxSí,33.8,#00c4b2,No nacionalistas,57.1,#fa8c00,2452,988,800,507,508,NA,NA,223,33.8,13.6,11,7,7,NA,NA,3.1
2015,08055,Castellcir,Barcelona,517,JxSí,64.5,#00c4b2,Nacionalismo/independentismo,75.9,#18a1cd,273,13,24,14,45,NA,NA,6,64.5,3.1,5.7,3.3,10.6,NA,NA,1.4
2015,08056,Castelldefels,Barcelona,41864,Cs,27.4,#da5b1f,No nacionalistas,65.7,#fa8c00,8319,4203,3378,4203,1670,NA,NA,1199,26.1,13.2,10.6,13.2,5.2,NA,NA,3.8
2015,08057,Castell de l'Areny,Barcelona,60,JxSí,66.7,#00c4b2,Nacionalismo/independentismo,94.4,#18a1cd,36,0,2,0,13,NA,NA,2,66.7,0,3.7,0,24.1,NA,NA,3.7
2015,08058,Castellet i la Gornal,Barcelona,1745,JxSí,40.5,#00c4b2,Nacionalismo/independentismo,51.3,#18a1cd,532,187,128,97,121,NA,NA,47,40.5,14.2,9.8,7.4,9.2,NA,NA,3.6
2015,08059,Castellfollit del Boix,Barcelona,341,JxSí,65.9,#00c4b2,Nacionalismo/independentismo,84,#18a1cd,193,9,13,8,41,NA,NA,14,65.9,3.1,4.4,2.7,14,NA,NA,4.8
2015,08060,Castellfollit de Riubregós,Barcelona,144,JxSí,69,#00c4b2,Nacionalismo/independentismo,83.7,#18a1cd,89,0,5,7,9,NA,NA,10,69,0,3.9,5.4,7,NA,NA,7.8
2015,08061,Castellgalí,Barcelona,1485,JxSí,38.5,#00c4b2,No nacionalistas,51.2,#fa8c00,446,156,133,102,80,NA,NA,40,38.5,13.5,11.5,8.8,6.9,NA,NA,3.5
2015,08062,Castellnou de Bages,Barcelona,943,JxSí,55.1,#00c4b2,Nacionalismo/independentismo,65.1,#18a1cd,439,65,38,37,61,NA,NA,25,55.1,8.2,4.8,4.7,7.7,NA,NA,3.1
2015,08063,Castellolí,Barcelona,446,JxSí,79.5,#00c4b2,Nacionalismo/independentismo,86.9,#18a1cd,322,16,11,9,25,NA,NA,8,79.5,4,2.7,2.2,6.2,NA,NA,2
2015,08064,Castellterçol,Barcelona,1855,JxSí,67.4,#00c4b2,Nacionalismo/independentismo,80.5,#18a1cd,1017,98,56,55,156,NA,NA,46,67.4,6.5,3.7,3.6,10.3,NA,NA,3.1
2015,08065,Castellví de la Marca,Barcelona,1174,JxSí,64.4,#00c4b2,Nacionalismo/independentismo,78.2,#18a1cd,631,56,35,44,108,NA,NA,36,64.4,5.7,3.6,4.5,11,NA,NA,3.7
2015,08066,Castellví de Rosanes,Barcelona,1355,JxSí,42,#00c4b2,Nacionalismo/independentismo,52.1,#18a1cd,457,122,114,87,71,NA,NA,47,42,11.2,10.5,8,6.5,NA,NA,4.3
2015,08067,Centelles,Barcelona,5714,JxSí,61.7,#00c4b2,Nacionalismo/independentismo,75.6,#18a1cd,2848,366,189,233,535,NA,NA,139,61.7,7.9,4.1,5,11.6,NA,NA,3
2015,08068,Cervelló,Barcelona,6744,JxSí,41,#00c4b2,Nacionalismo/independentismo,50.5,#18a1cd,2130,606,442,370,366,NA,NA,198,41,11.7,8.5,7.1,7,NA,NA,3.8
2015,08069,Collbató,Barcelona,3170,JxSí,49.9,#00c4b2,Nacionalismo/independentismo,63.2,#18a1cd,1316,194,154,190,286,NA,NA,96,49.9,7.4,5.8,7.2,10.8,NA,NA,3.6
2015,08070,Collsuspina,Barcelona,264,JxSí,73,#00c4b2,Nacionalismo/independentismo,88,#18a1cd,170,7,4,7,28,NA,NA,8,73,3,1.7,3,12,NA,NA,3.4
2015,08071,Copons,Barcelona,240,JxSí,65.9,#00c4b2,Nacionalismo/independentismo,84.6,#18a1cd,137,9,6,11,31,NA,NA,11,65.9,4.3,2.9,5.3,14.9,NA,NA,5.3
2015,08072,Corbera de Llobregat,Barcelona,10253,JxSí,43.7,#00c4b2,Nacionalismo/independentismo,55.2,#18a1cd,3410,758,652,533,684,NA,NA,318,43.7,9.7,8.3,6.8,8.8,NA,NA,4.1
2015,08073,Cornellà de Llobregat,Barcelona,61816,PSC,24.5,#da1f35,No nacionalistas,76.3,#fa8c00,7615,11564,7914,4644,2712,NA,NA,1359,16.1,24.5,16.8,9.8,5.8,NA,NA,2.9
2015,08074,Cubelles,Barcelona,10565,JxSí,31.7,#00c4b2,No nacionalistas,58.3,#fa8c00,2472,1008,808,738,564,NA,NA,274,31.7,12.9,10.4,9.5,7.2,NA,NA,3.5
2015,08075,Dosrius,Barcelona,3869,JxSí,43.2,#00c4b2,Nacionalismo/independentismo,52.2,#18a1cd,1328,295,271,331,207,NA,NA,100,43.2,9.6,8.8,10.8,6.7,NA,NA,3.3
2015,08076,Esparreguera,Barcelona,16154,JxSí,32.8,#00c4b2,No nacionalistas,55,#fa8c00,4064,1963,1224,913,1210,NA,NA,468,32.8,15.8,9.9,7.4,9.8,NA,NA,3.8
2015,08077,Esplugues de Llobregat,Barcelona,34534,Cs,24,#da5b1f,No nacionalistas,67.7,#fa8c00,6403,5353,3088,3019,1575,NA,NA,1023,23.7,19.8,11.4,11.2,5.8,NA,NA,3.8
2015,08078,L'Espunyola,Barcelona,219,JxSí,78.2,#00c4b2,Nacionalismo/independentismo,89.9,#18a1cd,140,3,5,8,17,NA,NA,5,78.2,1.7,2.8,4.5,9.5,NA,NA,2.8
2015,08079,L'Estany,Barcelona,340,JxSí,78.4,#00c4b2,Nacionalismo/independentismo,87.9,#18a1cd,240,17,6,5,23,NA,NA,7,78.4,5.6,2,1.6,7.5,NA,NA,2.3
2015,08080,Fígols,Barcelona,36,JxSí,53.3,#00c4b2,Nacionalismo/independentismo,76.7,#18a1cd,16,3,0,0,3,NA,NA,4,53.3,10,0,0,10,NA,NA,13.3
2015,08081,Fogars de Montclús,Barcelona,348,JxSí,70.8,#00c4b2,Nacionalismo/independentismo,90.8,#18a1cd,216,6,7,9,51,NA,NA,10,70.8,2,2.3,3,16.7,NA,NA,3.3
2015,08082,Fogars de la Selva,Barcelona,1145,JxSí,32.9,#00c4b2,No nacionalistas,58.7,#fa8c00,275,92,80,83,48,NA,NA,34,32.9,11,9.6,9.9,5.7,NA,NA,4.1
2015,08083,Folgueroles,Barcelona,1659,JxSí,80.3,#00c4b2,Nacionalismo/independentismo,92.3,#18a1cd,1224,36,27,14,141,NA,NA,44,80.3,2.4,1.8,0.9,9.2,NA,NA,2.9
2015,08084,Fonollosa,Barcelona,1137,JxSí,60.3,#00c4b2,Nacionalismo/independentismo,73.3,#18a1cd,574,70,47,46,98,NA,NA,34,60.3,7.3,4.9,4.8,10.3,NA,NA,3.6
2015,08085,Font-rubí,Barcelona,987,JxSí,70.1,#00c4b2,Nacionalismo/independentismo,85.6,#18a1cd,585,38,17,37,92,NA,NA,39,70.1,4.6,2,4.4,11,NA,NA,4.7
2015,08086,Les Franqueses del Vallès,Barcelona,13535,JxSí,36.5,#00c4b2,No nacionalistas,53.7,#fa8c00,3752,1272,853,703,742,NA,NA,343,36.5,12.4,8.3,6.8,7.2,NA,NA,3.3
2015,08087,Gallifa,Barcelona,162,JxSí,64.9,#00c4b2,Nacionalismo/independentismo,82.1,#18a1cd,98,1,8,6,22,NA,NA,4,64.9,0.7,5.3,4,14.6,NA,NA,2.6
2015,08088,La Garriga,Barcelona,11822,JxSí,55.3,#00c4b2,Nacionalismo/independentismo,68.8,#18a1cd,5394,766,460,507,1078,NA,NA,319,55.3,7.8,4.7,5.2,11.1,NA,NA,3.3
2015,08089,Gavà,Barcelona,33904,Cs,26.2,#da5b1f,No nacionalistas,67,#fa8c00,6230,4835,2947,2320,1504,NA,NA,1027,24.2,18.8,11.5,9,5.8,NA,NA,4
