year,cod_ine,nom_mun,nom_prov,poblacion,ganador,ganador_por,color,ganador_bloque,ganador_por_bloque,color_bloque,votos_partido_1,votos_partido_2,votos_partido_3,votos_partido_4,votos_partido_5,votos_partido_6,votos_partido_7,votos_partido_8,votos_partido_99,por_voto_partido_1,por_voto_partido_2,por_voto_partido_3,por_voto_partido_4,por_voto_partido_5,por_voto_partido_6,por_voto_partido_7,por_voto_partido_8,por_voto_partido_99
2006,08001,Abrera,Barcelona,7864,PSC-CpC,35.6,#da1f35,No nacionalistas,65.9,#fa8c00,886,1497,476,561,439,NA,NA,NA,149,21,35.6,11.3,13.3,10.4,NA,NA,NA,3.5
2006,08002,Aguilar de Segarra,Barcelona,200,CiU,52.6,#1e4a8e,Nacionalismo/independentismo,66.7,#18a1cd,71,14,19,9,12,NA,NA,NA,5,52.6,10.4,14.1,6.7,8.9,NA,NA,NA,3.7
2006,08003,Alella,Barcelona,6760,CiU,42.7,#1e4a8e,Nacionalismo/independentismo,57.7,#18a1cd,1846,658,636,455,360,NA,NA,NA,95,42.7,15.2,14.7,10.5,8.3,NA,NA,NA,2.2
2006,08004,Alpens,Barcelona,233,CiU,53.5,#1e4a8e,Nacionalismo/independentismo,80.5,#18a1cd,99,11,50,2,13,NA,NA,NA,0,53.5,6,27,1.1,7,NA,NA,NA,0
2006,08005,L'Ametlla del Vallès,Barcelona,5364,CiU,42.4,#1e4a8e,Nacionalismo/independentismo,59.4,#18a1cd,1400,530,560,286,279,NA,NA,NA,55,42.4,16.1,17,8.7,8.4,NA,NA,NA,1.7
2006,08006,Arenys de Mar,Barcelona,10614,CiU,37.3,#1e4a8e,Nacionalismo/independentismo,55.2,#18a1cd,2449,1377,1157,577,561,NA,NA,NA,147,37.3,21,17.6,8.8,8.6,NA,NA,NA,2.2
2006,08007,Arenys de Munt,Barcelona,5838,CiU,39.5,#1e4a8e,Nacionalismo/independentismo,63.4,#18a1cd,1456,645,866,200,311,NA,NA,NA,68,39.5,17.5,23.5,5.4,8.4,NA,NA,NA,1.9
2006,08008,Argençola,Barcelona,190,CiU,31.3,#1e4a8e,Nacionalismo/independentismo,55.3,#18a1cd,47,8,36,8,12,NA,NA,NA,3,31.3,5.3,24,5.3,8,NA,NA,NA,2
2006,08009,Argentona,Barcelona,8631,CiU,41.7,#1e4a8e,Nacionalismo/independentismo,57.1,#18a1cd,2204,931,796,469,558,NA,NA,NA,120,41.7,17.6,15.1,8.9,10.6,NA,NA,NA,2.3
2006,08010,Artés,Barcelona,3957,CiU,37.4,#1e4a8e,Nacionalismo/independentismo,61.7,#18a1cd,881,487,571,135,164,NA,NA,NA,57,37.4,20.6,24.2,5.7,7,NA,NA,NA,2.4
