year,siglas,cod_partido,color_cod_partido
1988,CiU,partido_1,#1e4a8e
1988,ERC,partido_5,#e5ab4b
1988,IC,partido_3,#288f64
1988,CDS,partido_6,#008369
1988,AP,partido_4,#0393d3
1988,PSC,partido_2,#da1f35
1988,Otros,partido_99,#909497
