year,cod_ine,nom_mun,nom_prov,poblacion,ganador,ganador_por,color,ganador_bloque,ganador_por_bloque,color_bloque,votos_partido_1,votos_partido_2,votos_partido_3,votos_partido_4,votos_partido_5,votos_partido_6,votos_partido_8,votos_partido_99,por_voto_partido_1,por_voto_partido_2,por_voto_partido_3,por_voto_partido_4,por_voto_partido_5,por_voto_partido_6,por_voto_partido_8,por_voto_partido_99
2021,17226,Vilamalla,Girona,878,VOX,22.52,NA,No nacionalistas,53.87,#fa8c00,64,85,87,102,10,15,22,24,14.13,18.76,19.21,22.52,2.21,3.31,4.86,5.29
2021,17227,Vilamaniscle,Girona,148,ERC,36.84,#e5ab4b,Nacionalismo/independentismo,83.15,#18a1cd,12,35,26,1,0,13,1,5,12.63,36.84,27.37,1.05,0,13.68,1.05,5.26
2021,17228,Vilanant,Girona,287,JxCat,34.95,#00c4b2,Nacionalismo/independentismo,74.21,#18a1cd,17,44,65,14,8,14,1,18,9.14,23.66,34.95,7.53,4.3,7.53,0.54,9.69
2021,17230,Vila-sacra,Girona,501,JxCat,34.34,#00c4b2,Nacionalismo/independentismo,63.97,#18a1cd,49,55,102,27,3,21,6,16,16.5,18.52,34.34,9.09,1.01,7.07,2.02,5.4
2021,17232,Vilopriu,Girona,171,JxCat,31.36,#00c4b2,Nacionalismo/independentismo,68.65,#18a1cd,16,25,37,9,6,16,1,3,13.56,21.19,31.36,7.63,5.08,13.56,0.85,2.54
2021,17233,Vilobí d'Onyar,Girona,2386,JxCat,44.64,#00c4b2,Nacionalismo/independentismo,83.22,#18a1cd,103,315,649,55,33,145,12,107,7.08,21.66,44.64,3.78,2.27,9.97,0.83,7.37
2021,17234,Biure,Girona,183,Empate,26.09,#ADA9AC,Nacionalismo/independentismo,64.35,#18a1cd,13,30,30,10,8,12,2,3,11.3,26.09,26.09,8.7,6.96,10.43,1.74,2.61
2021,17901,"Cruïlles, Monells i Sant Sadurní de l'Heura",Girona,1024,JxCat,32.52,#00c4b2,Nacionalismo/independentismo,77.92,#18a1cd,67,170,212,16,26,93,4,36,10.28,26.07,32.52,2.45,3.99,14.26,0.61,5.53
2021,17902,Forallac,Girona,1310,JxCat,40.47,#00c4b2,Nacionalismo/independentismo,77.78,#18a1cd,90,181,346,28,21,83,11,61,10.53,21.17,40.47,3.27,2.46,9.71,1.29,7.14
2021,17903,Sant Julià del Llor i Bonmatí,Girona,918,JxCat,45.04,#00c4b2,Nacionalismo/independentismo,80.15,#18a1cd,47,136,245,21,18,42,4,14,8.64,25,45.04,3.86,3.31,7.72,0.74,2.5700000000000003
2021,17998,Residents Absents,Girona,21379,JxCat,31.16,#00c4b2,Nacionalismo/independentismo,64.17,#18a1cd,167,238,320,39,64,76,32,47,16.26,23.17,31.16,3.8,6.23,7.4,3.12,4.58
2021,25001,Abella de la Conca,Lleida,134,JxCat,46.77,#00c4b2,Nacionalismo/independentismo,87.1,#18a1cd,3,16,29,0,2,9,0,0,4.84,25.81,46.77,0,3.23,14.52,0,0
2021,25002,Àger,Lleida,457,JxCat,34.58,#00c4b2,Nacionalismo/independentismo,79,#18a1cd,31,83,102,9,5,34,4,16,10.51,28.14,34.58,3.05,1.69,11.53,1.36,5.430000000000001
2021,25003,Agramunt,Lleida,3733,JxCat,37.45,#00c4b2,Nacionalismo/independentismo,74.9,#18a1cd,203,602,755,92,43,97,47,95,10.07,29.86,37.45,4.56,2.13,4.81,2.33,4.72
2021,25004,Els Alamús,Lleida,566,JxCat,31.73,#00c4b2,Nacionalismo/independentismo,75.35,#18a1cd,34,108,112,24,13,25,2,25,9.63,30.59,31.73,6.8,3.68,7.08,0.57,7.08
