year,cod_ine,nom_mun,nom_prov,poblacion,ganador,ganador_por,color,ganador_bloque,ganador_por_bloque,color_bloque,votos_partido_1,votos_partido_2,votos_partido_3,votos_partido_4,votos_partido_5,votos_partido_6,votos_partido_7,votos_partido_8,votos_partido_99,por_voto_partido_1,por_voto_partido_2,por_voto_partido_3,por_voto_partido_4,por_voto_partido_5,por_voto_partido_6,por_voto_partido_7,por_voto_partido_8,por_voto_partido_99
1995,08001,Abrera,Barcelona,5153,CiU,34,#1e4a8e,No nacionalistas,59,#18a1cd,1015,936,388,182,409,NA,NA,NA,32,34,31.3,13,6.1,13.7,NA,NA,NA,1.1
1995,08002,Aguilar de Segarra,Barcelona,182,CiU,75.2,#1e4a8e,Nacionalismo/independentismo,93,#fa8c00,97,3,5,23,1,NA,NA,NA,0,75.2,2.3,3.9,17.8,0.8,NA,NA,NA,0
1995,08003,Alella,Barcelona,5887,CiU,54.8,#1e4a8e,Nacionalismo/independentismo,66,#fa8c00,2219,487,591,452,219,NA,NA,NA,40,54.8,12,14.6,11.2,5.4,NA,NA,NA,1
1995,08004,Alpens,Barcelona,206,CiU,62.6,#1e4a8e,Nacionalismo/independentismo,81.3,#fa8c00,104,13,8,31,8,NA,NA,NA,1,62.6,7.8,4.8,18.7,4.8,NA,NA,NA,0.6
1995,08005,L'Ametlla del Vallès,Barcelona,3416,CiU,57,#1e4a8e,Nacionalismo/independentismo,69.8,#fa8c00,1394,315,273,313,112,NA,NA,NA,12,57,12.9,11.2,12.8,4.6,NA,NA,NA,0.5
1995,08006,Arenys de Mar,Barcelona,9432,CiU,52,#1e4a8e,Nacionalismo/independentismo,62.5,#fa8c00,3425,1243,782,689,368,NA,NA,NA,41,52,18.9,11.9,10.5,5.6,NA,NA,NA,0.6
1995,08007,Arenys de Munt,Barcelona,4305,CiU,56.5,#1e4a8e,Nacionalismo/independentismo,73,#fa8c00,1749,490,188,509,119,NA,NA,NA,16,56.5,15.8,6.1,16.4,3.8,NA,NA,NA,0.5
1995,08008,Argençola,Barcelona,163,CiU,58.9,#1e4a8e,Nacionalismo/independentismo,76.6,#fa8c00,63,15,1,19,6,NA,NA,NA,3,58.9,14,0.9,17.8,5.6,NA,NA,NA,2.8
1995,08009,Argentona,Barcelona,6829,CiU,50.3,#1e4a8e,Nacionalismo/independentismo,62.6,#fa8c00,2397,832,492,588,376,NA,NA,NA,42,50.3,17.5,10.3,12.3,7.9,NA,NA,NA,0.9
1995,08010,Artés,Barcelona,3438,CiU,56.8,#1e4a8e,Nacionalismo/independentismo,72,#fa8c00,1400,433,144,376,87,NA,NA,NA,16,56.8,17.6,5.8,15.2,3.5,NA,NA,NA,0.6
1995,08011,Avià,Barcelona,1502,CiU,61.7,#1e4a8e,Nacionalismo/independentismo,81.3,#fa8c00,660,96,59,210,27,NA,NA,NA,6,61.7,9,5.5,19.6,2.5,NA,NA,NA,0.6
1995,08012,Avinyó,Barcelona,1620,CiU,61.6,#1e4a8e,Nacionalismo/independentismo,79.9,#fa8c00,729,167,41,216,20,NA,NA,NA,0,61.6,14.1,3.5,18.3,1.7,NA,NA,NA,0
1995,08013,Avinyonet del Penedès,Barcelona,1040,CiU,58.4,#1e4a8e,Nacionalismo/independentismo,72.2,#fa8c00,409,112,56,97,23,NA,NA,NA,3,58.4,16,8,13.8,3.3,NA,NA,NA,0.4
1995,08014,Aiguafreda,Barcelona,1699,CiU,59.4,#1e4a8e,Nacionalismo/independentismo,73.5,#fa8c00,760,190,87,180,45,NA,NA,NA,7,59.4,14.9,6.8,14.1,3.5,NA,NA,NA,0.6
1995,08015,Badalona,Barcelona,172905,CiU,31.6,#1e4a8e,No nacionalistas,60.8,#18a1cd,30601,28701,12761,6572,16353,NA,NA,NA,1125,31.6,29.6,13.2,6.8,16.9,NA,NA,NA,1.2
1995,08016,Bagà,Barcelona,1733,CiU,52.1,#1e4a8e,Nacionalismo/independentismo,61.4,#fa8c00,641,353,45,115,52,NA,NA,NA,13,52.1,28.7,3.7,9.3,4.2,NA,NA,NA,1
1995,08017,Balenyà,Barcelona,2557,CiU,60.3,#1e4a8e,Nacionalismo/independentismo,72,#fa8c00,1085,361,74,211,49,NA,NA,NA,13,60.3,20.1,4.1,11.7,2.7,NA,NA,NA,0.7
1995,08018,Balsareny,Barcelona,2776,CiU,50,#1e4a8e,Nacionalismo/independentismo,60.6,#fa8c00,923,523,89,197,90,NA,NA,NA,12,50,28.3,4.8,10.7,4.9,NA,NA,NA,0.6
1995,08019,Barcelona,Barcelona,1352142,CiU,39.7,#1e4a8e,No nacionalistas,49.9,#18a1cd,353123,191358,156232,82568,88249,NA,NA,NA,7859,39.7,21.5,17.6,9.3,9.9,NA,NA,NA,0.9
