year,siglas,cod_partido,color_cod_partido
2021,JxCat,partido_3,#00c4b2
2021,ERC,partido_2,#e5ab4b
2021,CUP,partido_6,#e5c64b
2021,PSC,partido_1,#da1f35
2021,ECP-PEC,partido_5,#909497
2021,Cs,partido_7,#da5b1f
2021,PP,partido_8,#0393d3
2021,VOX,partido_4,#69a93b
2021,Otros,partido_99,#909497
