ganador,partido,color
EAJ-PNV,PNV,#318731
UCD,UCD,#FF6814
PSE-PSOE,PSOE,#da1f35
HB,HB,#22b194
PSOE,PSOE,#da1f35
PCE,PCE,#B5062F
UN,UN,#b5b5b5
CD,Alianza Popular,#009ade
PSC-PSOE,PSOE,#da1f35
CC-UCD,UCD,#FF6814
CiU,CiU,#1D3688
PSUC-PCE,PSUC-PCE,#B5062F
PCT,PCT,#bc0415
PTE,PTE,#b5b5b5
PSA-PA,Partido Andalucista,#1CA838
ERFN,ERC,#e5ab4b
MC-OIC,MC-OIC,#b5b5b5
IR,IR,#B5B5B5
BNPG,BNPG,#b5b5b5
UCE,UCE,#b5b5b5
UPN,UPN,#b5b5b5
PC,Partido Carlista,#b5b5b5
PG-POG-PSG,PG-POG-PSG,#b5b5b5
CIC,CIC,#b5b5b5
PSOE-H,PSOE-H,#b5b5b5
FE de las JONS Auténtica,FE de las JONS Auténtica,#af0632
PRE,PRE,#b5b5b5
IRA-ARDE,ARDE,#b5b5b5
LCR,LCR,#b5b5b5
PANCAL,PANCAL,#b5b5b5
PAR,PAR,#FFDE00
Empate EAJ-PNV / UCD,EMPATE,#3E3E3C
Empate PSOE / UCD,EMPATE,#3E3E3C
Empate CC-UCD / PSC-PSOE,EMPATE,#3E3E3C
Empate CC-UCD / CiU,EMPATE,#3E3E3C
Empate UCD / UN,EMPATE,#3E3E3C
Empate CD / PC,EMPATE,#3E3E3C
Empate CC-UCD / ERFN,EMPATE,#3E3E3C
Empate CiU / PSC-PSOE,EMPATE,#3E3E3C
Empate PCE / UCD,EMPATE,#3E3E3C
Empate PC / UCD,EMPATE,#3E3E3C
Empate EAJ-PNV / HB,EMPATE,#3E3E3C
Empate BEAN / PSC-PSOE,EMPATE,#3E3E3C
Empate CC-UCD / PSUC-PCE,EMPATE,#3E3E3C
Empate CD / UCD,EMPATE,#3E3E3C
Empate CD / PSOE / UCD,EMPATE,#3E3E3C
