ganador,partido,color
Podemos-AHA,Podemos,#b865c1
EAJ-PNV,PNV,#318731
EH Bildu,EH Bildu,#22b194
PP,PP,#009ade
PSOE,PSOE,#da1f35
Podemos-Compromís,Compromís,#b865c1
Podemos,Podemos,#b865c1
Cs,Cs,#da5b1f
MÉS,MÉS,#B5B5B5
En Comú,En Comú Podem,#b865c1
DL,Democràcia i Llibertat,#b5b5b5
ERC,ERC,#e5ab4b
PSC-PSOE,PSOE,#da1f35
Unió.Cat,Unió,#0053A1
IULV-CA,IU,#930011
Podemos-En Marea,Podemos-En Marea,#b865c1
PSdeG-PSOE,PSOE,#da1f35
UP: IULV-CA,IU,#930011
PSE-EE,PSOE,#da1f35
PP-PAR,PP,#009ade
Podemos-Aho,Podemos,#b865c1
UPN-PP,PP,#009ade
GBai,GBai,#b74444
NÓS,BNG,#6aade4
PP-FORO,PP,#009ade
PSOE-NCa,PSOE,#da1f35
CC-PNC,CC,#5ebcc3
IU-CHA-UPeC,IU,#930011
Empate Podemos-AHA / PP,EMPATE,#3E3E3C
Empate PP / PSOE,EMPATE,#3E3E3C
Empate DL / ERC,EMPATE,#3E3E3C
Empate Podemos / PP,EMPATE,#3E3E3C
Empate Podemos / PSOE,EMPATE,#3E3E3C
Empate En Comú / ERC,EMPATE,#3E3E3C
Empate Cs / PP,EMPATE,#3E3E3C
Empate Cs / PSOE,EMPATE,#3E3E3C
Empate Podemos-Aho / PSOE,EMPATE,#3E3E3C
Empate Podemos / UPN-PP,EMPATE,#3E3E3C
Empate EH Bildu / UPN-PP,EMPATE,#3E3E3C
Empate DL / En Comú,EMPATE,#3E3E3C
Empate En Comú / PSC-PSOE,EMPATE,#3E3E3C
Empate PP-PAR / PSOE,EMPATE,#3E3E3C
Empate Podemos-Compromís / PP,EMPATE,#3E3E3C
Empate Podemos-Compromís / PSOE,EMPATE,#3E3E3C
Empate Podemos / PP-PAR,EMPATE,#3E3E3C
Empate Podemos-Compromís / PP / PSOE,EMPATE,#3E3E3C
Empate Cs / PP / PSOE,EMPATE,#3E3E3C
Empate Cs / PP / PSOE / Vox,EMPATE,#3E3E3C
