ganador,partido,color
UCD,UCD,#FF6814
INDEP,INDEP,#b5b5b5
PSE-PSOE,PSOE,#da1f35
PSOE,PSOE,#da1f35
CCIA,CCIA,#b5b5b5
PCE,PCE,#B5062F
AP,Alianza Popular,#009ade
FDC-EDC,FDC-EDC,#b5b5b5
AN18,AN18,#b5b5b5
PSC-PSOE,PSOE,#da1f35
UDC-IDCC,UDC-IDCC,#b5b5b5
PDPC,PDPC,#b5b5b5
CC-AP,Alianza Popular,#009ade
PSUC-PCE,PSUC-PCE,#B5062F
FDI,FDI,#b5b5b5
LLIGA,LLIGA,#b5b5b5
PSP-US,PSP-US,#da1f35
EC-FED,EC-FED,#b5b5b5
FE de las JONS,FE de las JONS,#af0632
EAJ-PNV,PNV,#318731
EE,EE,#b5b5b5
UNAI,UNAI,#b5b5b5
UAN,UAN,#b5b5b5
AFN,AFN,#b5b5b5
MFA,MFA,#b5b5b5
FNI,FNI,#b5b5b5
AET,AET,#b5b5b5
PSG,PSG,#da1f35
AEICYU,AEICYU,#b5b5b5
FL,FL,#b5b5b5
FE de las JONS Auténtica,FE de las JONS Auténtica,#b5b5b5
PCE-EPK,PCE,#B5062F
CAIC,CAIC,#b5b5b5
DCAR,DCAR,#b5b5b5
Empate UCD / UDC-IDCC,EMPATE,#3E3E3C
Empate CC-AP / PSC-PSOE,EMPATE,#3E3E3C
Empate PDPC / UDC-IDCC,EMPATE,#3E3E3C
Empate CC-AP / PDPC,EMPATE,#3E3E3C
Empate PDPC / PSUC-PCE,EMPATE,#3E3E3C
Empate PSOE / UCD,EMPATE,#3E3E3C
Empate INDEP / UCD,EMPATE,#3E3E3C
Empate FN / UCD,EMPATE,#3E3E3C
Empate PDPC / UCD,EMPATE,#3E3E3C
Empate AP / UCD,EMPATE,#3E3E3C
Empate CC-AP / UCD,EMPATE,#3E3E3C
Empate AFN / UCD,EMPATE,#3E3E3C
Empate MFA / UCD,EMPATE,#3E3E3C
Empate AFN / FNI,EMPATE,#3E3E3C
Empate UAN / UCD,EMPATE,#3E3E3C
Empate PSC-PSOE / UDC-IDCC,EMPATE,#3E3E3C
Empate PDPC / PSC-PSOE,EMPATE,#3E3E3C
Empate AP / PSOE,EMPATE,#3E3E3C
Empate PCE / PSOE,EMPATE,#3E3E3C
Empate FAA / UCD,EMPATE,#3E3E3C
Empate DCAR / UCD,EMPATE,#3E3E3C
