ganador,partido,color
PSE-PSOE,PSOE,#da1f35
EAJ-PNV,PNV,#318731
AP-PDP-PDL-UCD,Alianza Popular,#009ade
CDS,CDS,#049456
SE,SE,#b5b5b5
UCD,UCD,#FF6814
PSOE,PSOE,#da1f35
AP-PDP,Alianza Popular,#009ade
PCE,PCE,#B5062F
AP-PDP-UV,Alianza Popular,#009ade
PSOE-A,PSOE,#da1f35
PS,PS,#b5b5b5
EXU,EUX,#b5b5b5
PSC-PSOE,PSOE,#da1f35
CiU,CiU,#1D3688
CC-UCD,UCD,#FF6814
CUC,CUC,#b5b5b5
PCA-PCE,PCE,#B5062F
PSdeG-PSOE,PSOE,#da1f35
MC,MC,#b5b5b5
ERC,ERC,#e5ab4b
PSUC,PSUC,#B5062F
EE,EE,#b5b5b5
HB,HB,#22b194
AP-PDP-PAR,Alianza Popular,#009ade
UCE,UCE,#b5b5b5
PCOE,PCOE,#b5b5b5
PST,PST,#b5b5b5
PSA-PA,PSA-PA,#b5b5b5
UPN-AP-PDP,Alianza Popular,#009ade
BLOQUE PSG,BLOQUE PSG,#b5b5b5
AEBA,AEBA,#b5b5b5
FN,FN,#b5b5b5
PRE,PRE,#b5b5b5
PCE-PV,PCE,#B5062F
Empate AP-PDP-PDL-UCD / EAJ-PNV,EMPATE,#3E3E3C
Empate AP-PDP / PSOE,EMPATE,#3E3E3C
Empate AP-PDP / CUC,EMPATE,#3E3E3C
Empate PSOE / UCD,EMPATE,#3E3E3C
Empate AP-PDP / UCD,EMPATE,#3E3E3C
Empate AP-PDP / CiU,EMPATE,#3E3E3C
Empate CiU / PSC-PSOE,EMPATE,#3E3E3C
Empate PSOE-A / UCD,EMPATE,#3E3E3C
Empate CC-UCD / PSC-PSOE,EMPATE,#3E3E3C
Empate CC-UCD / CiU,EMPATE,#3E3E3C
Empate CDS / UPN-AP-PDP,EMPATE,#3E3E3C
Empate AP-PDP / PSC-PSOE,EMPATE,#3E3E3C
Empate AP-PDP-PAR / UCD,EMPATE,#3E3E3C
Empate AP-PDP-PAR / PSOE,EMPATE,#3E3E3C
Empate AP-PDP / CDS / PSOE,EMPATE,#3E3E3C
