cod_mun,municipio,provincia,poblacion,partido_ganador,por_votos,siglas_partido,color,partido_mapa
01901,Iruña Oka/Iruña de Oca,Álava,3551,PARTIDO SOCIALISTA DE EUSKADI-EUSKADIKO EZKERRA (PSOE),33.83,PSE-EE (PSOE),#da1f35,PSOE
01902,Lantarón,Álava,931,PARTIDO NACIONALISTA VASCO,47.8,EAJ-PNV,#318731,PNV
02001,Abengibre,Albacete,739,PARTIDO POPULAR,53.98,PP,#009ade,PP
02002,Alatoz,Albacete,496,PARTIDO POPULAR,56.54,PP,#009ade,PP
02003,Albacete,Albacete,172357,PARTIDO POPULAR,38.18,PP,#009ade,PP
02004,Albatana,Albacete,670,PARTIDO SOCIALISTA OBRERO ESPAÑOL,69.45,PSOE,#da1f35,PSOE
02005,Alborea,Albacete,663,PARTIDO SOCIALISTA OBRERO ESPAÑOL,52.6,PSOE,#da1f35,PSOE
02006,Alcadozo,Albacete,634,PARTIDO POPULAR,62.21,PP,#009ade,PP
02007,Alcalá del Júcar,Albacete,1148,PARTIDO SOCIALISTA OBRERO ESPAÑOL,72.57,PSOE,#da1f35,PSOE
02008,Alcaraz,Albacete,1307,PARTIDO SOCIALISTA OBRERO ESPAÑOL,54.16,PSOE,#da1f35,PSOE
02009,Almansa,Albacete,24224,PARTIDO SOCIALISTA OBRERO ESPAÑOL,44.89,PSOE,#da1f35,PSOE
02010,Alpera,Albacete,2245,PARTIDO SOCIALISTA OBRERO ESPAÑOL,54.23,PSOE,#da1f35,PSOE
02011,Ayna,Albacete,582,PARTIDO POPULAR,61.51,PP,#009ade,PP
02012,Balazote,Albacete,2388,PARTIDO POPULAR,49.5,PP,#009ade,PP
02013,Balsa de Ves,Albacete,126,PARTIDO SOCIALISTA OBRERO ESPAÑOL,52.94,PSOE,#da1f35,PSOE
02014,El Ballestero,Albacete,427,PARTIDO SOCIALISTA OBRERO ESPAÑOL,39.08,PSOE,#da1f35,PSOE
02015,Barrax,Albacete,1831,PARTIDO SOCIALISTA OBRERO ESPAÑOL,55.78,PSOE,#da1f35,PSOE
02016,Bienservida,Albacete,574,PARTIDO POPULAR,59.43,PP,#009ade,PP
02017,Bogarra,Albacete,756,PARTIDO SOCIALISTA OBRERO ESPAÑOL,69.51,PSOE,#da1f35,PSOE
02018,Bonete,Albacete,1006,PARTIDO POPULAR,61.9,PP,#009ade,PP
02019,El Bonillo,Albacete,2698,PARTIDO SOCIALISTA OBRERO ESPAÑOL,63.26,PSOE,#da1f35,PSOE
02020,Carcelén,Albacete,483,PARTIDO POPULAR,51.4,PP,#009ade,PP
02021,Casas de Juan Núñez,Albacete,1356,PARTIDO SOCIALISTA OBRERO ESPAÑOL,56.49,PSOE,#da1f35,PSOE
02022,Casas de Lázaro,Albacete,321,AGRUPACION INDEPENDIENTE DE CASAS DE LAZARO,68.57,AICL,#888375,Otros
02023,Casas de Ves,Albacete,561,PARTIDO POPULAR,51.99,PP,#009ade,PP
02024,Casas-Ibáñez,Albacete,4547,PARTIDO SOCIALISTA OBRERO ESPAÑOL,43.1,PSOE,#da1f35,PSOE
02025,Caudete,Albacete,10135,PARTIDO SOCIALISTA OBRERO ESPAÑOL,35.82,PSOE,#da1f35,PSOE
02026,Cenizate,Albacete,1183,PARTIDO SOCIALISTA OBRERO ESPAÑOL,60.47,PSOE,#da1f35,PSOE
02027,Corral-Rubio,Albacete,300,PARTIDO POPULAR,61.78,PP,#009ade,PP
02028,Cotillas,Albacete,129,PARTIDO SOCIALISTA OBRERO ESPAÑOL,49.47,PSOE,#da1f35,PSOE
02029,Chinchilla de Monte-Aragón,Albacete,4497,PARTIDO SOCIALISTA OBRERO ESPAÑOL,37.42,PSOE,#da1f35,PSOE
02030,Elche de la Sierra,Albacete,3553,PARTIDO SOCIALISTA OBRERO ESPAÑOL,52.03,PSOE,#da1f35,PSOE
02031,Férez,Albacete,614,PARTIDO SOCIALISTA OBRERO ESPAÑOL,85.81,PSOE,#da1f35,PSOE
02032,Fuensanta,Albacete,281,PARTIDO SOCIALISTA OBRERO ESPAÑOL,53.77,PSOE,#da1f35,PSOE
02033,Fuente-Álamo,Albacete,2461,PARTIDO POPULAR,50.79,PP,#009ade,PP
02034,Fuentealbilla,Albacete,1821,PARTIDO SOCIALISTA OBRERO ESPAÑOL,42.52,PSOE,#da1f35,PSOE
02035,La Gineta,Albacete,2568,PARTIDO SOCIALISTA OBRERO ESPAÑOL,49.07,PSOE,#da1f35,PSOE
02036,Golosalvo,Albacete,98,PARTIDO POPULAR,62.5,PP,#009ade,PP
02037,Hellín,Albacete,30492,PARTIDO POPULAR,41.99,PP,#009ade,PP
02038,La Herrera,Albacete,304,"AGRUPACIÓN DE ELECTORES""INDEPENDIENTES POR LA HERRERA""",54.72,"AGRUPACIÓN DE ELECTORES""INDEPENDIENTES POR LA HERRERA""",#82757f,Otros
