cod_ine,mun,pob,nombre_completo,partido_alcalde,partido_ganador,segundo,gobierna
01051,Agurain/Salvatierra,5029,Ernesto Sainz Lanchares,EAJ-PNV,EAJ-PNV,EH Bildu,Lista más votada
01001,Alegría-Dulantzi,2925,Joseba Koldo Garitagoitia Odria Gari,DTI-AIA,DTI-AIA,EAJ-PNV,Lista más votada
01002,Amurrio,10307,Txerra Molinuevo Laña,EAJ-PNV,EAJ-PNV,EH Bildu,Lista más votada
01049,Añana,155,Juan Carlos Medina Martínez,EAJ-PNV,EAJ-PNV,EH Bildu,Lista más votada
01003,Aramaio,1456,Lierni Altuna Ugarte,EH Bildu,EH Bildu,EAJ-PNV,Lista más votada
01006,Armiñón,231,Juan Muñoz Bartolomé,EAJ-PNV,EAJ-PNV,PP,Lista más votada
01037,Arraia-Maeztu,800,Anartz Gorrotxategi Elorriaga,EAJ-PNV,EAJ-PNV,EH Bildu,Lista más votada
01008,Arratzua-Ubarrundia,1017,María Blanca Antepara Uribe,EAJ-PNV,EAJ-PNV,EH Bildu,Lista más votada
01004,Artziniega,1809,Joseba Vivanco Retes,EH Bildu,EH Bildu,EAJ-PNV,Lista más votada
01009,Asparrena,1633,Txelo Auzmendi Jimenez,EH Bildu,EH Bildu,EAJ-PNV,Lista más votada
01010,Ayala/Aiara,2951,Gentza Alamillo Udaeta,EAJ-PNV,EAJ-PNV,EH Bildu,Lista más votada
01011,Baños de Ebro/Mañueta,287,Francisco Javier Garcia Perez De Loza,PP,PP,EAJ-PNV,Lista más votada
01013,Barrundia,895,Igor Medina Isasa,EH Bildu,EH Bildu,EAJ-PNV,Lista más votada
01014,Berantevilla,465,Mario Perea Anuncibay,aib-bai,aib-bai,EAJ-PNV,Lista más votada
01016,Bernedo,538,Ruben Martinez Crespo,EAJ-PNV,EAJ-PNV,EH Bildu,Lista más votada
01017,Campezo/Kanpezu,1081,Ibernalo Basterra Txasko,KAIXO,KAIXO,EAJ-PNV,Lista más votada
01021,Elburgo/Burgelu,634,Nati López De Munain Alzola,EAJ-PNV,EAJ-PNV,EH Bildu,Lista más votada
01022,Elciego,996,Juan Carlos Uribe Rueda,ZB,ZB,PP,Lista más votada
01023,Elvillar/Bilar,327,Enrique Pérez Mazo,EAJ-PNV,EAJ-PNV,-,Lista más votada
01046,Erriberagoitia/Ribera Alta,826,Javier Gallego Rodriguez,EAJ-PNV,EAJ-PNV,EH Bildu,Lista más votada
01056,Harana/Valle de Arana,226,Rosa María Ibarrondo Manzanos,EAJ-PNV,EAJ-PNV,EH Bildu,Lista más votada
01901,Iruña Oka/Iruña de Oca,3468,Miguel Ángel Montes Sánchez,PSOE,PSOE,EAJ-PNV,Lista más votada
01027,Iruraiz-Gauna,529,Amaia Sagasti Jiménez De Vicuña,EAJ-PNV,EAJ-PNV,EH Bildu,Lista más votada
01019,Kripan,175,Joseba Fernández Calleja,EAJ-PNV,EAJ-PNV,-,Lista más votada
01020,Kuartango,396,Eduardo Fernández De Pinedo Gonzalez,EAJ-PNV,EAJ-PNV,EH Bildu,Lista más votada
01028,Labastida/Bastida,1532,Laura Pérez Borinaga,EAJ-PNV,PP,EAJ-PNV,Otro
01030,Lagrán,171,José María Martínez Fernández,EAJ-PNV,EAJ-PNV,EH Bildu,Lista más votada
01031,Laguardia,1464,Raúl García Ezquerro,EAJ-PNV,PP,EAJ-PNV,Otro
01032,Lanciego/Lantziego,692,Itziar De Alava Martinez De Icaya,EAJ-PNV,EAJ-PNV,PSE-EE (PSOE),Lista más votada
01902,Lantarón,915,Javier Uriarte Jairo,EAJ-PNV,EAJ-PNV,PP,Lista más votada
01033,Lapuebla de Labarca,858,Maria Teresa Cordoba Fernandez,LPA,LPA,EAJ-PNV,Lista más votada
01036,Laudio/Llodio,18009,Ander Añibarro Maestre,EAJ-PNV,EAJ-PNV,EH Bildu,Lista más votada
01058,Legutio,1993,Juan Cruz Jainaga Inziarte,EH Bildu,EH Bildu,EAJ-PNV,Lista más votada
01034,Leza,219,José Antonio Suso Pérez De Arenaza,EAJ-PNV,EAJ-PNV,PSE-EE (PSOE),Lista más votada
01039,Moreda de Álava/Moreda Araba,209,Miguel Ángel Bujanda Fernández,EAJ-PNV,EAJ-PNV,PSE-EE (PSOE),Lista más votada
01041,Navaridas,197,Miguel Angel Fernandez Gonzalez,PP,PP,EAJ-PNV,Lista más votada
01042,Okondo,1196,Jon Escuza Del Campo,EAJ-PNV,EAJ-PNV,OA,Lista más votada
01043,Oyón-Oion,3418,Jose Eduardo Terroba Cabezon,EAJ-PNV,EAJ-PNV,EH Bildu,Lista más votada
01044,Peñacerrada-Urizaharra,299,Juan Jose Betolaza Pinedo,AMI,AMI,EAJ-PNV,Lista más votada
01047,Ribera Baja/Erribera Beitia,1421,Miren Santamaría Martínez,EAJ-PNV,EAJ-PNV,RBB,Lista más votada
01052,Samaniego,308,Maria Pilar Garmendia Iparraguirre,EH Bildu,EAJ-PNV,EH Bildu,Otro
01053,San Millán/Donemiliaga,716,Erika Letamendi Hurtado,EH Bildu,EH Bildu,EAJ-PNV,Lista más votada
01054,Urkabustaiz,1414,Xabier Alvarez De Arcaya Fernandez De Landa,EH Bildu,EH Bildu,EAJ-PNV,Lista más votada
01055,Valdegovía/Gaubea,1049,Gorka Salazar Senso,EAJ-PNV,EAJ-PNV,EH Bildu,Lista más votada
01057,Villabuena de Álava/Eskuernaga,287,Iñaki Perez Berrueco,EAJ-PNV,EAJ-PNV,EH Bildu,Lista más votada
01059,Vitoria-Gasteiz,253093,Gorka Urtaran Agirre,EAJ-PNV,EAJ-PNV,PSE-EE (PSOE),Lista más votada
01060,Yécora/Iekora,266,Rafael Fernández Jalón,EAJ-PNV,EAJ-PNV,PP,Lista más votada
01061,Zalduondo,192,Gustavo Fernandez Villate,EH Bildu,EH Bildu,-,Lista más votada
01062,Zambrana,432,Aitor Abecia Jimenez De Aberasturi,AIZ-ZAI,AIZ-ZAI,EAJ-PNV,Lista más votada
01018,Zigoitia,1802,Javier Gorbeña García,EAJ-PNV,EH Bildu,EAJ-PNV,Otro
01063,Zuia,2318,Unai Gutierrez Urkiza,EH Bildu,EH Bildu,ZUIA BAI,Lista más votada
02001,Abengibre,748,Diego Pérez González,PSOE,PSOE,PP,Lista más votada
02002,Alatoz,496,Jose Vicente Picó Hernandez,PSOE,PSOE,PP,Lista más votada
02003,Albacete,172722,Emilio Sáez Cruz,PSOE,PSOE,PP,Lista más votada
02004,Albatana,681,Francisco José Mansilla Pérez,PSOE,PSOE,PP,Lista más votada
02005,Alborea,670,Jose Luis Vidal Arocas,PP,PP,P.S.O.E.,Lista más votada
02006,Alcadozo,632,Angel Alfaro Sancho,PP,PP,P.S.O.E.,Lista más votada
02007,Alcalá del Júcar,1153,Pedro Antonio González Jiménez,PSOE,PSOE,PP,Lista más votada
02008,Alcaraz,1310,Pedro Jesus Valero Montoya,PSOE,PSOE,PP,Lista más votada
02009,Almansa,24388,Javier Sanchez Roselló,PP,PP,P.S.O.E.,Lista más votada
02010,Alpera,2285,Isabel Belen Iniesta Egido,PSOE,PSOE,PP,Lista más votada
02011,Ayna,582,Juan Angel Martinez Gonzalez,PP,PP,P.S.O.E.,Lista más votada
02012,Balazote,2363,Mateo Simarro García,PSOE,PSOE,PP,Lista más votada
02014,"Ballestero, El",413,Daniel Martinez Saez,IU,PP,P.S.O.E.,Otro
02013,Balsa de Ves,129,Natividad Pérez García,PSOE,PSOE,PP,Lista más votada
02015,Barrax,1808,Josefa Navarrete Pérez,PSOE,PSOE,PP,Lista más votada
02016,Bienservida,595,José Luis Cano Ledesma,PP,PP,P.S.O.E.,Lista más votada
02017,Bogarra,768,Andrés Carreño Sánchez,PSOE,PSOE,PP,Lista más votada
02018,Bonete,1031,Josefa Mansilla Ortuño,PP,PP,P.S.O.E.,Lista más votada
02019,"Bonillo, El",2718,Juan Gil Gutierrez,PSOE,PSOE,PP,Lista más votada
02020,Carcelén,496,Maria Dolores Gomez Piqueras,PSOE,PSOE,PP,Lista más votada
02021,Casas de Juan Núñez,1361,Juan Carlos Gómez González,PSOE,PSOE,PP,Lista más votada
02022,Casas de Lázaro,328,Maria Eugenia Cuartero Garrido,AICL,AICL,PP,Lista más votada
02023,Casas de Ves,564,María Isabel García Candel,PSOE,PSOE,PP,Lista más votada
02024,Casas-Ibáñez,4540,Javier Escribano Gomez,PP,PSOE,PP,Otro
02025,Caudete,10077,Moises Lopez Martinez,PP,PP,P.S.O.E.,Lista más votada
02026,Cenizate,1186,Enrique Navarro Carrión,PSOE,PSOE,PP,Lista más votada
02029,Chinchilla de Monte-Aragón,4344,Francisco Morote Alcaraz,PSOE,PSOE,PP,Lista más votada
02027,Corral-Rubio,306,Juan Miguel Parra Bueno,PSOE,PSOE,PP,Lista más votada
02028,Cotillas,134,Francisco Zamora Lopez,PSOE,PSOE,-,Lista más votada
02030,Elche de la Sierra,3557,Raquel Ruíz López,PSOE,PSOE,PP,Lista más votada
02031,Férez,628,Francisco Javier Jaime Espinosa,PSOE,PSOE,PP,Lista más votada
02032,Fuensanta,280,Jose Manuel Nuñez Nuñez,PSOE,PSOE,PP,Lista más votada
02033,Fuente-Álamo,2447,Felix Torralba Castillo,PSOE,PSOE,PP,Lista más votada
02034,Fuentealbilla,1836,Angel Salmeron Garrido,PP,PP,P.S.O.E.,Lista más votada
02035,"Gineta, La",2554,Antonio Belmonte Moraga,PSOE,PSOE,PP,Lista más votada
02036,Golosalvo,99,Jose Antonio Piqueras Garcia,PP,PP,P.S.O.E.,Lista más votada
02037,Hellín,30427,Ramón García Rodríguez,PSOE,PSOE,PP,Lista más votada
02038,"Herrera, La",311,Pablo Escobar Vazquez,PP,PP,P.S.O.E.,Lista más votada
02039,Higueruela,1144,Isabel Martinez Arnedo,PSOE,PSOE,PP,Lista más votada
02040,Hoya-Gonzalo,598,Antonio Calero Belmonte,PSOE,PSOE,PP,Lista más votada
02041,Jorquera,363,Jesus Maria Jimenez Sanchez,PP,PP,P.S.O.E.,Lista más votada
02042,Letur,909,Sergio Marín Sánchez,PSOE,PSOE,PP,Lista más votada
02043,Lezuza,1322,Alfonso Avendaño Sanchez,PSOE,PSOE,PP,Lista más votada
02044,Liétor,1123,Antonio Garcia Docon,PP,PSOE,PP,Otro
02045,Madrigueras,4654,Juan Carlos Talavera Utiel,PSOE,PSOE,I.U.,Lista más votada
02046,Mahora,1380,Antonio Martinez Gomez,PP,PP,P.S.O.E.,Lista más votada
02047,Masegoso,105,Pedro Iniesta Cuerda,PP,PP,-,Lista más votada
02048,Minaya,1483,Juan Jose Grande Gonzalez,PP,PP,P.S.O.E.,Lista más votada
02049,Molinicos,829,María Dolores Serrano Gutiérrez,PSOE,PSOE,PP,Lista más votada
02050,Montalvos,86,Jose Angel Fragoso Motos,PP,PSOE,PP,Otro
02051,Montealegre del Castillo,2038,Sinforiano Montes Sanchez,PP,PP,P.S.O.E.,Lista más votada
02052,Motilleja,605,Antonio Francisco Armero Gómez,PSOE,PSOE,PP,Lista más votada
02053,Munera,3433,Desiderio Martinez Martinez,PSOE,PSOE,PP,Lista más votada
02054,Navas de Jorquera,536,Maria De Los Dolores Murcia Perez,PP,PP,P.S.O.E.,Lista más votada
02055,Nerpio,1197,José Antonio Gómez Moreno,PSOE,PSOE,PP,Lista más votada
02056,Ontur,1963,Jesús López Higuera,PSOE,PSOE,PP,Lista más votada
02057,Ossa de Montiel,2241,Alejandro Chilléron Mora,SEC,PSOE,SEC,Otro
02058,Paterna del Madera,323,Maria Rosario Lorenzo Lopez,PSOE,PSOE,PP,Lista más votada
02060,Peñas de San Pedro,1410,Antonio Serrano Aguilar,PP,PP,P.S.O.E.,Lista más votada
02059,Peñascosa,320,Pedro Rodríguez Corcoles,IU,IU,P.S.O.E.,Lista más votada
02061,Pétrola,676,Juan Gomez Morote,PP,PP,P.S.O.E.,Lista más votada
02062,Povedilla,401,Francisco Vaquerizo Camacho,PSOE,PSOE,PP,Lista más votada
02901,Pozo Cañada,2797,Francisco García Alcaraz,PSOE,PSOE,PP,Lista más votada
02064,Pozo-Lorente,394,María De Los Llanos Valero Hernández,PSOE,PSOE,PP,Lista más votada
02063,Pozohondo,1584,Amparo Nuñez Sanchez,PP,PSOE,PP,Otro
02065,Pozuelo,465,Gregorio Moreno López,PSOE,PSOE,PP,Lista más votada
02066,"Recueja, La",225,Maria Llanos Haya Lopez,PP,PP,P.S.O.E.,Lista más votada
02067,Riópar,1326,Pedro Pablo Perez Moreno,PSOE,PSOE,PP,Lista más votada
02068,Robledo,391,Cristian Cuerda Gonzalez,Cs,Cs,P.S.O.E.,Lista más votada
02069,"Roda, La",15401,Juan Ramon Amores Garcia,PSOE,PSOE,PP,Lista más votada
02070,Salobre,461,Francisco Martinez Garcia,PSOE,PSOE,-,Lista más votada
02071,San Pedro,1148,Daniel Sancha Cañadas,PSOE,PSOE,PP,Lista más votada
02072,Socovos,1750,Saturnino González Martínez,PSOE,PSOE,PP,Lista más votada
02073,Tarazona de la Mancha,6184,Miguel Zamora Saiz,PSOE,PSOE,PP,Lista más votada
02074,Tobarra,7691,Amparo Ballesteros Jiménez,PSOE,PSOE,PP,Lista más votada
02075,Valdeganga,1947,Fermin Gomez Sarrion,PP,PP,P.S.O.E.,Lista más votada
02076,Vianos,327,Francisco Jose Torres Navarro,PSOE,PSOE,PP,Lista más votada
02077,Villa de Ves,62,Juan Garcia Moyano,PP,PP,P.S.O.E.,Lista más votada
02078,Villalgordo del Júcar,1081,Jose Luis Martinez Cano,PSOE,PSOE,PP,Lista más votada
02079,Villamalea,4040,Ana Teresa García Lozano,PSOE,PSOE,PP,Lista más votada
02080,Villapalacios,556,Jose Angel Rodriguez Herrera,PSOE,PSOE,PP,Lista más votada
02081,Villarrobledo,24978,Simon Valentin Bueno Vargas,PP,PP,P.S.O.E.,Lista más votada
02082,Villatoya,108,María Llanos Sánchez Collado,PSOE,PSOE,PP,Lista más votada
02083,Villavaliente,214,Luis Miguel Gil Roselló,PSOE,PSOE,PP,Lista más votada
02084,Villaverde de Guadalimar,333,Silvio Victor Moreno Sanchez,PSOE,PSOE,Cs,Lista más votada
02085,Viveros,328,Casto Mena Garcia,AIV,PSOE,AIV,Otro
02086,Yeste,2567,Cortes Buendía Sánchez,PSOE,PSOE,PP,Lista más votada
03002,Agost,4906,Juan José Castelló Molina,PP,PP,PSOE,Lista más votada
03003,Agres,580,Rafael Sanjuan Fernández,NADS,PP,AGRES-COMPROMÍS MUNICIPAL,Otro
03004,Aigües,1049,Jordi Mourisco Cabot,PSOE,PSOE,PP,Lista más votada
03014,Alacant/Alicante,337304,Luis Jose Barcala Sierra,PP,PP,P.S.O.E.,Lista más votada
03005,Albatera,12714,Ana Iluminada Serna Garcia,PP,PP,P.S.O.E.,Lista más votada
03006,Alcalalí,1336,Maria Isabel Molina Vicens,COMPROMÍS,COMPROMÍS,PP,Lista más votada
03009,Alcoi/Alcoy,59128,Antonio Alfonso Francés Pérez,PSOE,PSOE,PP,Lista más votada
03008,Alcoleja,181,Francisco Miguel Fenollar Ivañez,PSOE,PSOE,PP,Lista más votada
03007,Alcosser,243,Lucía Capablanca Francés,COMPROMÍS,COMPROMÍS,PP,Lista más votada
03010,Alfafara,408,Antonio Cloquell Tudela,GXA,GXA,COMPROMIS MUNICIPAL,Lista más votada
03011,"Alfàs del Pi, l'",20495,Vicente Arques Cortés,PSOE,PSOE,PP,Lista más votada
03012,Algorfa,3396,Manuel Ivan Ros Rodes,PSOE,PSOE,PP,Lista más votada
03013,Algueña,1334,María Del Carmen Jover Pérez,PP,PP,PSOE,Lista más votada
03015,Almoradí,21404,María Gómez García,PP,PP,P.S.O.E.,Lista más votada
03016,Almudaina,117,José Luis Seguí Andrés,PP,PP,P.S.O.E.,Lista más votada
03017,"Alqueria d'Asnar, l'",498,Francisco Jaime Pascual Pascual,PSOE,PSOE,PP,Lista más votada
03018,Altea,22657,Jaume Llinares Cortes,COMPROMÍS,COMPROMÍS,PP,Lista más votada
03019,Aspe,21088,Antonio Puerto Garcia,EUPV:SE,EUPV:SE,PP,Lista más votada
03001,"Atzúbia, L´",609,Maria Oltra Vidal,IAF,IAF,PP,Lista más votada
03020,Balones,134,Juan Tomas Bou Perez,PSOE,PSOE,PP,Lista más votada
03021,Banyeres de Mariola,7113,Josep Sempere I Castelló,COMPROMÍS,COMPROMÍS,PP,Lista más votada
03022,Benasau,170,Raúl Dalmau Aliaga,PP,PP,P.S.O.E.,Lista más votada
03023,Beneixama,1707,Vicente Ibáñez Cruz,PSOE,PSOE,PP,Lista más votada
03024,Benejúzar,5453,Rosa Maria García Ballester,Cs,PP,P.S.O.E.,Otro
03025,Benferri,1958,Luis Vicente Mateo,PSOE,PSOE,PP,Lista más votada
03026,Beniarbeig,2227,Juan Jose Mas Escriva,PSOE,PSOE,PP,Lista más votada
03027,Beniardà,192,Rafaela Llorens Cepas,PSOE,PSOE,PP,Lista más votada
03028,Beniarrés,1083,Miguel Ángel Sanchis Jordà,COMPROMÍS,PSOE,PP,Otro
03030,Benidoleig,1166,Pedro Antonio Segui Caselles,PSOE,PSOE,COMPROMIS MUNICIPAL,Lista más votada
03031,Benidorm,69118,Antonio Perez Perez,PP,PP,P.S.O.E.,Lista más votada
03032,Benifallim,103,José Carlos Barrachina Bernabeu,PP,PP,-,Lista más votada
03033,Benifato,135,David Blanes Fraces,PP,PP,-,Lista más votada
03029,Benigembla,483,Rogelio Taverner Sendra,PSOE,PSOE,COMPROMIS MUNICIPAL,Lista más votada
03034,Benijófar,3323,Luis Rodríguez Pérez,PP,PP,P.S.O.E.,Lista más votada
03035,Benilloba,737,Saul Jorda Ferrer,PSOE,IPB,P.S.O.E.,Otro
03036,Benillup,101,Javier Navarro Adrián,PP,PP,-,Lista más votada
03037,Benimantell,501,Jose Manuel Andreu Rocamora,PSOE,PSOE,Cs,Lista más votada
03038,Benimarfull,397,Carlos Montava Moltó,PSOE,PS,PP,Otro
03039,Benimassot,97,Ismael Molines Garcia,PP,PP,P.S.O.E.,Lista más votada
03040,Benimeli,415,Jose Lull Llopis,UpB,UpB,-,Lista más votada
03041,Benissa,11462,Arturo Poquet Ribes,PP,PP,RB,Lista más votada
03043,Biar,3628,Mª Magdalena Martínez Martínez,PP,PP,P.S.O.E.,Lista más votada
03044,Bigastro,6994,Teresa María Belmonte Sánchez,PP,PP,P.S.O.E.,Lista más votada
03045,Bolulla,426,Adrián Martínez Calafat,PP,PP,P.S.O.E.,Lista más votada
03046,Busot,3207,Alejandro Morant Climent,PP,PP,COMPROMIS MUNICIPAL,Lista más votada
03048,Callosa d'En Sarrià,7589,Andres Molina Ferrandiz,PP,PP,P.S.O.E.,Lista más votada
03049,Callosa de Segura,19273,Manuel Martínez Sirvent,PP,PP,P.S.O.E.,Lista más votada
03047,Calp,23530,Ana Maria Sala Fernandez,PP,PP,P.S.O.E.,Lista más votada
03051,"Camp de Mirra, el/Campo de Mirra",429,Juan José Espadas Guerola,PP,PP,P.S.O.E.,Lista más votada
03050,"Campello, el",29013,Juan Jose Berenguer Alcobendas,PP,PP,P.S.O.E.,Lista más votada
03052,Cañada,1191,Juan Molina Beneito,PP,PP,COMPROMÍS MUNICIPAL,Lista más votada
03053,Castalla,10752,Antonio Bernabeu Bernabeu,Cs,Cs,ESQUERRA UNIDA PER CASTALLA COMPROMIS MUNICIPAL,Lista más votada
03054,Castell de Castells,425,Vicente Tomas Estalrich,FEPAL,FEPAL,P.S.O.E.,Lista más votada
03075,"Castell de Guadalest, el",243,Enrique Ponsoda Fracés,Cs,Cs,PP,Lista más votada
03055,Catral,8880,Juan Jose Vicente Martinez,APCATRAL,PP,APCATRAL,Otro
03056,Cocentaina,11451,Mireia Estepa Olcina,PSOE,PSOE,COMPROMIS MUNICIPAL,Lista más votada
03057,Confrides,271,Rubén Picó Vaquer,PP,PP,ICA-FEPAL,Lista más votada
03058,Cox,7427,Antonio Jose Bernabeu Santo,PP,PP,P.S.O.E.,Lista más votada
03059,Crevillent,29717,Jose Manuel Penalva Casanova,COMPROMÍS,PP,COMPROMÍS MUNICIPAL,Otro
03061,Daya Nueva,1757,Pablo Girona Garcia,PSOE,Cs,PP,Otro
03062,Daya Vieja,707,José Vicente Fernández Costa,COMPROMÍS,COMPROMÍS,Cs,Lista más votada
03063,Dénia,42953,Vicente Grimalt Boronat,PSOE,PSOE,COMPROMIS MUNICIPAL,Lista más votada
03064,Dolores,7620,Jose Joaquin Hernández Saez,PSOE,PSOE,PP,Lista más votada
03066,Elda,52551,Rubén Alfaro Bernabé,PSOE,PSOE,PP,Lista más votada
03065,Elx/Elche,234205,Carlos González Serna,PSOE,PSOE,PP,Lista más votada
03067,Fageca,105,Ismael Vidal Soneira,PSOE,PSOE,PP,Lista más votada
03068,Famorca,45,Vicente Antonio Ruiz Rodríguez,PP,PP,-,Lista más votada
03069,Finestrat,7402,Juan Francisco Pérez Llorca,PP,PP,P.S.O.E.,Lista más votada
03077,"Fondó de les Neus, el/Hondón de las Nieves",2634,Carmen Sellés Prieto,PP,PP,PSOE,Lista más votada
03070,Formentera del Segura,4337,Francisco Cano Murcia,PP,PP,P.S.O.E.,Lista más votada
03072,Gaianes,505,Agustín Martínez Torregrosa,COMPROMÍS,COMPROMÍS,P.S.O.E.,Lista más votada
03071,Gata de Gorgos,6223,Josep Francesc Signes Costa,COMPROMÍS,PP,COMPROMIS MUNICIPAL,Otro
03073,Gorga,261,Blas Calbo Ferrándiz,PSOE,PSOE,PP,Lista más votada
03074,Granja de Rocamora,2609,Francisco Javier Mora Rocamora,Cs,Cs,PP,Lista más votada
03076,Guardamar del Segura,15983,Jose Luis Saez Pastor,PSOE,PSOE,PP,Lista más votada
03078,Hondón de los Frailes,1299,Eleuterio Jover García,PP,PP,PSOE,Lista más votada
03079,Ibi,23652,Rafael Serralta Vilaplana,PP,PP,P.S.O.E.,Lista más votada
03080,Jacarilla,2030,Pilar Diaz Rodríguez,PSOE,PSOE,PP,Lista más votada
03136,la Vall de Gallinera,557,Ignasi Mora Bataller,GPV,GPV,PP,Lista más votada
03085,Llíber,883,Jose Juan Reus Reus,PP,PP,COMPROMIS MUNICIPAL,Lista más votada
03086,Millena,242,Cesar Francisco Garcia Bonet,PSOE,PSOE,PP,Lista más votada
03088,Monforte del Cid,8500,María Dolores Berenguer Belló,EUPV:SE,EUPV:SE,PP,Lista más votada
03089,Monòver/Monóvar,12188,Alejandro García Ferrer,PSOE,PSOE,PP,Lista más votada
03903,"Montesinos, Los",5123,Jose Manuel Butron Sanchez,PSOE,PSOE,PP,Lista más votada
03091,Murla,549,Juan Fernando Giner Riera,PP,PP,P.S.O.E.,Lista más votada
03092,Muro de Alcoy,9326,Gabriel Tomàs Salvador,NADS,COMPROMÍS,PP,Otro
03090,Mutxamel,25679,Sebastian Cañadas Gallardo,PP,PP,P.S.O.E.,Lista más votada
03093,Novelda,25611,Francisco José Martínez Alted,PSOE,PSOE,Cs,Lista más votada
03094,"Nucia, la",18108,Bernabe Cano Garcia,PP,PP,P.S.O.E.,Lista más votada
03095,Ondara,7080,Jose Ramiro Pastor,PSOE,PSOE,PP,Lista más votada
03096,Onil,7569,Humildad Guill Fuster,PSOE,PSOE,PP,Lista más votada
03097,Orba,2233,Juan Ignacio Cervera Arbona,COMPROMÍS,COMPROMÍS,PP,Lista más votada
03099,Orihuela,78940,Carolina Gracia Gómez,PSOE,PP,P.S.O.E.,Otro
03084,"Orxa, l'/Lorcha",584,Juan Pablo Pinar Mas,PP,PP,TPL,Lista más votada
03098,Orxeta,787,José Vicente Ferriz Soriano,PSOE,PSOE,PP,Lista más votada
03100,Parcent,983,Joan Ripoll Mora,JxP,JxP,PP,Lista más votada
03101,Pedreguer,8006,Sergi Ferrus Peris,COMPROMÍS,COMPROMÍS,PP,Lista más votada
03102,Pego,10240,Enrique Moll Briones,PSOE,PSOE,COMPROMIS MUNICIPAL,Lista más votada
03103,Penàguila,275,Salvador Catala Pico,PSOE,PSOE,PP,Lista más votada
03104,Petrer,34009,Irene Navarro Díaz,PSOE,PSOE,PP,Lista más votada
03902,Pilar de la Horadada,22597,José María Pérez Sánchez,PP,PP,P.S.O.E.,Lista más votada
03105,"Pinós, el/Pinoso",8142,Lázaro Azorín Salar,PSOE,PSOE,PP,Lista más votada
03106,Planes,693,Francisco Javier Sendra Mengual,PP,PP,MP,Lista más votada
03042,"Poble Nou de Benitatxell, el/Benitachell",4447,Miguel Angel Garcia Buigues,MesB,MesB,REDcv,Lista más votada
03901,"Poblets, els",2721,Carolina Vives Bolufer,PSOE,PP,P.S.O.E.,Otro
03107,Polop,5069,Gabriel Fernández Fernández,PSOE,PSOE,PP,Lista más votada
03060,Quatretondeta,117,Francisco Picazo Perez,COMPROMÍS,COMPROMÍS,PP,Lista más votada
03109,Rafal,4597,Manuel Pineda Cuenca,PSOE,PSOE,PP,Lista más votada
03110,"Ràfol d'Almúnia, el",670,Jose Vicente Rovira Ferrando,COMPROMÍS,COMPROMÍS,PP,Lista más votada
03111,Redován,8058,Manuela Ruiz Peral,PP,PP,P.S.O.E.,Lista más votada
03112,Relleu,1173,Lino Antonio Pascual Carbonell,PP,PP,P.S.O.E.,Lista más votada
03113,Rojales,15978,Antonio Perez Garcia,PSOE,PSOE,PADER,Lista más votada
03114,"Romana, la",2542,Nelson Romero Pastor,PSOE,PSOE,PP,Lista más votada
03115,Sagra,427,Maria Teresa Rosello Puig,GPC,GPC,PP,Lista más votada
03116,Salinas,1642,Isidro Monzó Pérez,PP,PP,JxSalinas-COMPROMÍS,Lista más votada
03118,San Fulgencio,8447,Jose Sampere Ballester,PSOE,PSOE,P.I.P.N.,Lista más votada
03904,San Isidro,2146,Manuel Gil Gomez Cases,PSOE,PSOE,PP,Lista más votada
03120,San Miguel de Salinas,6553,Juan Dios Fresneda Arquero,PSOE,PSOE,PP,Lista más votada
03117,Sanet y Negrals,702,Joaquin Gavila Mengual,SANET-FEPAL,SANET-FEPAL,PP,Lista más votada
03119,Sant Joan d'Alacant,24363,Santiago Roman Gomez,Cs,PSOE,PP,Otro
03122,Sant Vicent del Raspeig/San Vicente del Raspeig,58912,Jesus Javier Villar Notario,PSOE,PSOE,Cs,Lista más votada
03121,Santa Pola,34148,Maria Loreto Serrano Pomares,PP,PP,P.S.O.E.,Lista más votada
03123,Sax,9935,Laura Estevan Antolin,PP,PP,P.S.O.E.,Lista más votada
03124,Sella,578,María Del Milagro Llinares Fenollar,ES,ES,PP,Lista más votada
03125,Senija,605,Joaquin Ginestar Rosello,COMPROMÍS,COMPROMÍS,PP,Lista más votada
03127,Tàrbena,642,Francisco Javier Molines Sifre,IPT-FEPAL,IPT-FEPAL,P.S.O.E.,Lista más votada
03128,Teulada,11466,Vicente Raul Llobell Signes,PP,PP,COMPROMIS MUNICIPAL,Lista más votada
03129,Tibi,1691,Jose Luis Candela Galiano,PSOE,PP,P.S.O.E.,Otro
03130,Tollos,37,Fèlix Frau Seguí,PP,PP,P.S.O.E.,Lista más votada
03131,Tormos,327,Geronimo Bermudez Lara,PP,PP,P.S.O.E.,Lista más votada
03132,"Torre de les Maçanes, la/Torremanzanas",681,Cristobal Sala Menarques,PP,PSOE,PP,Otro
03133,Torrevieja,82842,Eduardo Jorge Dolón Sánchez,PP,PP,P.S.O.E.,Lista más votada
03134,"Vall d'Alcalà, la",163,Pablo Martinez Sarch,PSOE,PSOE,PP,Lista más votada
03135,"Vall d'Ebo, la",204,Leonor Jimenez Damaso,PSOE,PSOE,-,Lista más votada
03137,"Vall de Laguar, la",843,Juan Carlos Mengual Mengual,COMPROMÍS,COMPROMÍS,PP,Lista más votada
03138,"Verger, el",4841,Juan Jose Chover Blasco,PSOE,PSOE,COMPROMIS MUNICIPAL,Lista más votada
