cod_ine,mun,pob,nombre_completo,partido_alcalde,partido_ganador,segundo,gobierna
27027,Lourenzá,2129,Rocio López García,PSOE,PSOE,PP,Lista más votada
27028,Lugo,97613,Lara Mendez Lopez,PSOE,PP,PSdeG-PSOE,Otro
27029,Meira,1731,Antonio De Dios Alvarez,PSOE,PSOE,PP,Lista más votada
27030,Mondoñedo,3480,Manuel Angel Otero Legide,PP,PP,PSdeG-PSOE,Lista más votada
27031,Monforte de Lemos,18242,José Tomé Roca,PSOE,PSOE,PP,Lista más votada
27032,Monterroso,3562,Rocio Seijas Vázquez,IxM,IxM,P.S.O.E.,Lista más votada
27033,Muras,611,Manuel Requeijo Arnejo,BNG,BNG,PP,Lista más votada
27034,Navia de Suarna,1041,José Fernández Fernández,PSOE,PSOE,P.P.,Lista más votada
27035,Negueira de Muñiz,223,José Manuel Braña Pereda,PSOE,PSOE,NEGUEIRA VIVA,Lista más votada
27037,"Nogais, As",1018,Jesus Manuel Nuñez Diaz,PP,PP,PSdeG-PSOE,Lista más votada
27038,Ourol,984,José Luis Pajon Camba,PSOE,PSOE,PP,Lista más votada
27039,Outeiro de Rei,5216,Jose Pardo Lombao,PP,PP,B.N.G.,Lista más votada
27040,Palas de Rei,3316,Pablo Jose Taboada Camoira,PP,PP,P.S.O.E.,Lista más votada
27041,Pantón,2429,Jose Luis Alvarez Blanco,PP,PP,B.N.G.,Lista más votada
27042,Paradela,1723,Jose Manuel Mato Diaz,PP,PP,PSdeG-PSOE,Lista más votada
27043,"Páramo, O",1347,José Luis López López,AGRUPACIÓN DE ELECTORES TODO POLO PÁRAMO,AGRUPACIÓN DE ELECTORES TODO POLO PÁRAMO,PP,Lista más votada
27044,"Pastoriza, A",2918,Primitivo Iglesia Sierra,PSOE,PP,PSdeG-PSOE,Otro
27045,Pedrafita do Cebreiro,943,Jose Luis Raposo Magdalena,PSOE,PSOE,PP,Lista más votada
27047,"Pobra do Brollón, A",1615,Jose Luis Maceda Vilariño,BNG,BNG,P.S.O.E.,Lista más votada
27046,Pol,1634,Lino Rodriguez Onega,PSOE,PSOE,PP,Lista más votada
27048,"Pontenova, A",2207,Darío Campos Conde,PSOE,PSOE,PP,Lista más votada
27049,Portomarín,1382,Pablo Rivas Folgueira,PP,PP,P.S.O.E.,Lista más votada
27050,Quiroga,3151,Julio Alvarez Nuñez,PP,PP,PSdeG-PSOE,Lista más votada
27056,Rábade,1524,Francisco Xose Fernandez Montes,IR,PP,IR,Otro
27051,Ribadeo,9871,Fernando Suárez Barcia,BNG,BNG,PP,Lista más votada
27052,Ribas de Sil,946,Miguel Angel Sotuela Vega,PSOE,PSOE,PP,Lista más votada
27053,Ribeira de Piquín,513,Roberto Fernandez Rico,PSOE,PSOE,P.P.,Lista más votada
27054,Riotorto,1213,Clemente Iglesias Gonzalez,PP,PP,PSdeG-PSOE,Lista más votada
27055,Samos,1222,Julio Gallego Moure,PSOE,PSOE,PP,Lista más votada
27057,Sarria,13257,Claudio Melquíades Garrido Martínez,CAMIÑA SARRIA,CAMIÑA SARRIA,PP,Lista más votada
27058,"Saviñao, O",3589,Juan Carlos Armesto Quiroga,PP,PP,PSdeG-PSOE,Lista más votada
27059,Sober,2243,Luis Fernandez Guitian,PP,PP,IG-VIVO,Lista más votada
27060,Taboada,2689,Ramiro Moure Ansoar,PP,PP,P.S.O.E.,Lista más votada
27061,Trabada,1114,Mayra Garcia Bermudez,PSOE,PSOE,PP,Lista más votada
27062,Triacastela,627,Maria Olga Iglesias Fontal,PP,PP,PSdeG-PSOE,Lista más votada
27063,"Valadouro, O",1960,Edmundo Maseda Maseda,PSOE,PSOE,PP,Lista más votada
27064,"Vicedo, O",1657,Jose Jesus Novo Martinez,PP,PP,PSdeG-PSOE,Lista más votada
27065,Vilalba,14006,María Elba Veleiro Fernandez,PSOE,PSOE,PP,Lista más votada
27066,Viveiro,15312,María Loureiro García,PSOE,PSOE,PP,Lista más votada
27021,Xermade,1768,Roberto García Pernas,PSdeGPSOE,PSdeGPSOE,PP,Lista más votada
27025,Xove,3360,Jose Demetrio Salgueiro Rapa,PP,PP,B.N.G.,Lista más votada
28001,"Acebeda, La",55,María Rosa García Blanco,Cs,Cs,PP,Lista más votada
28002,Ajalvir,4676,Víctor Miguel Malo Gómez,AIA,PP,AIA,Otro
28003,Alameda del Valle,246,Roberto Canencia Castro,PP,PP,P.S.O.E.,Lista más votada
28004,"Álamo, El",9908,Natalia Quintana Serrano,PP,PP,P.S.O.E.,Lista más votada
28005,Alcalá de Henares,195982,Javier Rodríguez Palacios,PSOE,PSOE,Cs,Lista más votada
28006,Alcobendas,116589,Aitor Retolaza Izpizua,Cs,PP,P.S.O.E.,Otro
28007,Alcorcón,170817,Natalia De Andrés Del Pozo,PSOE,PSOE,PP,Lista más votada
28008,Aldea del Fresno,3085,Maria Isabel Hernández Hernández,IPA,IPA,P.S.O.E.,Lista más votada
28009,Algete,20749,Juan Jesús Valle García,PSOE,PSOE,PP,Lista más votada
28010,Alpedrete,14959,Juan Rodriguez Fernandez Alfaro,PP,PP,P.S.O.E.,Lista más votada
28011,Ambite,662,Apolonio Alcaide Bravo,AEST-A,AEST-A,VUPA,Lista más votada
28012,Anchuelo,1359,Javier Doncel Fernández,PP,PP,VxA,Lista más votada
28013,Aranjuez,59833,María Josefa Martínez De La Fuente,PP,PSOE,PP,Otro
28014,Arganda del Rey,56386,Guillermo Hita Téllez,PSOE,PSOE,PP,Lista más votada
28015,Arroyomolinos,33687,Ana Belén Millán Arroyo,PP,PP,Cs,Lista más votada
28016,"Atazar, El",109,Juan Pablo Lozano García,PSOE,PP,P.S.O.E.,Otro
28017,Batres,1820,Victor Manuel Lopez Rodriguez,ADB,ADB,TDB,Lista más votada
28018,Becerril de la Sierra,6108,Antonio Herrero Márquez,PSOE,PSOE,PP,Lista más votada
28019,Belmonte de Tajo,1751,Amador Salinas Haro,PSOE,PSOE,PP,Lista más votada
28021,"Berrueco, El",796,Jaime Sanz Lozano,PP,PP,P.S.O.E.,Lista más votada
28020,Berzosa del Lozoya,216,Antonio Del Pozo González,PP,PP,P.S.O.E.,Lista más votada
28022,Boadilla del Monte,59052,Francisco Javier Úbeda Liébana,PP,PP,Cs,Lista más votada
28023,"Boalo, El",8009,Javier De Los Nietos Miguel,PSOE,PSOE,PODEMOS-IU-EQUO,Lista más votada
28024,Braojos,218,Ricardo José Moreno Picas,PP,PP,I.B.,Lista más votada
28025,Brea de Tajo,523,Rafael Barcala Gómez,PP,PP,P.S.O.E.,Lista más votada
28026,Brunete,10726,José Manuel Hoyo Serrano,PSOE,PP,P.S.O.E.,Otro
28027,Buitrago del Lozoya,1940,Tomás Fernández Vidal,PSOE,PP,P.S.O.E.,Otro
28028,Bustarviejo,2701,Felipe Blasco Santos,PP,PP,AVB,Lista más votada
28029,Cabanillas de la Sierra,837,Jaime García San Martín,PP,PP,SOMOS CABANILLAS,Lista más votada
28030,"Cabrera, La",2782,Gregorio Miguel Cerezo Hernandez,PP,PP,P.S.O.E.,Lista más votada
28031,Cadalso de los Vidrios,3203,Verónica María Muñoz Villalba,PP,PP,P.S.O.E.,Lista más votada
28032,Camarma de Esteruelas,7555,Pedro Valdominos Horche,PSOE,PSOE,PP,Lista más votada
28033,Campo Real,6416,Felipe Moreno Morera,CIDC,CIDC,PP,Lista más votada
28034,Canencia,461,María Mercedes López Moreno,PP,PP,AVIC,Lista más votada
28035,Carabaña,2142,Mario Terrón Fuentes,PP,PP,P.S.O.E.,Lista más votada
28036,Casarrubuelos,3939,Vicente José Astillero Ballesteros,LIH-GMLV,LIH-GMLV,PP,Lista más votada
28037,Cenicientos,2083,Natalia Núñez Jiménez,PSOE,PSOE,COMCE,Lista más votada
28038,Cercedilla,7359,Luis Miguel Peña Fernandez,JXCER,JXCER,G.I. CERCEDILLA,Lista más votada
28039,Cervera de Buitrago,158,Isidro Parra Acevedo,PSOE,PSOE,PP,Lista más votada
28051,Chapinería,2494,Lucía Moya Domínguez,iC,iC,PP,Lista más votada
28052,Chinchón,5506,Francisco Javier Martínez Mayor,ATySch,ATySch,PP,Lista más votada
28040,Ciempozuelos,25083,Raquel Jimeno Pérez,PSOE,PSOE,AhCiem,Lista más votada
28041,Cobeña,7444,Jorge Amatos Rodríguez,PP,PP,COIP,Lista más votada
28046,Collado Mediano,7348,Irene Zamora Sanchez,PP,PP,P.S.O.E.,Lista más votada
28047,Collado Villalba,63825,María Dolores Vargas Fernández,PP,PP,P.S.O.E.,Lista más votada
28043,Colmenar de Oreja,8303,David Moya Aguilar,PSOE,PP,P.S.O.E.,Otro
28042,Colmenar del Arroyo,1875,Ana Belén Barbero Martín,PP,PP,P.S.O.E.,Lista más votada
28045,Colmenar Viejo,52480,Jorge García Díaz,PP,PP,P.S.O.E.,Lista más votada
28044,Colmenarejo,9376,Miriam Polo Fernández,PSOE,PP,P.S.O.E.,Otro
28048,Corpa,742,Santiago Serrano Barranco,IU,IU,P.S.O.E.,Lista más votada
28049,Coslada,81273,Ángel Viveros Gutiérrez,PSOE,PSOE,PP,Lista más votada
28050,Cubas de la Sagra,6642,Antonio Naranjo Martín,PP,PP,P.S.O.E.,Lista más votada
28053,Daganzo de Arriba,10520,Manuel Jurado Marrufo,PP,PP,P.S.O.E.,Lista más votada
28054,"Escorial, El",16594,Cristian Martín Palomo,PSOE,PP,P.S.O.E.,Otro
28055,Estremera,1381,Carmen María Sánchez Lozano,PSOE,PSOE,PP,Lista más votada
28056,Fresnedillas de la Oliva,1742,José Damián De La Peña Alonso,PF,PF,PP,Lista más votada
28057,Fresno de Torote,2416,Ana Isabel Arias López,PP,PP,Cs,Lista más votada
28058,Fuenlabrada,192233,Francisco Javier Ayala Ortega,PSOE,PSOE,Cs,Lista más votada
28059,Fuente el Saz de Jarama,6883,Maria José Moñino Muñoz,PP,PP,P.S.O.E.,Lista más votada
28060,Fuentidueña de Tajo,2228,José Antonio Domínguez Chacón,PSOE,PSOE,FDT,Lista más votada
28061,Galapagar,34712,Alberto Gómez Martín,PSOE,PP,P.S.O.E.,Otro
28062,Garganta de los Montes,411,Rodrigo Garcia Martín,PP,PP,P.S.O.E.,Lista más votada
28063,Gargantilla del Lozoya y Pinilla de Buitrago,344,Rafael García Gutiérrez,PP,PP,P.S.O.E.,Lista más votada
28064,Gascones,191,Jesus Manuel Romero Martin,PP,PP,P.S.O.E.,Lista más votada
28065,Getafe,183095,Sara Hernández Barroso,PSOE,PSOE,PP,Lista más votada
28066,Griñón,10467,Jose María Porras Agenjo,CID GRIÑON,CID GRIÑON,PP,Lista más votada
28067,Guadalix de la Sierra,6594,Borja Álvarez González,PSOE,PSOE,PP,Lista más votada
28068,Guadarrama,16747,Diosdado Soto Perez,PP,PP,appg,Lista más votada
28069,"Hiruela, La",72,Ignacio Javier Merino Jimenez,PP,PP,Cs,Lista más votada
28070,Horcajo de la Sierra-Aoslos,170,Adrián Manzanares Uceda,PSOE,PSOE,PP,Lista más votada
