cod_ine,municipio,provincia,poblacion,partido_ganador,por_votos,color_ganador,color_code_ganador,alcalde,partido_alcalde,color_alcalde,color_code_alcalde,gobierna
01059,Vitoria-Gasteiz,Álava,253672,EH Bildu,22.8,EH BILDU,#22b194,Maider Etxebarria Garcia,PSOE,PSOE,#da1f35,Otro
01060,Yécora/Iekora,Álava,247,PNV,51.5,PNV,#318731,Alfredo Arguijo Echazarreta,PNV,PNV,#318731,Lista más votada
01061,Zalduondo,Álava,195,EH Bildu,51.72,EH BILDU,#22b194,Lourdes Lekuona Laburu,EH Bildu,EH BILDU,#22b194,Lista más votada
01062,Zambrana,Álava,425,PSOE,53.56,PSOE,#da1f35,Trinidad Zarza Martinez,PSOE,PSOE,#da1f35,Lista más votada
01063,Zuia,Álava,2330,EH Bildu,45.36,EH BILDU,#22b194,Unai Gutierrez Urkiza,EH Bildu,EH BILDU,#22b194,Lista más votada
01901,Iruña Oka/Iruña de Oca,Álava,3551,PSOE,33.83,PSOE,#da1f35,Miguel Ángel Montes Sánchez,PSOE,PSOE,#da1f35,Lista más votada
01902,Lantarón,Álava,931,PNV,47.8,PNV,#318731,José Luis Salbidea Martínez,PNV,PNV,#318731,Lista más votada
02001,Abengibre,Albacete,739,PP,53.98,PP,#009ade,Javier Garcia Cebrian,PP,PP,#009ade,Lista más votada
02002,Alatoz,Albacete,496,PP,56.54,PP,#009ade,Enrique Garcia Serrano,PP,PP,#009ade,Lista más votada
02003,Albacete,Albacete,172357,PP,38.18,PP,#009ade,Manuel Ramon Serrano Lopez,PP,PP,#009ade,Lista más votada
02004,Albatana,Albacete,670,PSOE,69.45,PSOE,#da1f35,Francisco José Mansilla Pérez,PSOE,PSOE,#da1f35,Lista más votada
02005,Alborea,Albacete,663,PSOE,52.6,PSOE,#da1f35,Eugenio Reig Pardo,PSOE,PSOE,#da1f35,Lista más votada
02006,Alcadozo,Albacete,634,PP,62.21,PP,#009ade,Angel Alfaro Sancho,PP,PP,#009ade,Lista más votada
02007,Alcalá del Júcar,Albacete,1148,PSOE,72.57,PSOE,#da1f35,Juan Pascual Muñoz Legidos,PSOE,PSOE,#da1f35,Lista más votada
02008,Alcaraz,Albacete,1307,PSOE,54.16,PSOE,#da1f35,Pedro Jesus Valero Montoya,PSOE,PSOE,#da1f35,Lista más votada
02009,Almansa,Albacete,24224,PSOE,44.89,PSOE,#da1f35,Maria Pilar Callado Garcia,PSOE,PSOE,#da1f35,Lista más votada
02010,Alpera,Albacete,2245,PSOE,54.23,PSOE,#da1f35,Isabel Belen Iniesta Egido,PSOE,PSOE,#da1f35,Lista más votada
02011,Ayna,Albacete,582,PP,61.51,PP,#009ade,Juan Angel Martinez Gonzalez,PP,PP,#009ade,Lista más votada
02012,Balazote,Albacete,2388,PP,49.5,PP,#009ade,Jose Antonio Simon Sotos,PP,PP,#009ade,Lista más votada
02013,Balsa de Ves,Albacete,126,PSOE,52.94,PSOE,#da1f35,Natividad Pérez García,PSOE,PSOE,#da1f35,Lista más votada
02014,El Ballestero,Albacete,427,PSOE,39.08,PSOE,#da1f35,NA,NA,NA,NA,NA
02015,Barrax,Albacete,1831,PSOE,55.78,PSOE,#da1f35,Josefa Navarrete Pérez,PSOE,PSOE,#da1f35,Lista más votada
02016,Bienservida,Albacete,574,PP,59.43,PP,#009ade,José Luis Cano Ledesma,PP,PP,#009ade,Lista más votada
02017,Bogarra,Albacete,756,PSOE,69.51,PSOE,#da1f35,Andrés Carreño Sánchez,PSOE,PSOE,#da1f35,Lista más votada
02018,Bonete,Albacete,1006,PP,61.9,PP,#009ade,Josefa Mansilla Ortuño,PP,PP,#009ade,Lista más votada
02019,El Bonillo,Albacete,2698,PSOE,63.26,PSOE,#da1f35,Juan Gil Gutierrez,PSOE,PSOE,#da1f35,Lista más votada
02020,Carcelén,Albacete,483,PP,51.4,PP,#009ade,Antonio Moreno Hernández,PP,PP,#009ade,Lista más votada
02021,Casas de Juan Núñez,Albacete,1356,PSOE,56.49,PSOE,#da1f35,Juan Carlos Gómez González,PSOE,PSOE,#da1f35,Lista más votada
02022,Casas de Lázaro,Albacete,321,AICL,68.57,OTROS,#888375,Maria Eugenia Cuartero Garrido,AICL,OTROS,#888375,Lista más votada
02023,Casas de Ves,Albacete,561,PP,51.99,PP,#009ade,Maria Isabel Martinez Gomez,PP,PP,#009ade,Lista más votada
02024,Casas-Ibáñez,Albacete,4547,PSOE,43.1,PSOE,#da1f35,José María García Martínez,PSOE,PSOE,#da1f35,Lista más votada
02025,Caudete,Albacete,10135,PSOE,35.82,PSOE,#da1f35,Moises Lopez Martinez,PP,PP,#009ade,Otro
02026,Cenizate,Albacete,1183,PSOE,60.47,PSOE,#da1f35,Enrique Navarro Carrión,PSOE,PSOE,#da1f35,Lista más votada
02027,Corral-Rubio,Albacete,300,PP,61.78,PP,#009ade,Eugenio Farias Alcantud Ibañez,PP,PP,#009ade,Lista más votada
02028,Cotillas,Albacete,129,PSOE,49.47,PSOE,#da1f35,Florencia Lozano Romero,PSOE,PSOE,#da1f35,Lista más votada
02029,Chinchilla de Monte-Aragón,Albacete,4497,PSOE,37.42,PSOE,#da1f35,NA,NA,NA,NA,NA
02030,Elche de la Sierra,Albacete,3553,PSOE,52.03,PSOE,#da1f35,Raquel Ruíz López,PSOE,PSOE,#da1f35,Lista más votada
02031,Férez,Albacete,614,PSOE,85.81,PSOE,#da1f35,Francisco Javier Jaime Espinosa,PSOE,PSOE,#da1f35,Lista más votada
02032,Fuensanta,Albacete,281,PSOE,53.77,PSOE,#da1f35,Jose Manuel Nuñez Nuñez,PSOE,PSOE,#da1f35,Lista más votada
02033,Fuente-Álamo,Albacete,2461,PP,50.79,PP,#009ade,Josefa Montes Marco,PP,PP,#009ade,Lista más votada
02034,Fuentealbilla,Albacete,1821,PSOE,42.52,PSOE,#da1f35,NA,NA,NA,NA,NA
02035,La Gineta,Albacete,2568,PSOE,49.07,PSOE,#da1f35,José Sánchez Plaza,PSOE,PSOE,#da1f35,Lista más votada
02036,Golosalvo,Albacete,98,PP,62.5,PP,#009ade,Jose Antonio Piqueras Garcia,PP,PP,#009ade,Lista más votada
02037,Hellín,Albacete,30492,PP,41.99,PP,#009ade,Manuel Serena Fernandez,PP,PP,#009ade,Lista más votada
02038,La Herrera,Albacete,304,"AE ""Independientes por La Herrera""",54.72,OTROS,#82757f,Pablo Escobar Vazquez,AE Ind. por La Herrera,OTROS,#82757f,Lista más votada
02039,Higueruela,Albacete,1125,PSOE,60.1,PSOE,#da1f35,Isabel Martinez Arnedo,PSOE,PSOE,#da1f35,Lista más votada
02040,Hoya-Gonzalo,Albacete,561,PSOE,50.19,PSOE,#da1f35,Eliseo Francisco Fernandez Medina,PSOE,PSOE,#da1f35,Lista más votada
02041,Jorquera,Albacete,350,PP,69.96,PP,#009ade,Maria Pilar Medina Martinez,PP,PP,#009ade,Lista más votada
02042,Letur,Albacete,901,PSOE,64.63,PSOE,#da1f35,Sergio Marín Sánchez,PSOE,PSOE,#da1f35,Lista más votada
02043,Lezuza,Albacete,1300,PSOE,63.62,PSOE,#da1f35,Alfonso Avendaño Sanchez,PSOE,PSOE,#da1f35,Lista más votada
02044,Liétor,Albacete,1096,PP,54.66,PP,#009ade,Antonio Garcia Docon,PP,PP,#009ade,Lista más votada
