fecha,indicativo,fecha_maxima,temMax,nombre_clean,provincia_clean,latitud,longitud,record,nota,junio,mayo,abril,marzo,febrero,enero
2024-04-13,9051,2011-04-08,30.3,Medina de Pomar,Burgos,42.92,-3.482777778,Mensual,NA,NA,NA,30.9,NA,NA,NA
2024-04-13,9091O,2011-04-08,29.1,Foronda-Txokiza,Araba/Álava,42.88194444,-2.735,Mensual,NA,NA,NA,29.2,NA,NA,NA
2024-04-13,9091R,2013-04-17,28.8,Vitoria-Gasteiz Aeropuerto,Araba/Álava,42.87194444,-2.732777778,Mensual,NA,NA,NA,30.2,NA,NA,NA
2024-04-14,9111,2023-04-27,27.4,Belorado,Burgos,42.42111111,-3.170277778,Mensual,NA,NA,NA,27.6,NA,NA,NA
2024-04-14,9263X,2011-04-08,27.6,"Aranguren, Ilundain",Navarra,42.77611111,-1.5325,Mensual,NA,NA,NA,28.2,NA,NA,NA
2024-04-13,9585,1934-04-16,22,La Molina,Girona,42.3325,1.939444444,Mensual,La Molina 22ºC,NA,NA,22,NA,NA,NA
2024-04-14,9990X,2023-04-28,26.8,"Naut Aran, Arties",Lleida,42.70027778,0.8769444444,Mensual,NA,NA,NA,28.3,NA,NA,NA
2024-04-06,B228,1992-04-25,28,"Palma, Puerto",Baleares,39.55527778,2.625277778,Mensual,NA,NA,NA,28.9,NA,NA,NA
2024-04-14,B346X,2012-04-27,29.8,Porreres,Baleares,39.52166667,3.019166667,Mensual,NA,NA,NA,30.1,NA,NA,NA
2024-04-11,C229J,2008-04-25,36.1,Pájara,Las Palmas,28.04916667,-14.35805556,Mensual,NA,NA,NA,38,NA,NA,NA
2024-04-11,C329Z,2002-04-23,33.4,San Sebastián de La Gomera,Sta. Cruz de Tenerife,28.08972222,-17.11138889,Mensual,NA,NA,NA,35.3,NA,NA,NA
2024-04-11,C429I,2008-04-27,36.2,Tenerife Sur Aeropuerto,Sta. Cruz de Tenerife,28.04694444,-16.56111111,Mensual,Tenerife Sur Aeropuerto 38.3ºC,NA,NA,38.3,NA,NA,NA
2024-03-21,0324A,1990-03-22,25.5,Ripoll,Girona,42.19138889,2.196111111,Mensual,NA,NA,NA,NA,25.7,NA,NA
