indicativo,fecha_falsa,Máxima (media),Mínima (media),Máxima (umbral inferior),Máxima (umbral superior),Mínima (umbral inferior),Mínima (umbral superior),Máxima,Mínima,estacion,provincia,diferencia
9069C,2024-01-01,NA,NA,5.646931543358585,16.03986214559764,-5.423140661103495,7.539528090077402,11.3,0.9,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-02,11.037313333441638,0.9367828365783712,NA,NA,NA,NA,14.6,8.9,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-03,NA,NA,NA,NA,NA,NA,16.3,8.6,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-04,NA,NA,NA,NA,NA,NA,13.9,7.1,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-05,NA,NA,5.241356586513119,15.336098230065655,-4.619999957121328,7.348149673750327,10.7,4,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-06,10.426541710248893,1.198085109835359,NA,NA,NA,NA,6.7,3.3,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-07,NA,NA,NA,NA,NA,NA,8.8,1.3,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-08,NA,NA,NA,NA,NA,NA,9.8,0.1,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-09,NA,NA,NA,NA,NA,NA,6.1,-1.2,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-10,NA,NA,4.8977762578777035,14.829312482910064,-3.9451203669919255,7.191902350192854,6.3,2.5,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-11,9.957936824306298,1.4124837293962045,NA,NA,NA,NA,6.5,1.6,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-12,NA,NA,NA,NA,NA,NA,12.1,-1.2,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-13,NA,NA,NA,NA,NA,NA,8.6,-1.6,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-14,NA,NA,4.594483656008272,14.52392633698718,-3.4192544571552452,7.076504697475436,13.8,7.6,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-15,9.627089981277162,1.5688606851748277,NA,NA,NA,NA,17.3,10.4,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-16,NA,NA,NA,NA,NA,NA,14.2,8,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-17,NA,NA,NA,NA,NA,NA,17.7,12.8,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-18,NA,NA,NA,NA,NA,NA,16.2,5.5,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-19,NA,NA,4.346782256816351,14.417206119352606,-3.0292453585644648,6.992128099988185,5.5,-2.2,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-20,9.43773127822919,1.6722058788373315,NA,NA,NA,NA,11.4,-6,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-21,NA,NA,NA,NA,NA,NA,15.2,-3.8,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-22,NA,NA,NA,NA,NA,NA,15.8,5.1,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-23,NA,NA,NA,NA,NA,NA,17.1,5.4,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-24,NA,NA,4.199013353321937,14.49886973926906,-2.7353945867675757,6.929336549480078,22.4,1.7,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-25,9.397574998307146,1.7451789208978885,NA,NA,NA,NA,NA,0,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-26,NA,NA,NA,NA,NA,NA,19.5,-0.2,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-27,NA,NA,NA,NA,NA,NA,15.7,1.5,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-28,NA,NA,4.099642043605701,14.788245906172854,-2.638930725811154,6.92866932380117,16.6,-0.1,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-29,9.497674372550684,1.747310651172763,NA,NA,NA,NA,11.2,2.3,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-30,NA,NA,NA,NA,NA,NA,11.4,7.2,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-01-31,NA,NA,NA,NA,NA,NA,17.5,1.8,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-02-01,NA,NA,NA,NA,NA,NA,15.3,-0.2,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-02-02,NA,NA,4.089560836952321,15.27268631720805,-2.6465148155839007,6.9575087191019005,13.9,4.7,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-02-03,9.74789392371863,1.715877556453251,NA,NA,NA,NA,17.3,0.6,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-02-04,NA,NA,NA,NA,NA,NA,20.5,-0.2,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-02-05,NA,NA,NA,NA,NA,NA,17.6,-2.4,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-02-06,NA,NA,4.246158898495695,15.997894815484724,-2.692203925633122,6.947436950930607,16.4,1.1,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-02-07,10.219238092576788,1.657429884003595,NA,NA,NA,NA,13.3,-0.6,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-02-08,NA,NA,NA,NA,NA,NA,16.7,12,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-02-09,NA,NA,NA,NA,NA,NA,14.1,8.7,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-02-10,NA,NA,NA,NA,NA,NA,12.5,4.2,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-02-11,NA,NA,4.538659600123464,17.033550580228336,-2.898723875327882,6.8959103646577224,11.4,4,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-02-12,10.953965740788831,1.4993511898331764,NA,NA,NA,NA,15.5,4.4,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-02-13,NA,NA,NA,NA,NA,NA,18.4,1.2,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-02-14,NA,NA,NA,NA,NA,NA,17.1,6.8,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-02-15,NA,NA,NA,NA,NA,NA,20,5.7,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-02-16,NA,NA,4.921379256730165,18.04038122115935,-2.877091555372774,6.888686258324266,14.6,2.7,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-02-17,11.66523476615176,1.5034160346639618,NA,NA,NA,NA,18.5,0.1,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-02-18,NA,NA,NA,NA,NA,NA,21.4,-0.6,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-02-19,NA,NA,NA,NA,NA,NA,16.8,3.5,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-02-20,NA,NA,5.572779162147132,19.27010980801158,-2.575224787260421,6.909590053836595,18.9,-0.5,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-02-21,12.540247059538942,1.7141413010501885,NA,NA,NA,NA,16.3,-0.7,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-02-22,NA,NA,NA,NA,NA,NA,17.1,2.4,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-02-23,NA,NA,NA,NA,NA,NA,11.8,1.5,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-02-24,NA,NA,NA,NA,NA,NA,11.7,2.6,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-02-25,NA,NA,6.2976895395572905,20.469877405139215,-2.201675580496561,6.946397257665814,16.4,6.7,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-02-26,13.412788662739976,1.9866465618315967,NA,NA,NA,NA,10.1,4.4,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-02-27,NA,NA,NA,NA,NA,NA,9.6,3.6,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-02-28,NA,NA,NA,NA,NA,NA,13,4.6,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-02-29,NA,NA,NA,NA,NA,NA,13.1,2.3,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-03-01,NA,NA,6.815850569834302,21.269235766332056,-1.820491390851489,7.021771702001932,11.4,2.9,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-03-02,NA,NA,NA,NA,NA,NA,12.3,2.8,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-03-03,13.987238287212998,2.2587379450372413,NA,NA,NA,NA,9.9,0.7,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-03-04,NA,NA,NA,NA,NA,NA,14.4,1,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-03-05,NA,NA,7.24102591696063,21.906587108956103,-1.306371803602392,7.150313619905972,15.6,0.7,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-03-06,NA,NA,NA,NA,NA,NA,17.7,-1.4,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-03-07,14.40977486737334,2.611376950158374,NA,NA,NA,NA,16.7,1.3,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-03-08,NA,NA,NA,NA,NA,NA,13.4,1.8,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-03-09,NA,NA,NA,NA,NA,NA,13,4.5,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-03-10,NA,NA,7.758701313406509,22.341419349991707,-0.9395064953608327,7.299204418430381,12.6,5.8,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-03-11,NA,NA,NA,NA,NA,NA,11.9,2.5,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-03-12,14.819931783578738,2.9143664742418873,NA,NA,NA,NA,19.6,2.6,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-03-13,NA,NA,NA,NA,NA,NA,21.6,0.1,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-03-14,NA,NA,8.346742510993998,22.313663610380985,-0.798290037989219,7.43383403778555,20.3,2,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-03-15,NA,NA,NA,NA,NA,NA,20.4,6.2,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-03-16,15.066561383430514,3.126450101417547,NA,NA,NA,NA,22.1,3.2,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-03-17,NA,NA,NA,NA,NA,NA,21.4,10.1,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-03-18,NA,NA,NA,NA,NA,NA,26.1,5.8,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-03-19,NA,NA,8.951725295099227,22.251770855686843,-0.6655994257893858,7.600283285000688,26.9,6.1,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-03-20,NA,NA,NA,NA,NA,NA,24.6,7.6,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-03-21,15.3124600265693,3.3470466881766106,NA,NA,NA,NA,26,7.6,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-03-22,NA,NA,NA,NA,NA,NA,29.1,5.1,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-03-23,NA,NA,NA,NA,NA,NA,17,4.4,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-03-24,NA,NA,9.640675429188796,22.59111339853703,-0.3819157268256434,7.846314425919419,17.5,3.1,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-03-25,NA,NA,NA,NA,NA,NA,16.3,1.6,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-03-26,15.80766332388328,3.643935588148204,NA,NA,NA,NA,12.6,3.6,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-03-27,NA,NA,NA,NA,NA,NA,17.1,4,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-03-28,NA,NA,10.484522300569417,23.03475759696948,-0.05628966595235291,8.148083763027035,19.5,5.7,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-03-29,NA,NA,NA,NA,NA,NA,10.6,5.1,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-03-30,16.452891616430218,3.9698292428546424,NA,NA,NA,NA,16,1.6,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-03-31,NA,NA,NA,NA,NA,NA,12.3,4.8,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-04-01,NA,NA,NA,NA,NA,NA,15.5,6.1,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-04-02,NA,NA,11.16252177312369,23.508348289905832,0.28800526082587835,8.495026876768398,17.4,2.7,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-04-03,NA,NA,NA,NA,NA,NA,20.9,9.8,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-04-04,17.044053543861555,4.358826950766621,NA,NA,NA,NA,24.3,8.4,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-04-05,NA,NA,NA,NA,NA,NA,26.7,7.9,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-04-06,NA,NA,NA,NA,NA,NA,22.7,12.5,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-04-07,NA,NA,11.648987122541756,24.167734067242097,0.7298489627050035,8.929296619142145,23.9,8.7,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-04-08,NA,NA,NA,NA,NA,NA,21.1,4.3,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-04-09,17.64246093788801,4.866027060202758,NA,NA,NA,NA,15.6,3,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-04-10,NA,NA,NA,NA,NA,NA,19.7,1.8,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-04-11,NA,NA,12.035114828871272,24.859060019354235,1.1662025649475134,9.402066887590868,25.7,2.3,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-04-12,NA,NA,NA,NA,NA,NA,31.7,3.5,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-04-13,18.21616291052531,5.381836672595525,NA,NA,NA,NA,33.6,4,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-04-14,NA,NA,NA,NA,NA,NA,33.5,5.4,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-04-15,NA,NA,NA,NA,NA,NA,18.3,6.4,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-04-16,NA,NA,12.326041463105122,25.360086013430013,1.4619616270217204,9.89571205838614,15.3,6.8,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-04-17,NA,NA,NA,NA,NA,NA,16.2,5.2,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-04-18,18.67032256714652,5.8269434287008055,NA,NA,NA,NA,16.4,2.8,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-04-19,NA,NA,NA,NA,NA,NA,25.5,-1.5,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-04-20,NA,NA,12.509021156742458,25.749076479896775,1.6759251482358035,10.447997262189393,20.6,0.8,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-04-21,NA,NA,NA,NA,NA,NA,17.8,0.6,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-04-22,19.04387867517414,6.277550988095681,NA,NA,NA,NA,13.9,4.4,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-04-23,NA,NA,NA,NA,NA,NA,11.6,2.5,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-04-24,NA,NA,NA,NA,NA,NA,17.6,1.1,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-04-25,NA,NA,12.738099301016108,26.200503971261448,1.9216881336324696,10.882601477537168,17.8,4.3,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-04-26,NA,NA,NA,NA,NA,NA,18.1,6.5,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-04-27,19.435101719808703,6.648325569085064,NA,NA,NA,NA,17.8,5.4,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-04-28,NA,NA,NA,NA,NA,NA,19.3,0.2,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-04-29,NA,NA,NA,NA,NA,NA,18.3,2.4,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-04-30,NA,NA,12.906179802578832,26.587540823736617,2.0670326212324697,11.206837963543784,21.5,1.7,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-05-01,NA,NA,NA,NA,NA,NA,14.7,3.1,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-05-02,19.714177520814296,6.853410550775819,NA,NA,NA,NA,17.2,1.2,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-05-03,NA,NA,NA,NA,NA,NA,19,8.4,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-05-04,NA,NA,13.093426683299072,27.03418281984765,2.2667934042676476,11.508035632193248,23.4,13.2,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-05-05,NA,NA,NA,NA,NA,NA,21.3,10,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-05-06,20.0314274326978,7.06235651850747,NA,NA,NA,NA,19.3,7.7,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-05-07,NA,NA,NA,NA,NA,NA,18.3,7.6,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-05-08,NA,NA,NA,NA,NA,NA,22,7.4,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-05-09,NA,NA,13.414944896585869,27.79588127430307,2.7356550702839773,11.79325337973718,28.6,4.1,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-05-10,NA,NA,NA,NA,NA,NA,31.7,7.4,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-05-11,20.616557577540817,7.408038614178805,NA,NA,NA,NA,27.3,9.3,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-05-12,NA,NA,NA,NA,NA,NA,20.7,8.4,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-05-13,NA,NA,13.812591928175324,28.81018204577203,3.380372321314735,12.017702719092751,26.1,6.6,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-05-14,NA,NA,NA,NA,NA,NA,16.3,8.1,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-05-15,21.390117000246644,7.796147312603381,NA,NA,NA,NA,18.8,7.6,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-05-16,NA,NA,NA,NA,NA,NA,16.4,7.6,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-05-17,NA,NA,NA,NA,NA,NA,19,7.7,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-05-18,NA,NA,14.281789900223233,29.630787989382306,4.0144775913147255,12.313801651811138,20.9,7,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-05-19,NA,NA,NA,NA,NA,NA,19.9,8.6,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-05-20,22.0736275012526,8.272164448614753,NA,NA,NA,NA,19.8,8.7,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-05-21,NA,NA,NA,NA,NA,NA,20.3,5.8,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-05-22,NA,NA,NA,NA,NA,NA,22,8.9,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-05-23,NA,NA,14.81739855723962,30.245888829230513,4.720586064760243,12.613948136015445,21,8.9,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-05-24,NA,NA,NA,NA,NA,NA,25.9,5.4,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-05-25,22.670768737676163,8.883242755094269,NA,NA,NA,NA,29.7,8.1,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-05-26,NA,NA,NA,NA,NA,NA,23,6.7,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-05-27,NA,NA,15.391489468499804,30.849931006663827,5.423719095090562,12.960392047493832,19.2,7.2,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-05-28,NA,NA,NA,NA,NA,NA,28.5,4.7,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-05-29,23.26387159748244,9.500932296119448,NA,NA,NA,NA,28.9,7.5,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-05-30,NA,NA,NA,NA,NA,NA,22.7,10.4,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-05-31,NA,NA,NA,NA,NA,NA,18.8,9.2,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-06-01,NA,NA,15.981544579888524,31.57196540320354,6.057215880173359,13.479943538946817,20.4,8.6,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-06-02,NA,NA,NA,NA,NA,NA,22.3,8.6,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-06-03,23.894210826685903,10.056832367813392,NA,NA,NA,NA,19.5,12.6,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-06-04,NA,NA,NA,NA,NA,NA,30.3,10,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-06-05,NA,NA,NA,NA,NA,NA,33.9,9.5,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-06-06,NA,NA,16.620864433505677,32.364191745456765,6.702300426766866,14.151596299620817,32.5,12.5,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-06-07,NA,NA,NA,NA,NA,NA,31.9,14.6,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-06-08,24.56603084976427,10.648180227871132,NA,NA,NA,NA,29.5,13.7,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-06-09,NA,NA,NA,NA,NA,NA,21,11.8,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-06-10,NA,NA,17.36735571821953,33.14856556736366,7.272431758937977,14.743138700829611,20.7,9.4,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-06-11,NA,NA,NA,NA,NA,NA,19.4,7.9,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-06-12,25.28235179435408,11.190213508993187,NA,NA,NA,NA,21.2,7.5,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-06-13,NA,NA,NA,NA,NA,NA,28.3,4.2,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-06-14,NA,NA,NA,NA,NA,NA,29.7,12.1,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-06-15,NA,NA,18.25306146544888,34.01848098321234,7.754759465273733,15.3371891814912,25.1,9.6,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-06-16,NA,NA,NA,NA,NA,NA,29.9,6.8,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-06-17,26.04603335555564,11.66556717420719,NA,NA,NA,NA,33.5,8.9,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-06-18,NA,NA,NA,NA,NA,NA,29.1,13.8,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-06-19,NA,NA,19.13050656335224,34.74567533964136,8.201281840794833,15.851036681621068,27.5,10.1,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-06-20,NA,NA,NA,NA,NA,NA,21.4,13.1,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-06-21,26.76131339653775,12.098940040179697,NA,NA,NA,NA,26.5,13,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-06-22,NA,NA,NA,NA,NA,NA,21.9,14,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-06-23,NA,NA,NA,NA,NA,NA,20.9,15,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-06-24,NA,NA,20.11364976485036,35.30419807986917,8.639681516057754,16.246514802522466,28.1,15.8,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-06-25,NA,NA,NA,NA,NA,NA,36,10.7,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-06-26,27.543145643232783,12.52846827506819,NA,NA,NA,NA,NA,NA,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-06-27,NA,NA,NA,NA,NA,NA,NA,NA,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-06-28,NA,NA,NA,NA,NA,NA,NA,NA,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-06-29,NA,NA,21.126335549519737,35.7973253725333,9.045329158177095,16.590500707355805,NA,NA,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-06-30,NA,NA,NA,NA,NA,NA,NA,NA,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-07-01,28.347891187172053,12.93593401426672,NA,NA,NA,NA,NA,NA,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-07-02,NA,NA,NA,NA,NA,NA,NA,NA,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-07-03,NA,NA,21.80213804461758,36.05553185771098,9.404461397992051,16.859514757708418,NA,NA,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-07-04,NA,NA,NA,NA,NA,NA,NA,NA,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-07-05,28.86995246994514,13.280988578938787,NA,NA,NA,NA,NA,NA,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-07-06,NA,NA,NA,NA,NA,NA,NA,NA,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-07-07,NA,NA,NA,NA,NA,NA,NA,NA,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-07-08,NA,NA,22.326338053567415,36.009716150404444,9.739758414695192,17.029554712995566,NA,NA,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-07-09,NA,NA,NA,NA,NA,NA,NA,NA,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-07-10,29.191238508434903,13.603191762127112,NA,NA,NA,NA,NA,NA,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-07-11,NA,NA,NA,NA,NA,NA,NA,NA,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-07-12,NA,NA,NA,NA,NA,NA,NA,NA,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-07-13,NA,NA,22.713936540618047,35.96130900443649,10.027137235141666,17.169609819837394,NA,NA,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-07-14,NA,NA,NA,NA,NA,NA,NA,NA,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-07-15,29.41176741625258,13.854989257126851,NA,NA,NA,NA,NA,NA,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-07-16,NA,NA,NA,NA,NA,NA,NA,NA,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-07-17,NA,NA,22.799715195443937,35.94381263595839,10.31430975891893,17.258383561015258,NA,NA,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-07-18,NA,NA,NA,NA,NA,NA,NA,NA,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-07-19,29.45394804555246,13.98123963125808,NA,NA,NA,NA,NA,NA,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-07-20,NA,NA,NA,NA,NA,NA,NA,NA,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-07-21,NA,NA,NA,NA,NA,NA,NA,NA,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-07-22,NA,NA,22.71904831443863,35.9118770429899,10.54493421964758,17.301739609288088,NA,NA,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-07-23,NA,NA,NA,NA,NA,NA,NA,NA,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-07-24,29.395188457211017,14.025531024678278,NA,NA,NA,NA,NA,NA,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-07-25,NA,NA,NA,NA,NA,NA,NA,NA,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-07-26,NA,NA,22.797243416326225,36.04683516341814,10.575290685599922,17.40711110304106,NA,NA,Miranda de Ebro,Burgos,9.238686603462249
9069C,2024-07-27,NA,NA,NA,NA,NA,NA,NA,NA,Miranda de Ebro,Burgos,9.238686603462249
