indicativo,<b></b>,temMax,fecha_maxima,record,mes_falso,month,nombre_clean,provincia_clean,<span></span>,fecha,nota
B346X,30.1,29.8,2012-04-27,Mensual,9,Abril,Porreres,Baleares,8.949563899608044,2024-04-14,NA
C229J,38,36.1,2008-04-25,Mensual,9,Abril,Pájara,Las Palmas,8.964869906098823,2024-04-11,NA
C329Z,35.3,33.4,2002-04-23,Mensual,9,Abril,San Sebastián de La Gomera,Sta. Cruz de Tenerife,9.063618660499314,2024-04-11,NA
C429I,38.3,36.2,2008-04-27,Mensual,9,Abril,Tenerife Sur Aeropuerto,Sta. Cruz de Tenerife,9.035180446107464,2024-04-11,Tenerife Sur Aeropuerto 38.3ºC
0324A,25.7,25.5,1990-03-22,Mensual,10,Marzo,Ripoll,Girona,10.233186945327686,2024-03-21,NA
1484C,28.6,28.6,2021-03-31,Mensual,10,Marzo,Pontevedra,Pontevedra,9.882513396194575,2024-03-22,NA
1542,20.6,18.8,2002-03-23,Mensual,10,Marzo,Puerto de Leitariegos,Asturias,10.06509270186139,2024-03-22,NA
1549,28.8,27.2,2017-03-10,Mensual,10,Marzo,Ponferrada,León,9.918388064449863,2024-03-22,NA
1700X,30.3,30.1,2002-03-23,Mensual,10,Marzo,O Carballiño,Ourense,10.10853481606895,2024-03-22,O Carballiño 30.3ºC
1735X,27.2,25.9,2012-03-25,Mensual,10,Marzo,Xinzo de Limia,Ourense,10.289832683703638,2024-03-22,NA
2030,25.5,25.4,2017-03-10,Mensual,10,Marzo,Soria,Soria,9.804500472486197,2024-03-22,NA
2150H,19.3,18.7,2017-03-10,Mensual,10,Marzo,"La Pinilla, Estación de Esquí",Segovia,10,2024-03-22,NA
2235U,24.7,24.3,2017-03-10,Mensual,10,Marzo,Cervera de Pisuerga,Palencia,9.950875146688945,2024-03-22,NA
2298,25.7,23.7,2017-03-10,Mensual,10,Marzo,Palacios de La Sierra,Burgos,9.979812570397257,2024-03-22,NA
2331,24.6,24.5,1957-03-11,Mensual,10,Marzo,Burgos Aeropuerto,Burgos,10.078062277019367,2024-03-22,NA
2374X,26.1,25.1,2017-03-10,Mensual,10,Marzo,Carrión de los Condes,Palencia,9.848021219703794,2024-03-22,NA
2422,26.6,26,2021-03-31,Mensual,10,Marzo,Valladolid,Valladolid,9.704333986892648,2024-03-22,NA
2462,18.9,18.9,2020-03-11,Mensual,10,Marzo,Puerto de Navacerrada,Madrid,9.932587404342353,2024-03-23,Puerto de Navacerrada 18.9ºC
2465,24.9,24.6,2017-03-09,Mensual,10,Marzo,Segovia,Segovia,10.10699970072768,2024-03-22,NA
2539,25.4,24.6,1965-03-30,Mensual,10,Marzo,Valladolid Aeropuerto,Valladolid,9.89300029927232,2024-03-22,NA
2755X,26.1,26.1,1992-03-20,Mensual,10,Marzo,Benavente,Zamora,10,2024-03-22,NA
3130C,24.8,24.6,2020-03-11,Mensual,10,Marzo,Sigüenza,Guadalajara,10.1337496259096,2024-03-22,NA
3168D,27.6,26.9,2015-03-31,Mensual,10,Marzo,Guadalajara,Guadalajara,10.086512357046015,2024-03-22,NA
4147X,28.8,28.6,2020-03-11,Mensual,10,Marzo,Valdepeñas,Ciudad Real,10.176229905708137,2024-03-22,NA
5514,29.3,29.1,2015-03-31,Mensual,10,Marzo,Granada Base Aérea,Granada,9.848272201771248,2024-03-23,NA
6293X,27,23.3,2023-03-31,Mensual,10,Marzo,Roquetas de Mar,Almería,10,2024-03-23,NA
6302A,30,29.9,2001-03-23,Mensual,10,Marzo,Abla,Almería,9.883380824394827,2024-03-18,NA
8177A,29,25.1,2023-03-29,Mensual,10,Marzo,Chinchilla,Albacete,10.182374536355447,2024-03-19,NA
8368U,28.2,28,2020-03-12,Mensual,10,Marzo,Teruel,Teruel,10.137088289788933,2024-03-22,NA
9001D,24.4,24,2017-03-09,Mensual,10,Marzo,Reinosa,Cantabria,10.044749856258269,2024-03-22,NA
9019B,27.7,25.8,2002-03-22,Mensual,10,Marzo,"Valderredible, Polientes",Cantabria,9.751500564987566,2024-03-22,NA
9208E,24.7,23.6,2020-03-12,Mensual,10,Marzo,Aragüés del Puerto,Huesca,10.019458263427278,2024-03-22,NA
9263X,24.7,24.5,2023-03-29,Mensual,10,Marzo,"Aranguren, Ilundain",Navarra,9.921937722980633,2024-03-22,NA
0200E,23.5,22.4,2020-02-03,Mensual,11,Febrero,"Barcelona, Fabra",Barcelona,10.955391658439604,2024-02-04,NA
0372C,25.2,24.3,2023-02-04,Mensual,11,Febrero,Porqueres,Girona,11.091028706093024,2024-02-04,NA
1059X,25.1,25.1,2019-02-27,Mensual,11,Febrero,Punta Galea,Bizkaia,11.121682005882644,2024-02-15,NA
1078I,25.3,24.6,2019-02-27,Mensual,11,Febrero,Güeñes,Bizkaia,10.887638143157686,2024-02-15,NA
1159,27.6,24.5,2014-02-14,Mensual,11,Febrero,San Vicente de la Barquera,Cantabria,11.115365107269554,2024-02-15,San Vicente de la Barquera 27.6ºC
1183X,26.5,24.4,2014-02-14,Mensual,11,Febrero,Llanes,Asturias,10.911223731727405,2024-02-15,NA
1208H,24.9,24.2,2014-02-14,Mensual,11,Febrero,"Gijón, Puerto",Asturias,10.937812570724365,2024-02-15,NA
1210X,23.2,22.4,2004-02-03,Mensual,11,Febrero,Cabo Peñas,Asturias,11.089216683120794,2024-02-15,NA
3111D,15.9,15.5,2012-02-28,Mensual,11,Febrero,Somosierra,Madrid,11,2024-02-04,Somosierra 15.9ºC
5192,23,22.2,2022-02-02,Mensual,11,Febrero,Villarrodrigo,Jaén,11,2024-02-14,NA
6293X,23.2,22.2,2021-02-05,Mensual,11,Febrero,Roquetas de Mar,Almería,11.046109966774017,2024-02-14,NA
6325O,27,25.2,2007-02-16,Mensual,11,Febrero,Almería Aeropuerto,Almería,10.882072057151406,2024-02-14,NA
0149X,21.2,19.7,2021-01-29,Mensual,12,Enero,Manresa,Barcelona,12.165146545304752,2024-01-26,NA
0252D,22.8,22.3,2016-01-08,Mensual,12,Enero,Arenys de Mar,Barcelona,11.977947666524834,2024-01-26,NA
0324A,21,20.9,2003-01-27,Mensual,12,Enero,Ripoll,Girona,12.238733962477834,2024-01-25,NA
