cod_ine,mun_norm,prov_norm,ccaa_norm,municipio,provincia,ccaa
15001,abegondo,a-coruna,galicia,Abegondo,A Coruña,Galicia
15002,ames,a-coruna,galicia,Ames,A Coruña,Galicia
15003,aranga,a-coruna,galicia,Aranga,A Coruña,Galicia
15004,ares,a-coruna,galicia,Ares,A Coruña,Galicia
15005,arteixo,a-coruna,galicia,Arteixo,A Coruña,Galicia
15006,arzua,a-coruna,galicia,Arzúa,A Coruña,Galicia
15007,a-bana,a-coruna,galicia,A Baña,A Coruña,Galicia
15008,bergondo,a-coruna,galicia,Bergondo,A Coruña,Galicia
15009,betanzos,a-coruna,galicia,Betanzos,A Coruña,Galicia
15010,boimorto,a-coruna,galicia,Boimorto,A Coruña,Galicia
15011,boiro,a-coruna,galicia,Boiro,A Coruña,Galicia
15012,boqueixon,a-coruna,galicia,Boqueixón,A Coruña,Galicia
15013,brion,a-coruna,galicia,Brión,A Coruña,Galicia
15014,cabana-de-bergantinos,a-coruna,galicia,Cabana de Bergantiños,A Coruña,Galicia
15015,cabanas,a-coruna,galicia,Cabanas,A Coruña,Galicia
15016,camarinas,a-coruna,galicia,Camariñas,A Coruña,Galicia
15017,cambre,a-coruna,galicia,Cambre,A Coruña,Galicia
15018,a-capela,a-coruna,galicia,A Capela,A Coruña,Galicia
15019,carballo,a-coruna,galicia,Carballo,A Coruña,Galicia
15901,carino,a-coruna,galicia,Cariño,A Coruña,Galicia
15020,carnota,a-coruna,galicia,Carnota,A Coruña,Galicia
15021,carral,a-coruna,galicia,Carral,A Coruña,Galicia
15022,cedeira,a-coruna,galicia,Cedeira,A Coruña,Galicia
15023,cee,a-coruna,galicia,Cee,A Coruña,Galicia
15024,cerceda,a-coruna,galicia,Cerceda,A Coruña,Galicia
15025,cerdido,a-coruna,galicia,Cerdido,A Coruña,Galicia
15027,coiros,a-coruna,galicia,Coirós,A Coruña,Galicia
15028,corcubion,a-coruna,galicia,Corcubión,A Coruña,Galicia
15029,coristanco,a-coruna,galicia,Coristanco,A Coruña,Galicia
15030,a-coruna,a-coruna,galicia,A Coruña,A Coruña,Galicia
15031,culleredo,a-coruna,galicia,Culleredo,A Coruña,Galicia
15032,curtis,a-coruna,galicia,Curtis,A Coruña,Galicia
15033,dodro,a-coruna,galicia,Dodro,A Coruña,Galicia
15034,dumbria,a-coruna,galicia,Dumbría,A Coruña,Galicia
15035,fene,a-coruna,galicia,Fene,A Coruña,Galicia
15036,ferrol,a-coruna,galicia,Ferrol,A Coruña,Galicia
15037,fisterra,a-coruna,galicia,Fisterra,A Coruña,Galicia
15038,frades,a-coruna,galicia,Frades,A Coruña,Galicia
15039,irixoa,a-coruna,galicia,Irixoa,A Coruña,Galicia
15041,a-laracha,a-coruna,galicia,A Laracha,A Coruña,Galicia
15040,laxe,a-coruna,galicia,Laxe,A Coruña,Galicia
15042,lousame,a-coruna,galicia,Lousame,A Coruña,Galicia
15043,malpica-de-bergantinos,a-coruna,galicia,Malpica de Bergantiños,A Coruña,Galicia
15044,manon,a-coruna,galicia,Mañón,A Coruña,Galicia
15045,mazaricos,a-coruna,galicia,Mazaricos,A Coruña,Galicia
15046,melide,a-coruna,galicia,Melide,A Coruña,Galicia
15047,mesia,a-coruna,galicia,Mesía,A Coruña,Galicia
15048,mino,a-coruna,galicia,Miño,A Coruña,Galicia
15049,moeche,a-coruna,galicia,Moeche,A Coruña,Galicia
15050,monfero,a-coruna,galicia,Monfero,A Coruña,Galicia
15051,mugardos,a-coruna,galicia,Mugardos,A Coruña,Galicia
15053,muros,a-coruna,galicia,Muros,A Coruña,Galicia
15052,muxia,a-coruna,galicia,Muxía,A Coruña,Galicia
15054,naron,a-coruna,galicia,Narón,A Coruña,Galicia
15055,neda,a-coruna,galicia,Neda,A Coruña,Galicia
15056,negreira,a-coruna,galicia,Negreira,A Coruña,Galicia
15057,noia,a-coruna,galicia,Noia,A Coruña,Galicia
15058,oleiros,a-coruna,galicia,Oleiros,A Coruña,Galicia
15059,ordes,a-coruna,galicia,Ordes,A Coruña,Galicia
15060,oroso,a-coruna,galicia,Oroso,A Coruña,Galicia
15061,ortigueira,a-coruna,galicia,Ortigueira,A Coruña,Galicia
15062,outes,a-coruna,galicia,Outes,A Coruña,Galicia
15902,oza-cesuras,a-coruna,galicia,Oza-Cesuras,A Coruña,Galicia
15064,paderne,a-coruna,galicia,Paderne,A Coruña,Galicia
15065,padron,a-coruna,galicia,Padrón,A Coruña,Galicia
15066,o-pino,a-coruna,galicia,O Pino,A Coruña,Galicia
15067,a-pobra-do-caraminal,a-coruna,galicia,A Pobra do Caramiñal,A Coruña,Galicia
15068,ponteceso,a-coruna,galicia,Ponteceso,A Coruña,Galicia
15069,pontedeume,a-coruna,galicia,Pontedeume,A Coruña,Galicia
15070,as-pontes-de-garcia-rodriguez,a-coruna,galicia,As Pontes de García Rodríguez,A Coruña,Galicia
15071,porto-do-son,a-coruna,galicia,Porto do Son,A Coruña,Galicia
15072,rianxo,a-coruna,galicia,Rianxo,A Coruña,Galicia
15073,ribeira,a-coruna,galicia,Ribeira,A Coruña,Galicia
15074,rois,a-coruna,galicia,Rois,A Coruña,Galicia
15075,sada,a-coruna,galicia,Sada,A Coruña,Galicia
15076,san-sadurnino,a-coruna,galicia,San Sadurniño,A Coruña,Galicia
15077,santa-comba,a-coruna,galicia,Santa Comba,A Coruña,Galicia
15078,santiago-de-compostela,a-coruna,galicia,Santiago de Compostela,A Coruña,Galicia
15079,santiso,a-coruna,galicia,Santiso,A Coruña,Galicia
15080,sobrado,a-coruna,galicia,Sobrado,A Coruña,Galicia
15081,as-somozas,a-coruna,galicia,As Somozas,A Coruña,Galicia
15082,teo,a-coruna,galicia,Teo,A Coruña,Galicia
15083,toques,a-coruna,galicia,Toques,A Coruña,Galicia
15084,tordoia,a-coruna,galicia,Tordoia,A Coruña,Galicia
15085,touro,a-coruna,galicia,Touro,A Coruña,Galicia
15086,trazo,a-coruna,galicia,Trazo,A Coruña,Galicia
15088,val-do-dubra,a-coruna,galicia,Val do Dubra,A Coruña,Galicia
15087,valdovino,a-coruna,galicia,Valdoviño,A Coruña,Galicia
15089,vedra,a-coruna,galicia,Vedra,A Coruña,Galicia
15091,vilarmaior,a-coruna,galicia,Vilarmaior,A Coruña,Galicia
15090,vilasantar,a-coruna,galicia,Vilasantar,A Coruña,Galicia
15092,vimianzo,a-coruna,galicia,Vimianzo,A Coruña,Galicia
15093,zas,a-coruna,galicia,Zas,A Coruña,Galicia
02001,abengibre,albacete,castilla-la-mancha,Abengibre,Albacete,Castilla-La Mancha
02002,alatoz,albacete,castilla-la-mancha,Alatoz,Albacete,Castilla-La Mancha
02003,albacete,albacete,castilla-la-mancha,Albacete,Albacete,Castilla-La Mancha
02004,albatana,albacete,castilla-la-mancha,Albatana,Albacete,Castilla-La Mancha
02005,alborea,albacete,castilla-la-mancha,Alborea,Albacete,Castilla-La Mancha
02006,alcadozo,albacete,castilla-la-mancha,Alcadozo,Albacete,Castilla-La Mancha
02007,alcala-del-jucar,albacete,castilla-la-mancha,Alcalá del Júcar,Albacete,Castilla-La Mancha
02008,alcaraz,albacete,castilla-la-mancha,Alcaraz,Albacete,Castilla-La Mancha
02009,almansa,albacete,castilla-la-mancha,Almansa,Albacete,Castilla-La Mancha
02010,alpera,albacete,castilla-la-mancha,Alpera,Albacete,Castilla-La Mancha
02011,ayna,albacete,castilla-la-mancha,Ayna,Albacete,Castilla-La Mancha
02012,balazote,albacete,castilla-la-mancha,Balazote,Albacete,Castilla-La Mancha
02014,el-ballestero,albacete,castilla-la-mancha,El Ballestero,Albacete,Castilla-La Mancha
02013,balsa-de-ves,albacete,castilla-la-mancha,Balsa de Ves,Albacete,Castilla-La Mancha
02015,barrax,albacete,castilla-la-mancha,Barrax,Albacete,Castilla-La Mancha
02016,bienservida,albacete,castilla-la-mancha,Bienservida,Albacete,Castilla-La Mancha
02017,bogarra,albacete,castilla-la-mancha,Bogarra,Albacete,Castilla-La Mancha
02018,bonete,albacete,castilla-la-mancha,Bonete,Albacete,Castilla-La Mancha
02019,el-bonillo,albacete,castilla-la-mancha,El Bonillo,Albacete,Castilla-La Mancha
02020,carcelen,albacete,castilla-la-mancha,Carcelén,Albacete,Castilla-La Mancha
02021,casas-de-juan-nunez,albacete,castilla-la-mancha,Casas de Juan Núñez,Albacete,Castilla-La Mancha
02022,casas-de-lazaro,albacete,castilla-la-mancha,Casas de Lázaro,Albacete,Castilla-La Mancha
02023,casas-de-ves,albacete,castilla-la-mancha,Casas de Ves,Albacete,Castilla-La Mancha
02024,casas-ibanez,albacete,castilla-la-mancha,Casas-Ibáñez,Albacete,Castilla-La Mancha
02025,caudete,albacete,castilla-la-mancha,Caudete,Albacete,Castilla-La Mancha
02026,cenizate,albacete,castilla-la-mancha,Cenizate,Albacete,Castilla-La Mancha
02029,chinchilla-de-monte-aragon,albacete,castilla-la-mancha,Chinchilla de Monte-Aragón,Albacete,Castilla-La Mancha
02027,corral-rubio,albacete,castilla-la-mancha,Corral-Rubio,Albacete,Castilla-La Mancha
02028,cotillas,albacete,castilla-la-mancha,Cotillas,Albacete,Castilla-La Mancha
02030,elche-de-la-sierra,albacete,castilla-la-mancha,Elche de la Sierra,Albacete,Castilla-La Mancha
02031,ferez,albacete,castilla-la-mancha,Férez,Albacete,Castilla-La Mancha
02032,fuensanta,albacete,castilla-la-mancha,Fuensanta,Albacete,Castilla-La Mancha
02033,fuente-alamo,albacete,castilla-la-mancha,Fuente-Álamo,Albacete,Castilla-La Mancha
02034,fuentealbilla,albacete,castilla-la-mancha,Fuentealbilla,Albacete,Castilla-La Mancha
02035,la-gineta,albacete,castilla-la-mancha,La Gineta,Albacete,Castilla-La Mancha
02036,golosalvo,albacete,castilla-la-mancha,Golosalvo,Albacete,Castilla-La Mancha
02037,hellin,albacete,castilla-la-mancha,Hellín,Albacete,Castilla-La Mancha
02038,la-herrera,albacete,castilla-la-mancha,La Herrera,Albacete,Castilla-La Mancha
02039,higueruela,albacete,castilla-la-mancha,Higueruela,Albacete,Castilla-La Mancha
02040,hoya-gonzalo,albacete,castilla-la-mancha,Hoya-Gonzalo,Albacete,Castilla-La Mancha
02041,jorquera,albacete,castilla-la-mancha,Jorquera,Albacete,Castilla-La Mancha
02042,letur,albacete,castilla-la-mancha,Letur,Albacete,Castilla-La Mancha
02043,lezuza,albacete,castilla-la-mancha,Lezuza,Albacete,Castilla-La Mancha
02044,lietor,albacete,castilla-la-mancha,Liétor,Albacete,Castilla-La Mancha
02045,madrigueras,albacete,castilla-la-mancha,Madrigueras,Albacete,Castilla-La Mancha
02046,mahora,albacete,castilla-la-mancha,Mahora,Albacete,Castilla-La Mancha
02047,masegoso,albacete,castilla-la-mancha,Masegoso,Albacete,Castilla-La Mancha
02048,minaya,albacete,castilla-la-mancha,Minaya,Albacete,Castilla-La Mancha
02049,molinicos,albacete,castilla-la-mancha,Molinicos,Albacete,Castilla-La Mancha
02050,montalvos,albacete,castilla-la-mancha,Montalvos,Albacete,Castilla-La Mancha
02051,montealegre-del-castillo,albacete,castilla-la-mancha,Montealegre del Castillo,Albacete,Castilla-La Mancha
02052,motilleja,albacete,castilla-la-mancha,Motilleja,Albacete,Castilla-La Mancha
02053,munera,albacete,castilla-la-mancha,Munera,Albacete,Castilla-La Mancha
02054,navas-de-jorquera,albacete,castilla-la-mancha,Navas de Jorquera,Albacete,Castilla-La Mancha
02055,nerpio,albacete,castilla-la-mancha,Nerpio,Albacete,Castilla-La Mancha
02056,ontur,albacete,castilla-la-mancha,Ontur,Albacete,Castilla-La Mancha
02057,ossa-de-montiel,albacete,castilla-la-mancha,Ossa de Montiel,Albacete,Castilla-La Mancha
02058,paterna-del-madera,albacete,castilla-la-mancha,Paterna del Madera,Albacete,Castilla-La Mancha
02060,penas-de-san-pedro,albacete,castilla-la-mancha,Peñas de San Pedro,Albacete,Castilla-La Mancha
02059,penascosa,albacete,castilla-la-mancha,Peñascosa,Albacete,Castilla-La Mancha
02061,petrola,albacete,castilla-la-mancha,Pétrola,Albacete,Castilla-La Mancha
02062,povedilla,albacete,castilla-la-mancha,Povedilla,Albacete,Castilla-La Mancha
02901,pozo-canada,albacete,castilla-la-mancha,Pozo Cañada,Albacete,Castilla-La Mancha
02063,pozohondo,albacete,castilla-la-mancha,Pozohondo,Albacete,Castilla-La Mancha
02064,pozo-lorente,albacete,castilla-la-mancha,Pozo-Lorente,Albacete,Castilla-La Mancha
02065,pozuelo,albacete,castilla-la-mancha,Pozuelo,Albacete,Castilla-La Mancha
02066,la-recueja,albacete,castilla-la-mancha,La Recueja,Albacete,Castilla-La Mancha
02067,riopar,albacete,castilla-la-mancha,Riópar,Albacete,Castilla-La Mancha
02068,robledo,albacete,castilla-la-mancha,Robledo,Albacete,Castilla-La Mancha
02069,la-roda,albacete,castilla-la-mancha,La Roda,Albacete,Castilla-La Mancha
02070,salobre,albacete,castilla-la-mancha,Salobre,Albacete,Castilla-La Mancha
02071,san-pedro,albacete,castilla-la-mancha,San Pedro,Albacete,Castilla-La Mancha
02072,socovos,albacete,castilla-la-mancha,Socovos,Albacete,Castilla-La Mancha
02073,tarazona-de-la-mancha,albacete,castilla-la-mancha,Tarazona de la Mancha,Albacete,Castilla-La Mancha
02074,tobarra,albacete,castilla-la-mancha,Tobarra,Albacete,Castilla-La Mancha
02075,valdeganga,albacete,castilla-la-mancha,Valdeganga,Albacete,Castilla-La Mancha
02076,vianos,albacete,castilla-la-mancha,Vianos,Albacete,Castilla-La Mancha
02077,villa-de-ves,albacete,castilla-la-mancha,Villa de Ves,Albacete,Castilla-La Mancha
02078,villalgordo-del-jucar,albacete,castilla-la-mancha,Villalgordo del Júcar,Albacete,Castilla-La Mancha
02079,villamalea,albacete,castilla-la-mancha,Villamalea,Albacete,Castilla-La Mancha
02080,villapalacios,albacete,castilla-la-mancha,Villapalacios,Albacete,Castilla-La Mancha
02081,villarrobledo,albacete,castilla-la-mancha,Villarrobledo,Albacete,Castilla-La Mancha
02082,villatoya,albacete,castilla-la-mancha,Villatoya,Albacete,Castilla-La Mancha
02083,villavaliente,albacete,castilla-la-mancha,Villavaliente,Albacete,Castilla-La Mancha
02084,villaverde-de-guadalimar,albacete,castilla-la-mancha,Villaverde de Guadalimar,Albacete,Castilla-La Mancha
02085,viveros,albacete,castilla-la-mancha,Viveros,Albacete,Castilla-La Mancha
02086,yeste,albacete,castilla-la-mancha,Yeste,Albacete,Castilla-La Mancha
03002,agost,alicante,comunidad-valenciana,Agost,Alicante,Comunidad Valenciana
03003,agres,alicante,comunidad-valenciana,Agres,Alicante,Comunidad Valenciana
03004,aigues,alicante,comunidad-valenciana,Aigües,Alicante,Comunidad Valenciana
03005,albatera,alicante,comunidad-valenciana,Albatera,Alicante,Comunidad Valenciana
03006,alcalali,alicante,comunidad-valenciana,Alcalalí,Alicante,Comunidad Valenciana
03007,alcocer-de-planes,alicante,comunidad-valenciana,Alcocer de Planes,Alicante,Comunidad Valenciana
03008,alcoleja,alicante,comunidad-valenciana,Alcoleja,Alicante,Comunidad Valenciana
03009,alcoy,alicante,comunidad-valenciana,Alcoy/Alcoi,Alicante,Comunidad Valenciana
03010,alfafara,alicante,comunidad-valenciana,Alfafara,Alicante,Comunidad Valenciana
03011,alfas-del-pi,alicante,comunidad-valenciana,L'Alfàs del Pi,Alicante,Comunidad Valenciana
03012,algorfa,alicante,comunidad-valenciana,Algorfa,Alicante,Comunidad Valenciana
03013,alguena,alicante,comunidad-valenciana,Algueña,Alicante,Comunidad Valenciana
03014,alicante,alicante,comunidad-valenciana,Alicante/Alacant,Alicante,Comunidad Valenciana
03015,almoradi,alicante,comunidad-valenciana,Almoradí,Alicante,Comunidad Valenciana
03016,almudaina,alicante,comunidad-valenciana,Almudaina,Alicante,Comunidad Valenciana
03017,alqueria-asnar,alicante,comunidad-valenciana,L'Alqueria d'Asnar,Alicante,Comunidad Valenciana
03018,altea,alicante,comunidad-valenciana,Altea,Alicante,Comunidad Valenciana
03019,aspe,alicante,comunidad-valenciana,Aspe,Alicante,Comunidad Valenciana
03001,atzubia,alicante,comunidad-valenciana,L'Atzúbia,Alicante,Comunidad Valenciana
03020,balones,alicante,comunidad-valenciana,Balones,Alicante,Comunidad Valenciana
03021,banyeres-de-mariola,alicante,comunidad-valenciana,Banyeres de Mariola,Alicante,Comunidad Valenciana
03022,benasau,alicante,comunidad-valenciana,Benasau,Alicante,Comunidad Valenciana
03023,beneixama,alicante,comunidad-valenciana,Beneixama,Alicante,Comunidad Valenciana
03024,benejuzar,alicante,comunidad-valenciana,Benejúzar,Alicante,Comunidad Valenciana
03025,benferri,alicante,comunidad-valenciana,Benferri,Alicante,Comunidad Valenciana
03026,beniarbeig,alicante,comunidad-valenciana,Beniarbeig,Alicante,Comunidad Valenciana
03027,beniarda,alicante,comunidad-valenciana,Beniardá,Alicante,Comunidad Valenciana
03028,beniarres,alicante,comunidad-valenciana,Beniarrés,Alicante,Comunidad Valenciana
03030,benidoleig,alicante,comunidad-valenciana,Benidoleig,Alicante,Comunidad Valenciana
03031,benidorm,alicante,comunidad-valenciana,Benidorm,Alicante,Comunidad Valenciana
03032,benifallim,alicante,comunidad-valenciana,Benifallim,Alicante,Comunidad Valenciana
03033,benifato,alicante,comunidad-valenciana,Benifato,Alicante,Comunidad Valenciana
03029,benigembla,alicante,comunidad-valenciana,Benigembla,Alicante,Comunidad Valenciana
03034,benijofar,alicante,comunidad-valenciana,Benijófar,Alicante,Comunidad Valenciana
03035,benilloba,alicante,comunidad-valenciana,Benilloba,Alicante,Comunidad Valenciana
03036,benillup,alicante,comunidad-valenciana,Benillup,Alicante,Comunidad Valenciana
03037,benimantell,alicante,comunidad-valenciana,Benimantell,Alicante,Comunidad Valenciana
03038,benimarfull,alicante,comunidad-valenciana,Benimarfull,Alicante,Comunidad Valenciana
03039,benimassot,alicante,comunidad-valenciana,Benimassot,Alicante,Comunidad Valenciana
03040,benimeli,alicante,comunidad-valenciana,Benimeli,Alicante,Comunidad Valenciana
03041,benissa,alicante,comunidad-valenciana,Benissa,Alicante,Comunidad Valenciana
03042,benitachell,alicante,comunidad-valenciana,"Benitachell/Poble Nou de Benitatxell, el",Alicante,Comunidad Valenciana
03043,biar,alicante,comunidad-valenciana,Biar,Alicante,Comunidad Valenciana
03044,bigastro,alicante,comunidad-valenciana,Bigastro,Alicante,Comunidad Valenciana
03045,bolulla,alicante,comunidad-valenciana,Bolulla,Alicante,Comunidad Valenciana
03046,busot,alicante,comunidad-valenciana,Busot,Alicante,Comunidad Valenciana
03049,callosa-de-segura,alicante,comunidad-valenciana,Callosa de Segura,Alicante,Comunidad Valenciana
03048,callosa-en-sarria,alicante,comunidad-valenciana,Callosa d'en Sarrià,Alicante,Comunidad Valenciana
03047,calp,alicante,comunidad-valenciana,Calp,Alicante,Comunidad Valenciana
03050,el-campello,alicante,comunidad-valenciana,El Campello,Alicante,Comunidad Valenciana
03051,el-campo-de-mirra,alicante,comunidad-valenciana,El Campo de Mirra/El Camp de Mirra,Alicante,Comunidad Valenciana
03052,canada,alicante,comunidad-valenciana,Cañada,Alicante,Comunidad Valenciana
03053,castalla,alicante,comunidad-valenciana,Castalla,Alicante,Comunidad Valenciana
03054,castell-de-castells,alicante,comunidad-valenciana,Castell de Castells,Alicante,Comunidad Valenciana
03075,el-castell-de-guadalest,alicante,comunidad-valenciana,El Castell de Guadalest,Alicante,Comunidad Valenciana
03055,catral,alicante,comunidad-valenciana,Catral,Alicante,Comunidad Valenciana
03056,cocentaina,alicante,comunidad-valenciana,Cocentaina,Alicante,Comunidad Valenciana
03057,confrides,alicante,comunidad-valenciana,Confrides,Alicante,Comunidad Valenciana
03058,cox,alicante,comunidad-valenciana,Cox,Alicante,Comunidad Valenciana
03059,crevillent,alicante,comunidad-valenciana,Crevillent,Alicante,Comunidad Valenciana
03061,daya-nueva,alicante,comunidad-valenciana,Daya Nueva,Alicante,Comunidad Valenciana
03062,daya-vieja,alicante,comunidad-valenciana,Daya Vieja,Alicante,Comunidad Valenciana
03063,denia,alicante,comunidad-valenciana,Dénia,Alicante,Comunidad Valenciana
03064,dolores,alicante,comunidad-valenciana,Dolores,Alicante,Comunidad Valenciana
03065,elche,alicante,comunidad-valenciana,Elche/Elx,Alicante,Comunidad Valenciana
03066,elda,alicante,comunidad-valenciana,Elda,Alicante,Comunidad Valenciana
03067,facheca,alicante,comunidad-valenciana,Facheca,Alicante,Comunidad Valenciana
03068,famorca,alicante,comunidad-valenciana,Famorca,Alicante,Comunidad Valenciana
03069,finestrat,alicante,comunidad-valenciana,Finestrat,Alicante,Comunidad Valenciana
03077,el-fondo-de-les-neus,alicante,comunidad-valenciana,El Fondó de les Neus/El Hondón de las Nieves,Alicante,Comunidad Valenciana
03070,formentera-del-segura,alicante,comunidad-valenciana,Formentera del Segura,Alicante,Comunidad Valenciana
03072,gaianes,alicante,comunidad-valenciana,Gaianes,Alicante,Comunidad Valenciana
03071,gata-de-gorgos,alicante,comunidad-valenciana,Gata de Gorgos,Alicante,Comunidad Valenciana
03073,gorga,alicante,comunidad-valenciana,Gorga,Alicante,Comunidad Valenciana
03074,granja-de-rocamora,alicante,comunidad-valenciana,Granja de Rocamora,Alicante,Comunidad Valenciana
03076,guardamar-del-segura,alicante,comunidad-valenciana,Guardamar del Segura,Alicante,Comunidad Valenciana
03078,hondon-de-los-frailes,alicante,comunidad-valenciana,Hondón de los Frailes,Alicante,Comunidad Valenciana
03079,ibi,alicante,comunidad-valenciana,Ibi,Alicante,Comunidad Valenciana
03080,jacarilla,alicante,comunidad-valenciana,Jacarilla,Alicante,Comunidad Valenciana
03082,javea,alicante,comunidad-valenciana,Jávea/Xàbia,Alicante,Comunidad Valenciana
03083,jijona,alicante,comunidad-valenciana,Jijona/Xixona,Alicante,Comunidad Valenciana
03085,lliber,alicante,comunidad-valenciana,Llíber,Alicante,Comunidad Valenciana
03084,lorcha,alicante,comunidad-valenciana,Lorcha/L'Orxa,Alicante,Comunidad Valenciana
03086,millena,alicante,comunidad-valenciana,Millena,Alicante,Comunidad Valenciana
03088,monforte-del-cid,alicante,comunidad-valenciana,Monforte del Cid,Alicante,Comunidad Valenciana
03089,monovar,alicante,comunidad-valenciana,Monóvar/Monòver,Alicante,Comunidad Valenciana
03903,los-montesinos,alicante,comunidad-valenciana,Los Montesinos,Alicante,Comunidad Valenciana
03091,murla,alicante,comunidad-valenciana,Murla,Alicante,Comunidad Valenciana
03092,muro-de-alcoy,alicante,comunidad-valenciana,Muro de Alcoy,Alicante,Comunidad Valenciana
03090,mutxamel,alicante,comunidad-valenciana,Mutxamel,Alicante,Comunidad Valenciana
03093,novelda,alicante,comunidad-valenciana,Novelda,Alicante,Comunidad Valenciana
03094,la-nucia,alicante,comunidad-valenciana,La Nucia,Alicante,Comunidad Valenciana
03095,ondara,alicante,comunidad-valenciana,Ondara,Alicante,Comunidad Valenciana
03096,onil,alicante,comunidad-valenciana,Onil,Alicante,Comunidad Valenciana
03097,orba,alicante,comunidad-valenciana,Orba,Alicante,Comunidad Valenciana
03099,orihuela,alicante,comunidad-valenciana,Orihuela,Alicante,Comunidad Valenciana
03098,orxeta,alicante,comunidad-valenciana,Orxeta,Alicante,Comunidad Valenciana
03100,parcent,alicante,comunidad-valenciana,Parcent,Alicante,Comunidad Valenciana
03101,pedreguer,alicante,comunidad-valenciana,Pedreguer,Alicante,Comunidad Valenciana
03102,pego,alicante,comunidad-valenciana,Pego,Alicante,Comunidad Valenciana
03103,penaguila,alicante,comunidad-valenciana,Penàguila,Alicante,Comunidad Valenciana
03104,petrer,alicante,comunidad-valenciana,Petrer,Alicante,Comunidad Valenciana
03902,pilar-de-la-horadada,alicante,comunidad-valenciana,Pilar de la Horadada,Alicante,Comunidad Valenciana
03105,el-pinos,alicante,comunidad-valenciana,El Pinós/Pinoso,Alicante,Comunidad Valenciana
03106,planes,alicante,comunidad-valenciana,Planes,Alicante,Comunidad Valenciana
03901,els-poblets,alicante,comunidad-valenciana,Els Poblets,Alicante,Comunidad Valenciana
03107,polop,alicante,comunidad-valenciana,Polop,Alicante,Comunidad Valenciana
03060,quatretondeta,alicante,comunidad-valenciana,Quatretondeta,Alicante,Comunidad Valenciana
03109,rafal,alicante,comunidad-valenciana,Rafal,Alicante,Comunidad Valenciana
03110,el-rafol-almunia,alicante,comunidad-valenciana,El Ràfol d'Almúnia,Alicante,Comunidad Valenciana
03111,redovan,alicante,comunidad-valenciana,Redován,Alicante,Comunidad Valenciana
03112,relleu,alicante,comunidad-valenciana,Relleu,Alicante,Comunidad Valenciana
03113,rojales,alicante,comunidad-valenciana,Rojales,Alicante,Comunidad Valenciana
03114,la-romana,alicante,comunidad-valenciana,La Romana,Alicante,Comunidad Valenciana
03115,sagra,alicante,comunidad-valenciana,Sagra,Alicante,Comunidad Valenciana
03116,salinas,alicante,comunidad-valenciana,Salinas,Alicante,Comunidad Valenciana
03118,san-fulgencio,alicante,comunidad-valenciana,San Fulgencio,Alicante,Comunidad Valenciana
03904,san-isidro,alicante,comunidad-valenciana,San Isidro,Alicante,Comunidad Valenciana
03120,san-miguel-de-salinas,alicante,comunidad-valenciana,San Miguel de Salinas,Alicante,Comunidad Valenciana
03122,san-vicente-del-raspeig,alicante,comunidad-valenciana,San Vicente del Raspeig/Sant Vicent del Raspeig,Alicante,Comunidad Valenciana
03117,sanet-y-negrals,alicante,comunidad-valenciana,Sanet y Negrals,Alicante,Comunidad Valenciana
03119,sant-joan-alacant,alicante,comunidad-valenciana,Sant Joan d'Alacant,Alicante,Comunidad Valenciana
03121,santa-pola,alicante,comunidad-valenciana,Santa Pola,Alicante,Comunidad Valenciana
03123,sax,alicante,comunidad-valenciana,Sax,Alicante,Comunidad Valenciana
03124,sella,alicante,comunidad-valenciana,Sella,Alicante,Comunidad Valenciana
03125,senija,alicante,comunidad-valenciana,Senija,Alicante,Comunidad Valenciana
03127,tarbena,alicante,comunidad-valenciana,Tàrbena,Alicante,Comunidad Valenciana
03128,teulada,alicante,comunidad-valenciana,Teulada,Alicante,Comunidad Valenciana
03129,tibi,alicante,comunidad-valenciana,Tibi,Alicante,Comunidad Valenciana
03130,tollos,alicante,comunidad-valenciana,Tollos,Alicante,Comunidad Valenciana
03131,tormos,alicante,comunidad-valenciana,Tormos,Alicante,Comunidad Valenciana
03132,torremanzanas,alicante,comunidad-valenciana,Torremanzanas/la Torre de les Maçanes,Alicante,Comunidad Valenciana
03133,torrevieja,alicante,comunidad-valenciana,Torrevieja,Alicante,Comunidad Valenciana
03134,la-vall-alcala,alicante,comunidad-valenciana,La Vall d'Alcalà,Alicante,Comunidad Valenciana
03136,vall-de-gallinera,alicante,comunidad-valenciana,Vall de Gallinera,Alicante,Comunidad Valenciana
03137,la-vall-de-laguar,alicante,comunidad-valenciana,La Vall de Laguar,Alicante,Comunidad Valenciana
03135,la-vall-ebo,alicante,comunidad-valenciana,La Vall d'Ebo,Alicante,Comunidad Valenciana
03138,el-verger,alicante,comunidad-valenciana,El Verger,Alicante,Comunidad Valenciana
03139,villajoyosa,alicante,comunidad-valenciana,Villajoyosa/La Vila Joiosa,Alicante,Comunidad Valenciana
03140,villena,alicante,comunidad-valenciana,Villena,Alicante,Comunidad Valenciana
03081,xalo,alicante,comunidad-valenciana,Xaló,Alicante,Comunidad Valenciana
04001,abla,almeria,andalucia,Abla,Almería,Andalucía
04002,abrucena,almeria,andalucia,Abrucena,Almería,Andalucía
04003,adra,almeria,andalucia,Adra,Almería,Andalucía
04004,albanchez,almeria,andalucia,Albanchez,Almería,Andalucía
04005,alboloduy,almeria,andalucia,Alboloduy,Almería,Andalucía
04006,albox,almeria,andalucia,Albox,Almería,Andalucía
