tipo,latitude,longitude,bright,date,admin2,admin3,country_code,country_es
24h,64.6473,24.42656,342.38,27 de julio,Raahe,Pohjois-Suomen aluehallintovirasto,FI,Finlandia
24h,64.64848,24.4188,302.52,27 de julio,Raahe,Pohjois-Suomen aluehallintovirasto,FI,Finlandia
24h,64.64613,24.43433,295.71,27 de julio,Raahe,Pohjois-Suomen aluehallintovirasto,FI,Finlandia
24h,62.95515,27.68652,297.8,27 de julio,Kuopio,Itä-Suomen aluehallintovirasto,FI,Finlandia
24h,63.70123,22.71091,298.79,27 de julio,Jakobstad,Länsi- ja Sisä-Suomen aluehallintovirasto,FI,Finlandia
24h,60.2858,22.2934,311.54,27 de julio,Pargas,Lounais-Suomen aluehallintovirasto,FI,Finlandia
24h,58.68563,17.13409,296.77,27 de julio,Oxelösund,Södermanlands län,SE,Suecia
24h,58.68223,17.13251,296.01,27 de julio,Oxelösund,Södermanlands län,SE,Suecia
24h,58.67458,17.13651,327.83,27 de julio,Oxelösund,Södermanlands län,SE,Suecia
24h,58.67628,17.13825,326.96,27 de julio,Oxelösund,Södermanlands län,SE,Suecia
24h,58.67289,17.1367,295.29,27 de julio,Oxelösund,Södermanlands län,SE,Suecia
24h,58.66949,17.13514,328.43,27 de julio,Oxelösund,Södermanlands län,SE,Suecia
24h,59.27357,5.5146,300.83,27 de julio,Tysvær,Rogaland,NO,Noruega
24h,59.27339,5.52032,308.61,27 de julio,Tysvær,Rogaland,NO,Noruega
24h,57.70926,18.80425,318.08,27 de julio,Gotlands kommun,Gotlands län,SE,Suecia
24h,57.01413,1.83154,322.87,27 de julio,NA,NA,NA,Mundo
24h,53.74175,18.6187,328.12,27 de julio,gmina Smętowo Graniczne,województwo pomorskie,PL,Polonia
24h,53.8754,9.5866,297.15,27 de julio,Krempermarsch,Schleswig-Holstein,DE,Alemania
24h,53.13584,8.67889,327.17,27 de julio,Bremen,Bremen,DE,Alemania
24h,53.13485,8.69188,295.32,27 de julio,Stadtgebiet Bremen,Bremen,DE,Alemania
24h,53.13163,8.67797,337.15,27 de julio,Stadtgebiet Bremen,Bremen,DE,Alemania
24h,53.12741,8.67706,313.79,27 de julio,Stadtgebiet Bremen,Bremen,DE,Alemania
24h,53.12642,8.69006,296.33,27 de julio,Bremen,Bremen,DE,Alemania
24h,51.68706,15.98962,295.21,27 de julio,gmina Żukowice,województwo dolnośląskie,PL,Polonia
24h,52.37484,9.87987,295.42,27 de julio,Hannover,Niedersachsen,DE,Alemania
24h,52.35348,9.89199,304.33,27 de julio,Sehnde,Niedersachsen,DE,Alemania
24h,51.10379,18.9412,311.13,27 de julio,gmina Działoszyn,województwo łódzkie,PL,Polonia
24h,52.16332,10.41494,310.31,27 de julio,Salzgitter,Niedersachsen,DE,Alemania
24h,52.16259,10.42291,303.82,27 de julio,Salzgitter,Niedersachsen,DE,Alemania
24h,52.1609,10.39804,301.66,27 de julio,Salzgitter,Niedersachsen,DE,Alemania
24h,52.15944,10.41396,302.39,27 de julio,Salzgitter,Niedersachsen,DE,Alemania
24h,52.15629,10.40504,328.33,27 de julio,Salzgitter,Niedersachsen,DE,Alemania
24h,52.16309,10.41571,316.55,27 de julio,Salzgitter,Niedersachsen,DE,Alemania
