date,provincia,2024,Media 2009-2023,tipo,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,min,max
2024-01-26,España,3248,1201.3333333333333,Hectáreas,0,1173,0,89,1412,0,0,226,0,103,187,3487,885,911,8803,744,187,8803
2024-01-26,España,11,8.2,Incendios,0,1,0,1,4,0,0,2,0,1,1,31,14,3,58,7,0,58
2024-01-27,España,3332,1209.6,Hectáreas,0,1173,0,89,1412,0,0,226,0,103,187,3487,885,911,8927,744,187,8927
2024-01-27,España,12,8.333333333333334,Incendios,0,1,0,1,4,0,0,2,0,1,1,31,14,3,60,7,0,60
2024-01-28,España,3558,1311.5333333333333,Hectáreas,0,1173,0,89,1444,0,0,226,0,103,187,3487,885,911,10424,744,187,10424
2024-01-28,España,15,8.466666666666667,Incendios,0,1,0,1,5,0,0,2,0,1,1,31,14,3,61,7,0,61
2024-01-29,España,3776,1361.0666666666666,Hectáreas,0,1173,0,89,1444,0,0,226,0,103,187,3589,885,911,11065,744,187,11065
2024-01-29,España,17,9.133333333333333,Incendios,0,1,0,1,5,0,0,2,0,1,1,32,14,3,70,7,0,70
2024-01-30,España,3934,1404.8666666666666,Hectáreas,0,1173,0,89,1444,0,0,226,0,103,187,3589,885,911,11684,782,187,11684
2024-01-30,España,21,9.666666666666666,Incendios,0,1,0,1,5,0,0,2,0,1,1,32,14,3,77,8,0,77
2024-01-31,España,4433,1425.9333333333334,Hectáreas,0,1173,0,89,1444,0,0,226,0,175,187,3589,885,911,11840,870,187,11840
2024-01-31,España,22,10,Incendios,0,1,0,1,5,0,0,2,0,2,1,32,14,3,79,10,0,79
2024-02-01,España,4433,1493.1333333333334,Hectáreas,0,1173,0,89,1444,0,0,226,0,175,187,3589,885,1866,11893,870,187,11893
2024-02-01,España,22,10.133333333333333,Incendios,0,1,0,1,5,0,0,2,0,2,1,32,14,4,80,10,0,80
2024-02-02,España,4659,1527.4666666666667,Hectáreas,0,1173,0,89,1444,0,0,226,0,270,187,3589,885,1866,12313,870,187,12313
2024-02-02,España,24,10.6,Incendios,0,1,0,1,5,0,0,2,0,3,1,32,14,4,86,10,0,86
2024-02-03,España,4699,1649.4666666666667,Hectáreas,0,1173,0,150,1444,0,0,226,0,270,187,3589,2197,1866,12442,1198,187,12442
2024-02-03,España,25,11.533333333333331,Incendios,0,1,0,2,5,0,0,2,0,3,1,32,23,4,89,11,0,89
2024-02-04,España,5246,1715.4,Hectáreas,0,1173,0,150,1883,0,193,226,0,270,187,3589,2521,1866,12475,1198,187,12475
2024-02-04,España,28,11.933333333333334,Incendios,0,1,0,2,6,0,1,2,0,3,1,32,26,4,90,11,0,90
2024-02-05,España,5539,1722.4,Hectáreas,0,1173,0,150,1883,0,193,226,0,270,187,3589,2521,1866,12580,1198,187,12580
2024-02-05,España,29,12,Incendios,0,1,0,2,6,0,1,2,0,3,1,32,26,4,91,11,0,91
2024-02-06,España,5669,1738.9333333333334,Hectáreas,0,1173,0,310,1883,0,193,226,0,270,187,3589,2521,1866,12580,1286,187,12580
2024-02-06,España,31,12.266666666666667,Incendios,0,1,0,4,6,0,1,2,0,3,1,32,26,4,91,13,0,91
