nombre_clean,cod_ine,tipo_distintivo,tipo_area,num_dist22,prov,pob,por_dist22,tasa_dist22,edad_media,em_nacional,dif_edad_media
A Gudiña,32034,ECO,Áreas no urbanas,0,Ourense,1180,0,0,NA,4.19,NA
A Gudiña,32034,SIN DISTINTIVO,Áreas no urbanas,41,Ourense,1180,50.62,34.75,42.29,35,7.3
A Illa de Arousa,36901,CERO,Áreas no urbanas,2,Pontevedra,4878,0.67,0.41,1,3.63,-2.63
A Illa de Arousa,36901,DISTINTIVO B,Áreas no urbanas,54,Pontevedra,4878,18,11.07,17.04,17.32,-0.28
A Illa de Arousa,36901,DISTINTIVO C,Áreas no urbanas,176,Pontevedra,4878,58.67,36.08,9.52,8.5,1.02
A Illa de Arousa,36901,ECO,Áreas no urbanas,0,Pontevedra,4878,0,0,NA,4.19,NA
A Illa de Arousa,36901,SIN DISTINTIVO,Áreas no urbanas,68,Pontevedra,4878,22.67,13.94,28.71,35,-6.29
A Lama,36025,CERO,Áreas no urbanas,0,Pontevedra,2499,0,0,NA,3.63,NA
A Lama,36025,DISTINTIVO B,Áreas no urbanas,29,Pontevedra,2499,22.83,11.6,17.83,17.32,0.51
A Lama,36025,DISTINTIVO C,Áreas no urbanas,53,Pontevedra,2499,41.73,21.21,8.87,8.5,0.37
A Lama,36025,ECO,Áreas no urbanas,0,Pontevedra,2499,0,0,NA,4.19,NA
A Lama,36025,SIN DISTINTIVO,Áreas no urbanas,45,Pontevedra,2499,35.43,18.01,33.56,35,-1.44
A Laracha,15041,CERO,Áreas no urbanas,2,A Coruña,11505,0.3,0.17,4,3.63,0.37
A Laracha,15041,DISTINTIVO B,Áreas no urbanas,119,A Coruña,11505,18.06,10.34,17.07,17.32,-0.25
A Laracha,15041,DISTINTIVO C,Áreas no urbanas,291,A Coruña,11505,44.16,25.29,10.17,8.5,1.67
A Laracha,15041,ECO,Áreas no urbanas,0,A Coruña,11505,0,0,NA,4.19,NA
A Laracha,15041,SIN DISTINTIVO,Áreas no urbanas,247,A Coruña,11505,37.48,21.47,30.29,35,-4.7
A Merca,32047,CERO,Áreas no urbanas,0,Ourense,1966,0,0,NA,3.63,NA
A Merca,32047,DISTINTIVO B,Áreas no urbanas,26,Ourense,1966,17.69,13.22,17.04,17.32,-0.28
A Merca,32047,DISTINTIVO C,Áreas no urbanas,66,Ourense,1966,44.9,33.57,10.23,8.5,1.73
A Merca,32047,ECO,Áreas no urbanas,0,Ourense,1966,0,0,NA,4.19,NA
A Merca,32047,SIN DISTINTIVO,Áreas no urbanas,55,Ourense,1966,37.41,27.98,35.95,35,0.95
A Mezquita,32048,DISTINTIVO B,Áreas no urbanas,11,Ourense,1005,22,10.95,17,17.32,-0.32
A Mezquita,32048,DISTINTIVO C,Áreas no urbanas,19,Ourense,1005,38,18.91,10.42,8.5,1.92
A Mezquita,32048,ECO,Áreas no urbanas,0,Ourense,1005,0,0,NA,4.19,NA
A Mezquita,32048,SIN DISTINTIVO,Áreas no urbanas,20,Ourense,1005,40,19.9,32.4,35,-2.6
