nombre_clean,cod_ine,tipo_distintivo,tipo_area,num_dist22,prov,pob,tot22,por_dist22,tasa_dist22,edad_media,em_nacional,dif_edad_media
Ademuz,46001,CERO,Áreas no urbanas,0,Valencia,1000,17,0,0,NA,2.92,NA
Ademuz,46001,DISTINTIVO B,Áreas no urbanas,1,Valencia,1000,17,5.88,1,16,11.9,4.1
Ademuz,46001,DISTINTIVO C,Áreas no urbanas,0,Valencia,1000,17,0,0,NA,4.61,NA
Ademuz,46001,ECO,Áreas no urbanas,0,Valencia,1000,17,0,0,NA,3.53,NA
Ademuz,46001,SIN DISTINTIVO,Áreas no urbanas,16,Valencia,1000,17,94.12,16,12.94,17.4,-4.46
Adiós,31007,DISTINTIVO B,Áreas no urbanas,0,Navarra,165,2,0,0,NA,11.9,NA
Adiós,31007,DISTINTIVO C,Áreas no urbanas,0,Navarra,165,2,0,0,NA,4.61,NA
Adiós,31007,ECO,Áreas no urbanas,0,Navarra,165,2,0,0,NA,3.53,NA
Adiós,31007,SIN DISTINTIVO,Áreas no urbanas,2,Navarra,165,2,100,12.12,11.5,17.4,-5.9
Adobes,19003,DISTINTIVO B,Áreas no urbanas,0,Guadalajara,28,0,NA,0,NA,11.9,NA
Adobes,19003,DISTINTIVO C,Áreas no urbanas,0,Guadalajara,28,0,NA,0,NA,4.61,NA
Adobes,19003,SIN DISTINTIVO,Áreas no urbanas,0,Guadalajara,28,0,NA,0,NA,17.4,NA
Ador,46002,CERO,Áreas no urbanas,0,Valencia,1706,20,0,0,NA,2.92,NA
Ador,46002,DISTINTIVO B,Áreas no urbanas,1,Valencia,1706,20,5,0.59,12,11.9,0.1
Ador,46002,DISTINTIVO C,Áreas no urbanas,0,Valencia,1706,20,0,0,NA,4.61,NA
Ador,46002,ECO,Áreas no urbanas,0,Valencia,1706,20,0,0,NA,3.53,NA
Ador,46002,SIN DISTINTIVO,Áreas no urbanas,19,Valencia,1706,20,95,11.14,25.79,17.4,8.39
Adra,04003,CERO,Pequeñas áreas urbanas,0,Almería,25300,568,0,0,NA,2.92,NA
Adra,04003,DISTINTIVO B,Pequeñas áreas urbanas,57,Almería,25300,568,10.04,2.25,11.44,11.9,-0.46
Adra,04003,DISTINTIVO C,Pequeñas áreas urbanas,102,Almería,25300,568,17.96,4.03,5.6,4.61,0.99
Adra,04003,ECO,Pequeñas áreas urbanas,0,Almería,25300,568,0,0,NA,3.53,NA
Adra,04003,SIN DISTINTIVO,Pequeñas áreas urbanas,409,Almería,25300,568,72.01,16.17,16.73,17.4,-0.67
Adrada de Haza,09003,DISTINTIVO B,Áreas no urbanas,4,Burgos,199,62,6.45,20.1,15.25,11.9,3.35
