nombre_clean,cod_ine,tipo_distintivo,tipo_area,num_dist22,prov,pob,por_dist22,tasa_dist22,edad_media,em_nacional,dif_edad_media
Aduna,20002,SIN DISTINTIVO,Áreas no urbanas,89,Gipuzkoa,486,25.65,183.13,29.56,28.41,1.15
Agaete,35001,CERO,Áreas no urbanas,12,Las Palmas,5633,0.48,2.13,3.08,2.5,0.58
Agaete,35001,DISTINTIVO B,Áreas no urbanas,619,Las Palmas,5633,24.52,109.89,16.12,14.58,1.53
Agaete,35001,DISTINTIVO C,Áreas no urbanas,1254,Las Palmas,5633,49.68,222.62,9.09,7.17,1.92
Agaete,35001,ECO,Áreas no urbanas,46,Las Palmas,5633,1.82,8.17,4.61,3.67,0.94
Agaete,35001,SIN DISTINTIVO,Áreas no urbanas,593,Las Palmas,5633,23.49,105.27,30.02,28.41,1.6
Agallas,37002,DISTINTIVO B,Áreas no urbanas,34,Salamanca,131,36.56,259.54,14.68,14.58,0.09
Agallas,37002,DISTINTIVO C,Áreas no urbanas,11,Salamanca,131,11.83,83.97,9.64,7.17,2.47
Agallas,37002,SIN DISTINTIVO,Áreas no urbanas,48,Salamanca,131,51.61,366.41,23.83,28.41,-4.58
Agolada,36020,CERO,Áreas no urbanas,3,Pontevedra,2252,0.17,1.33,2,2.5,-0.5
Agolada,36020,DISTINTIVO B,Áreas no urbanas,585,Pontevedra,2252,33.05,259.77,14.25,14.58,-0.33
Agolada,36020,DISTINTIVO C,Áreas no urbanas,316,Pontevedra,2252,17.85,140.32,7.35,7.17,0.18
Agolada,36020,ECO,Áreas no urbanas,16,Pontevedra,2252,0.9,7.1,3.56,3.67,-0.11
Agolada,36020,SIN DISTINTIVO,Áreas no urbanas,850,Pontevedra,2252,48.02,377.44,27.13,28.41,-1.28
Agoncillo,26002,CERO,Grandes áreas urbanas,5,La Rioja,1175,0.64,4.26,4,2.5,1.5
Agoncillo,26002,DISTINTIVO B,Grandes áreas urbanas,248,La Rioja,1175,31.67,211.06,14.17,14.58,-0.41
Agoncillo,26002,DISTINTIVO C,Grandes áreas urbanas,225,La Rioja,1175,28.74,191.49,7.66,7.17,0.49
Agoncillo,26002,ECO,Grandes áreas urbanas,11,La Rioja,1175,1.4,9.36,7.27,3.67,3.6
