nombre_clean,cod_ine,tipo_distintivo,tipo_area,num_dist22,prov,pob,tot22,por_dist22,tasa_dist22,edad_media,em_nacional,dif_edad_media
A Gudiña,32034,DISTINTIVO B,Áreas no urbanas,1,Ourense,1180,53,1.89,0.85,17,11.64,5.36
A Gudiña,32034,DISTINTIVO C,Áreas no urbanas,0,Ourense,1180,53,0,0,NA,4.09,NA
A Gudiña,32034,ECO,Áreas no urbanas,0,Ourense,1180,53,0,0,NA,3.95,NA
A Gudiña,32034,SIN DISTINTIVO,Áreas no urbanas,52,Ourense,1180,53,98.11,44.07,18.13,19.31,-1.17
A Illa de Arousa,36901,CERO,Áreas no urbanas,0,Pontevedra,4878,34,0,0,NA,4.01,NA
A Illa de Arousa,36901,DISTINTIVO B,Áreas no urbanas,3,Pontevedra,4878,34,8.82,0.62,15.67,11.64,4.03
A Illa de Arousa,36901,DISTINTIVO C,Áreas no urbanas,0,Pontevedra,4878,34,0,0,NA,4.09,NA
A Illa de Arousa,36901,ECO,Áreas no urbanas,0,Pontevedra,4878,34,0,0,NA,3.95,NA
A Illa de Arousa,36901,SIN DISTINTIVO,Áreas no urbanas,31,Pontevedra,4878,34,91.18,6.36,19.26,19.31,-0.05
A Lama,36025,CERO,Áreas no urbanas,0,Pontevedra,2499,46,0,0,NA,4.01,NA
A Lama,36025,DISTINTIVO B,Áreas no urbanas,4,Pontevedra,2499,46,8.7,1.6,12.5,11.64,0.86
A Lama,36025,DISTINTIVO C,Áreas no urbanas,1,Pontevedra,2499,46,2.17,0.4,3,4.09,-1.09
A Lama,36025,ECO,Áreas no urbanas,0,Pontevedra,2499,46,0,0,NA,3.95,NA
A Lama,36025,SIN DISTINTIVO,Áreas no urbanas,41,Pontevedra,2499,46,89.13,16.41,20.56,19.31,1.25
A Laracha,15041,CERO,Áreas no urbanas,0,A Coruña,11505,201,0,0,NA,4.01,NA
A Laracha,15041,DISTINTIVO B,Áreas no urbanas,19,A Coruña,11505,201,9.45,1.65,11.47,11.64,-0.16
A Laracha,15041,DISTINTIVO C,Áreas no urbanas,9,A Coruña,11505,201,4.48,0.78,3.44,4.09,-0.64
A Laracha,15041,ECO,Áreas no urbanas,0,A Coruña,11505,201,0,0,NA,3.95,NA
A Laracha,15041,SIN DISTINTIVO,Áreas no urbanas,173,A Coruña,11505,201,86.07,15.04,20.77,19.31,1.47
A Merca,32047,CERO,Áreas no urbanas,0,Ourense,1966,40,0,0,NA,4.01,NA
A Merca,32047,DISTINTIVO B,Áreas no urbanas,4,Ourense,1966,40,10,2.03,9.25,11.64,-2.39
A Merca,32047,DISTINTIVO C,Áreas no urbanas,3,Ourense,1966,40,7.5,1.53,2.33,4.09,-1.76
A Merca,32047,ECO,Áreas no urbanas,0,Ourense,1966,40,0,0,NA,3.95,NA
A Merca,32047,SIN DISTINTIVO,Áreas no urbanas,33,Ourense,1966,40,82.5,16.79,23.06,19.31,3.75
