tipo_vehiculo,num_dist22_CERO,num_dist22_DISTINTIVO B,num_dist22_DISTINTIVO C,num_dist22_ECO,num_dist22_SIN DISTINTIVO,por_dist22_CERO,por_dist22_DISTINTIVO B,por_dist22_DISTINTIVO C,por_dist22_ECO,por_dist22_SIN DISTINTIVO,tasa_CERO,tasa_DISTINTIVO B,tasa_DISTINTIVO C,tasa_ECO,tasa_SIN DISTINTIVO,em_tipo_CERO,em_tipo_DISTINTIVO B,em_tipo_DISTINTIVO C,em_tipo_ECO,em_tipo_SIN DISTINTIVO
autobuses_otros,676,69758,63388,5562,512163,0.10375306769887667,10.706518486003311,9.728845348071589,0.8536605954750771,78.60722250275114,0.014238947227849696,1.4693498235507974,1.3351751285191369,0.11715536165872782,10.787961433516545,4.15680473372781,11.6359127268557,4.084747901811069,3.9361740381157855,19.283032940684897
camiones,5128,872146,419950,13309,1425023,0.18745732129044332,31.88185509636798,15.351540966443386,0.48651901112607454,52.092627604772126,0.10801378903019711,18.370474658254732,8.845630012330592,0.28033453943114145,30.01601670927819,4.280811232449298,13.770898450488794,4.582886057864031,3.5549628071229993,25.19411195468424
furgonetas,31406,784708,646904,56028,1340746,1.0981917566032775,27.4393382455787,22.620666118375045,1.9591634636365163,46.88264041580646,0.6615212672157508,16.52872159951402,13.6260827181729,1.1801475373993533,28.240845473299657,2.646436986563077,12.428577254214307,4.64626899818211,3.1154244306418217,29.096452273585005
motocicletas,44383,573104,2486060,1383,1310081,1.0052749585448373,12.980805710336849,56.309259478628704,0.03132495026626208,29.673334902223345,0.9348627142213802,12.071594100694632,52.3652028776154,0.029130863929165873,27.594932282852895,3.6904896018745914,17.32205323990061,8.492401631497229,4.177151120751988,35.00494702235969
tractores,83,60174,135243,2770,648141,0.009806110742889684,7.109312142682455,15.978407653019634,0.3272641778048726,76.57520991575015,0.0017482731063779952,1.2674769385926443,2.848695177420231,0.05834598198394032,13.652138306517351,2.8674698795180724,11.912686542360488,4.640373254068602,3.5747292418772565,17.45875048793395
turismos,217633,8630106.706,9898056.958,1059200,7848146.618,0.7870099893550321,31.208411347644205,35.79360529492808,3.8303059771489156,28.380667390923765,4.584119529642918,181.780523605689,208.48803355504808,22.310492461151476,165.30968273687733,2.5002550164726856,14.594452567826686,7.216754338260901,3.687772847432024,28.455089007104988
todos,299309,10989996.706,13649601.958,1138252,13084300.618,0.7642947884085237,28.063296482974593,34.8546807491595,2.906561685400636,33.411166294056734,6.304504520444474,231.48814072629582,287.50881946910636,23.975606745553804,275.6015769423419,2.7264365588739397,14.483224630003816,7.206161820297676,3.6595806552503314,27.91772875146883
