recuento,fecuencia_supera,tipo,temp,date,indicativo,inicio_serie
227,28.8,Minimas,5.4,01-01,7096B,1987-08-01
179,21,Máximas,15.7,01-01,0252D,1981-01-01
295,34.7,Minimas,6.3,01-01,0252D,1981-01-01
486,23.1,Máximas,11.8,01-01,9262,1953-09-01
675,32,Minimas,3.7,01-01,9262,1953-09-01
54,21.9,Máximas,16.1,01-01,1083L,2014-04-29
31,12.6,Minimas,10.5,01-01,1083L,2014-04-29
117,17.2,Máximas,16.8,01-01,1208H,2001-03-06
135,19.8,Minimas,9.9,01-01,1208H,2001-03-06
178,27,Máximas,14.7,01-01,5427X,2000-02-19
130,19.7,Minimas,8,01-01,5427X,2000-02-19
302,40.6,Máximas,9.5,01-01,1631E,1994-01-01
364,48.9,Minimas,0.9,01-01,1631E,1994-01-01
612,67.3,Máximas,10.3,01-01,1700X,1994-01-01
400,44,Minimas,2.5,01-01,1700X,1994-01-01
322,36.3,Máximas,12.6,01-01,9569A,1990-04-01
266,30,Minimas,4.8,01-01,9569A,1990-04-01
236,14.9,Máximas,22.4,01-01,C029O,1972-11-01
954,60.3,Minimas,13.5,01-01,C029O,1972-11-01
244,53,Máximas,7.3,01-01,2298,1934-02-01
197,42.9,Minimas,-1.4,01-01,2298,1934-02-01
441,19.6,Máximas,15.4,01-01,5514,1937-12-01
571,25.4,Minimas,3.6,01-01,5514,1937-12-01
1354,42,Máximas,10.3,01-01,9390,1920-01-01
1222,37.9,Minimas,0.5,01-01,9390,1920-01-01
228,54.4,Máximas,12.3,01-01,4220X,2006-11-10
173,41.3,Minimas,1.9,01-01,4220X,2006-11-10
178,41.1,Máximas,14.9,01-01,7119B,2009-01-30
142,33,Minimas,3.5,01-01,7119B,2009-01-30
93,43.1,Máximas,11.7,01-01,5192,1985-12-01
43,19.9,Minimas,5.6,01-01,5192,1985-12-01
326,46.9,Máximas,4.9,01-01,1221D,1997-03-01
319,45.9,Minimas,-0.5,01-01,1221D,1997-03-01
194,22.4,Máximas,15.6,01-01,1111,1946-06-01
214,24.7,Minimas,10,01-01,1111,1946-06-01
91,5.3,Máximas,20,01-01,6325O,1968-01-01
431,24.9,Minimas,9.8,01-01,6325O,1968-01-01
439,20.8,Máximas,16.3,01-01,1014,1955-08-18
591,28,Minimas,7.1,01-01,1014,1955-08-18
73,19.3,Máximas,15,01-01,1002Y,2009-03-16
155,41,Minimas,2.6,01-01,1002Y,2009-03-16
165,36.2,Máximas,6.2,01-01,3111D,2005-07-03
194,42.5,Minimas,-0.6,01-01,3111D,2005-07-03
23,4.1,Máximas,21.3,01-01,6058I,2001-01-01
80,14.2,Minimas,12.7,01-01,6058I,2001-01-01
375,45.5,Máximas,10.7,01-01,0324A,1987-09-01
233,28.3,Minimas,-0.8,01-01,0324A,1987-09-01
294,35.1,Máximas,16.8,01-01,8325X,1991-02-01
158,18.9,Minimas,9.5,01-01,8325X,1991-02-01
132,29.5,Máximas,12.9,01-01,4148,1964-01-01
94,21,Minimas,3.7,01-01,4148,1964-01-01
115,13.8,Máximas,16.7,01-01,1159,1961-01-01
270,32.5,Minimas,7.4,01-01,1159,1961-01-01
118,7.2,Máximas,20.4,01-01,6000A,1965-01-01
10,0.6,Minimas,15.4,01-01,6000A,1965-01-01
1414,66.1,Máximas,13.2,01-01,4452,1955-01-01
697,32.6,Minimas,5.7,01-01,4452,1955-01-01
214,35.3,Máximas,23.5,01-01,C629X,2003-02-07
286,47.2,Minimas,15.2,01-01,C629X,2003-02-07
103,18.7,Máximas,16.2,01-01,1283U,1997-04-01
53,9.6,Minimas,11.3,01-01,1283U,1997-04-01
384,63.4,Máximas,11.3,01-01,4244X,2001-01-24
220,36.3,Minimas,3.5,01-01,4244X,2001-01-24
411,45.6,Máximas,4.4,01-01,2630X,1991-10-04
470,52,Minimas,-2.9,01-01,2630X,1991-10-04
354,38.1,Máximas,15.2,01-01,4410X,1989-06-04
327,35.2,Minimas,5,01-01,4410X,1989-06-04
415,27.4,Máximas,11.5,01-01,9263D,1975-01-01
653,43,Minimas,2,01-01,9263D,1975-01-01
702,45.3,Máximas,13.3,01-01,1690A,1972-08-01
670,43.2,Minimas,4,01-01,1690A,1972-08-01
555,22.8,Máximas,11.8,01-01,9898,1943-03-01
774,31.8,Minimas,2.9,01-01,9898,1943-03-01
64,18.8,Máximas,15.9,01-01,1111X,2012-03-01
62,18.2,Minimas,10.2,01-01,1111X,2012-03-01
208,44.3,Máximas,9.8,01-01,9208E,2006-02-01
146,31.1,Minimas,1.2,01-01,9208E,2006-02-01
448,58.8,Máximas,11.8,01-01,3576X,1996-08-01
509,66.8,Minimas,1.1,01-01,3576X,1996-08-01
249,25.2,Máximas,12.3,01-01,2946X,1988-12-29
670,67.7,Minimas,-2,01-01,2946X,1988-12-29
134,12.5,Máximas,19.2,01-01,7012C,1988-09-01
509,47.8,Minimas,8.9,01-01,7012C,1988-09-01
449,41.4,Máximas,13,01-01,5270B,1983-04-02
375,34.6,Minimas,6.4,01-01,5270B,1983-04-02
310,25.8,Máximas,18,01-01,4642E,1984-06-01
186,15.5,Minimas,9.6,01-01,4642E,1984-06-01
200,12.4,Máximas,22.3,01-01,C139E,1970-04-01
511,31.7,Minimas,16.2,01-01,C139E,1970-04-01
824,35.4,Máximas,11.3,01-01,9170,1948-11-01
1805,77.6,Minimas,-0.3,01-01,9170,1948-11-01
565,24.3,Máximas,15.9,01-01,1082,1947-03-01
980,42.2,Minimas,5.9,01-01,1082,1947-03-01
233,62.6,Máximas,9.9,01-01,3168D,2011-08-01
113,30.4,Minimas,2.5,01-01,3168D,2011-08-01
96,23.4,Máximas,16.6,01-01,4560Y,2009-06-05
112,27.3,Minimas,7.3,01-01,4560Y,2009-06-05
148,38.4,Máximas,12.1,01-01,4103X,2006-11-10
90,23.4,Minimas,3.3,01-01,4103X,2006-11-10
232,52.6,Máximas,13.2,01-01,7275C,2009-01-16
123,28.1,Minimas,4.5,01-01,7275C,2009-01-16
208,48.7,Máximas,9.8,01-01,9698U,2002-01-01
116,27.2,Minimas,1.5,01-01,9698U,2002-01-01
289,30.3,Máximas,13.8,01-01,1351,1961-01-01
191,20.1,Minimas,10.1,01-01,1351,1961-01-01
443,24.7,Máximas,18.2,01-01,8414A,1965-01-01
822,45.8,Minimas,5.1,01-01,8414A,1965-01-01
1118,49.4,Máximas,10.6,01-01,3200,1951-01-01
982,43.5,Minimas,2,01-01,3200,1951-01-01
1132,47,Máximas,16,01-01,7031,1944-08-01
1087,45.2,Minimas,6,01-01,7031,1944-08-01
86,25.5,Máximas,14.2,01-01,9434P,2012-10-01
137,40.7,Minimas,4.3,01-01,9434P,2012-10-01
74,20.2,Máximas,16.3,01-01,1014A,2011-11-01
150,41.1,Minimas,6.5,01-01,1014A,2011-11-01
225,62.5,Máximas,15.6,01-01,B691Y,2011-04-19
213,59.2,Minimas,3.8,01-01,B691Y,2011-04-19
83,13.6,Máximas,19,01-01,4549Y,2003-03-01
57,9.3,Minimas,11.2,01-01,4549Y,2003-03-01
194,30.2,Máximas,13.9,01-01,4267X,2000-03-01
150,23.3,Minimas,4.3,01-01,4267X,2000-03-01
230,25.4,Máximas,10.5,01-01,9111,1989-04-18
162,17.9,Minimas,3.9,01-01,9111,1989-04-18
256,19.3,Máximas,23.2,01-01,C429I,1980-07-01
823,62,Minimas,14.7,01-01,C429I,1980-07-01
1032,39.3,Máximas,8.5,01-01,2539,1936-11-01
1588,60.4,Minimas,-2,01-01,2539,1936-11-01
152,40.9,Máximas,10.9,01-01,9091R,2011-09-30
181,48.7,Minimas,0.5,01-01,9091R,2011-09-30
112,23.1,Máximas,15.2,01-01,1059X,2005-02-09
162,33.4,Minimas,7.7,01-01,1059X,2005-02-09
264,41.8,Máximas,14.3,01-01,5181D,2001-01-02
198,31.3,Minimas,4.3,01-01,5181D,2001-01-02
198,30.7,Máximas,17,01-01,6302A,2001-01-01
146,22.6,Minimas,6.4,01-01,6302A,2001-01-01
419,53.2,Máximas,16.3,01-01,5860E,1997-01-11
167,21.2,Minimas,8.4,01-01,5860E,1997-01-11
504,55.7,Máximas,11.8,01-01,B013X,1993-04-15
414,45.7,Minimas,2.1,01-01,B013X,1993-04-15
646,54.9,Máximas,12.8,01-01,1484C,1985-10-01
538,45.7,Minimas,6.5,01-01,1484C,1985-10-01
836,32.3,Máximas,11.9,01-01,8175,1939-12-01
1276,49.4,Minimas,-0.3,01-01,8175,1939-12-01
1114,42.5,Máximas,8,01-01,2661,1938-01-01
699,26.6,Minimas,1.1,01-01,2661,1938-01-01
1687,52.8,Máximas,9.4,01-01,3195,1920-01-01
1027,32.2,Minimas,3.8,01-01,3195,1920-01-01
81,24,Máximas,11.7,01-01,9263X,2010-03-19
86,25.4,Minimas,2.9,01-01,9263X,2010-03-19
93,23.4,Máximas,22.3,01-01,C229J,1993-02-01
23,5.8,Minimas,18.6,01-01,C229J,1993-02-01
150,27.5,Máximas,19,01-01,8416Y,1994-07-02
255,46.7,Minimas,7.7,01-01,8416Y,1994-07-02
303,47.4,Máximas,11.6,01-01,5390Y,2000-01-01
151,23.6,Minimas,5.3,01-01,5390Y,2000-01-01
321,35.9,Máximas,10.7,01-01,2916A,1991-10-23
547,61.2,Minimas,-1.1,01-01,2916A,1991-10-23
595,58.3,Máximas,8,01-01,2775X,1988-12-17
210,20.6,Minimas,2.5,01-01,2775X,1988-12-17
429,42.3,Máximas,8.6,01-01,2374X,1988-12-03
255,25.1,Minimas,0.9,01-01,2374X,1988-12-03
900,45,Máximas,8.9,01-01,3013,1949-09-01
730,36.5,Minimas,-1.5,01-01,3013,1949-09-01
1064,36.9,Máximas,13.9,01-01,1387,1930-10-01
671,23.3,Minimas,9.9,01-01,1387,1930-10-01
101,33,Máximas,15.1,01-01,0372C,2013-03-08
91,29.7,Minimas,2.5,01-01,0372C,2013-03-08
265,49.3,Máximas,10.2,01-01,1735X,2001-02-22
363,67.6,Minimas,-2.5,01-01,1735X,2001-02-22
524,79.3,Máximas,10.2,01-01,3434X,2001-09-22
188,28.4,Minimas,4.7,01-01,3434X,2001-09-22
537,70.1,Máximas,11.9,01-01,1473A,1994-01-01
350,45.7,Minimas,5.4,01-01,1473A,1994-01-01
184,24.4,Máximas,11.5,01-01,9244X,1992-02-04
324,43,Minimas,2.1,01-01,9244X,1992-02-04
483,33.9,Máximas,16.5,01-01,B228,1978-01-01
500,35.1,Minimas,9.3,01-01,B228,1978-01-01
394,27.6,Máximas,11,01-01,9091O,1976-01-01
718,50.4,Minimas,0.9,01-01,9091O,1976-01-01
302,15.2,Máximas,17.7,01-01,5973,1935-11-01
419,21,Minimas,12.3,01-01,5973,1935-11-01
1060,43.8,Máximas,10.6,01-01,3196,1945-05-01
914,37.8,Minimas,2.5,01-01,3196,1945-05-01
102,4.1,Máximas,21.4,01-01,6155A,1942-05-01
28,1.1,Minimas,14.1,01-01,6155A,1942-05-01
277,46.8,Máximas,14.3,01-01,7247X,2004-01-14
277,46.8,Minimas,2.3,01-01,7247X,2004-01-14
129,16.3,Máximas,17,01-01,1041A,1997-04-01
230,29.2,Minimas,8.5,01-01,1041A,1997-04-01
516,58.6,Máximas,11.9,01-01,1475X,1994-01-01
351,39.8,Minimas,6,01-01,1475X,1994-01-01
372,36.1,Máximas,9.6,01-01,3130C,1984-10-01
432,41.9,Minimas,-1.6,01-01,3130C,1984-10-01
697,56.2,Máximas,7.8,01-01,3191E,1978-01-01
639,51.6,Minimas,1.8,01-01,3191E,1978-01-01
604,39.8,Máximas,16,01-01,B278,1972-08-01
838,55.2,Minimas,3,01-01,B278,1972-08-01
243,13.4,Máximas,17.9,01-01,5402,1959-04-01
712,39.3,Minimas,5,01-01,5402,1959-04-01
441,28.3,Máximas,12.7,01-01,9619,1928-09-01
663,39,Minimas,-2.2,01-01,9619,1928-09-01
