cod_ine,cod_region_iso,nom_region_iso,indicativo,nom_mun,prov_isla,tmed,tmax,calor,anomalia_tmax,tmin,frio,anomalia_tmin,fecha,hora,nombre_clean
37077,673701,Meseta de Salamanca,2867,"Campo de Peñaranda, El",Salamanca,5.85,11.1,no hace calor,"-1,4",0.6,hace frío,"-1,6",2024-03-05,20:30:00,Salamanca Aeropuerto
37078,673702,Sistema Central de Salamanca,2491C,Candelario,Salamanca,-1.7,1.1,no hace calor,"-2,7",-4.5,hace frío,"-1,8",2024-03-05,20:30:00,"La Covatilla, Estación de Esquí"
37079,673701,Meseta de Salamanca,2870,Canillas de Abajo,Salamanca,8,12.2,no hace calor,"-0,7",3.8,más cálida de lo normal,"+0,4",2024-03-05,20:30:00,Salamanca
37080,673702,Sistema Central de Salamanca,2491C,Cantagallo,Salamanca,-1.7,1.1,no hace calor,"-2,7",-4.5,hace frío,"-1,8",2024-03-05,20:30:00,"La Covatilla, Estación de Esquí"
37081,673701,Meseta de Salamanca,2867,Cantalapiedra,Salamanca,5.85,11.1,no hace calor,"-1,4",0.6,hace frío,"-1,6",2024-03-05,20:30:00,Salamanca Aeropuerto
37082,673701,Meseta de Salamanca,2867,Cantalpino,Salamanca,5.85,11.1,no hace calor,"-1,4",0.6,hace frío,"-1,6",2024-03-05,20:30:00,Salamanca Aeropuerto
37083,673701,Meseta de Salamanca,2867,Cantaracillo,Salamanca,5.85,11.1,no hace calor,"-1,4",0.6,hace frío,"-1,6",2024-03-05,20:30:00,Salamanca Aeropuerto
37085,673701,Meseta de Salamanca,2870,Carbajosa de la Sagrada,Salamanca,8,12.2,no hace calor,"-0,7",3.8,más cálida de lo normal,"+0,4",2024-03-05,20:30:00,Salamanca
37086,673701,Meseta de Salamanca,2946X,Carpio de Azaba,Salamanca,7.8,13,hace calor,"+1,1",2.6,el frío es normal,"+0,2",2024-03-05,20:30:00,Saelices El Chico
37087,673701,Meseta de Salamanca,2870,Carrascal de Barregas,Salamanca,8,12.2,no hace calor,"-0,7",3.8,más cálida de lo normal,"+0,4",2024-03-05,20:30:00,Salamanca
37088,673701,Meseta de Salamanca,2870,Carrascal del Obispo,Salamanca,8,12.2,no hace calor,"-0,7",3.8,más cálida de lo normal,"+0,4",2024-03-05,20:30:00,Salamanca
37089,673702,Sistema Central de Salamanca,2491C,Casafranca,Salamanca,-1.7,1.1,no hace calor,"-2,7",-4.5,hace frío,"-1,8",2024-03-05,20:30:00,"La Covatilla, Estación de Esquí"
37090,673703,Sur de Salamanca,2491C,"Casas del Conde, Las",Salamanca,-1.7,1.1,no hace calor,"-2,7",-4.5,hace frío,"-1,8",2024-03-05,20:30:00,"La Covatilla, Estación de Esquí"
37091,673701,Meseta de Salamanca,2946X,Casillas de Flores,Salamanca,7.8,13,hace calor,"+1,1",2.6,el frío es normal,"+0,2",2024-03-05,20:30:00,Saelices El Chico
37092,673701,Meseta de Salamanca,2870,Castellanos de Moriscos,Salamanca,8,12.2,no hace calor,"-0,7",3.8,más cálida de lo normal,"+0,4",2024-03-05,20:30:00,Salamanca
37096,673701,Meseta de Salamanca,2946X,Castillejo de Martín Viejo,Salamanca,7.8,13,hace calor,"+1,1",2.6,el frío es normal,"+0,2",2024-03-05,20:30:00,Saelices El Chico
37097,673701,Meseta de Salamanca,2946X,Castraz,Salamanca,7.8,13,hace calor,"+1,1",2.6,el frío es normal,"+0,2",2024-03-05,20:30:00,Saelices El Chico
37098,673703,Sur de Salamanca,2491C,Cepeda,Salamanca,-1.7,1.1,no hace calor,"-2,7",-4.5,hace frío,"-1,8",2024-03-05,20:30:00,"La Covatilla, Estación de Esquí"
37099,673702,Sistema Central de Salamanca,2491C,Cereceda de la Sierra,Salamanca,-1.7,1.1,no hace calor,"-2,7",-4.5,hace frío,"-1,8",2024-03-05,20:30:00,"La Covatilla, Estación de Esquí"
