cod_ine,cod_region_iso,nom_region_iso,indicativo,nom_mun,prov_isla,tmed,tmax,calor,anomalia_tmax,tmin,frio,anomalia_tmin,fecha,hora,nombre_clean
36029,713601,Rías Baixas,1495,Moaña,Pontevedra,8.850000000000001,12.3,no hace calor,"-1,3",5.4,hace frío,"-1,6",2024-03-05,20:30:00,Vigo Aeropuerto
36030,713603,Miño de Pontevedra,1495,Mondariz,Pontevedra,8.850000000000001,12.3,no hace calor,"-1,3",5.4,hace frío,"-1,6",2024-03-05,20:30:00,Vigo Aeropuerto
36031,713603,Miño de Pontevedra,1495,Mondariz-Balneario,Pontevedra,8.850000000000001,12.3,no hace calor,"-1,3",5.4,hace frío,"-1,6",2024-03-05,20:30:00,Vigo Aeropuerto
36032,713602,Interior de Ponteve,1484C,Moraña,Pontevedra,9.95,14.5,el calor es normal,"+0,1",5.4,hace mucho frío,-2,2024-03-05,20:30:00,Pontevedra
36033,713601,Rías Baixas,1495,Mos,Pontevedra,8.850000000000001,12.3,no hace calor,"-1,3",5.4,hace frío,"-1,6",2024-03-05,20:30:00,Vigo Aeropuerto
36034,713603,Miño de Pontevedra,1495,"Neves, As",Pontevedra,8.850000000000001,12.3,no hace calor,"-1,3",5.4,hace frío,"-1,6",2024-03-05,20:30:00,Vigo Aeropuerto
36035,713601,Rías Baixas,1495,Nigrán,Pontevedra,8.850000000000001,12.3,no hace calor,"-1,3",5.4,hace frío,"-1,6",2024-03-05,20:30:00,Vigo Aeropuerto
36036,713601,Rías Baixas,1495,Oia,Pontevedra,8.850000000000001,12.3,no hace calor,"-1,3",5.4,hace frío,"-1,6",2024-03-05,20:30:00,Vigo Aeropuerto
36037,713601,Rías Baixas,1495,Pazos de Borbén,Pontevedra,8.850000000000001,12.3,no hace calor,"-1,3",5.4,hace frío,"-1,6",2024-03-05,20:30:00,Vigo Aeropuerto
36038,713601,Rías Baixas,1484C,Pontevedra,Pontevedra,9.95,14.5,el calor es normal,"+0,1",5.4,hace mucho frío,-2,2024-03-05,20:30:00,Pontevedra
