fecha,indicativo,nombre_completo,provincia_clean,tmin,tmin_median,anomalia,anomalia_positiva,anomalia_negativa,texto_anomalia,texto_fecha,tipo_anomalia,color_anomalia
2024-03-01,2462,Puerto de Navacerrada (Madrid),Madrid,-6.4,-2.7,-3.7,-2.7,-6.4,"-3,7", 1 mar.,▼,#2171b5
2024-03-02,2462,Puerto de Navacerrada (Madrid),Madrid,-5.5,-2.9,-2.6,-2.9,-5.5,"-2,6", 2 mar.,▼,#2171b5
2024-03-02,3111D,Somosierra (Madrid),Madrid,NA,0.3,NA,NA,NA,NA, 2 mar.,NA,NA
2024-03-02,3195,"Madrid, Retiro (Madrid)",Madrid,2.3,4.2,-1.9,4.2,2.3,"-1,9", 2 mar.,▼,#2171b5
2024-03-02,3191E,Colmenar Viejo (Madrid),Madrid,1,3,-2,3,1,-2, 2 mar.,▼,#2171b5
2024-03-02,3100B,Aranjuez (Madrid),Madrid,0.5,2.8,-2.3,2.8,0.5,"-2,3", 2 mar.,▼,#2171b5
2024-03-02,3266A,Puerto Alto del León (Madrid),Madrid,-4,0.2,-4.2,0.2,-4,"-4,2", 2 mar.,▼,#2171b5
2024-03-02,3110C,Buitrago del Lozoya (Madrid),Madrid,0.4,-0.5,0.9,0.4,-0.5,"+0,9", 2 mar.,▲,#cb181d
2024-03-02,3194U,"Madrid, Ciudad Universitaria (Madrid)",Madrid,NA,4.1,NA,NA,NA,NA, 2 mar.,NA,NA
2024-03-02,3129,Madrid Aeropuerto (Madrid),Madrid,2,2,0,2,2,0, 2 mar.,▼,#2171b5
2024-03-03,2462,Puerto de Navacerrada (Madrid),Madrid,-6.7,-2,-4.7,-2,-6.7,"-4,7", 3 mar.,▼,#2171b5
2024-03-03,3111D,Somosierra (Madrid),Madrid,-4.5,0.3,-4.8,0.3,-4.5,"-4,8", 3 mar.,▼,#2171b5
2024-03-03,3195,"Madrid, Retiro (Madrid)",Madrid,2.5,5.5,-3,5.5,2.5,-3, 3 mar.,▼,#2171b5
2024-03-03,3191E,Colmenar Viejo (Madrid),Madrid,-0.3,3.3,-3.6,3.3,-0.3,"-3,6", 3 mar.,▼,#2171b5
