fecha,indicativo,nombre_completo,provincia_clean,tmax,tmax_median,anomalia,anomalia_positiva,anomalia_negativa,texto_anomalia,texto_fecha,tipo_anomalia,color_anomalia
2024-03-04,3129,Madrid Aeropuerto (Madrid),Madrid,14.2,13.7,0.5,14.2,13.7,"+0,5", 4 mar.,▲,#cb181d
2024-03-05,2462,Puerto de Navacerrada (Madrid),Madrid,3.1,4.4,-1.3,4.4,3.1,"-1,3", 5 mar.,▼,#2171b5
2024-03-05,3111D,Somosierra (Madrid),Madrid,6.4,4.2,2.2,6.4,4.2,"+2,2", 5 mar.,▲,#cb181d
2024-03-05,3195,"Madrid, Retiro (Madrid)",Madrid,13.7,13.2,0.5,13.7,13.2,"+0,5", 5 mar.,▲,#cb181d
2024-03-05,3191E,Colmenar Viejo (Madrid),Madrid,10.9,11,-0.1,11,10.9,"-0,1", 5 mar.,▼,#2171b5
2024-03-05,3100B,Aranjuez (Madrid),Madrid,14.7,14.9,-0.2,14.9,14.7,"-0,2", 5 mar.,▼,#2171b5
2024-03-05,3266A,Puerto Alto del León (Madrid),Madrid,4.5,3.8,0.7,4.5,3.8,"+0,7", 5 mar.,▲,#cb181d
2024-03-05,3110C,Buitrago del Lozoya (Madrid),Madrid,11.6,9.4,2.2,11.6,9.4,"+2,2", 5 mar.,▲,#cb181d
2024-03-05,3194U,"Madrid, Ciudad Universitaria (Madrid)",Madrid,NA,14.9,NA,NA,NA,NA, 5 mar.,NA,NA
2024-03-05,3129,Madrid Aeropuerto (Madrid),Madrid,14.2,14.7,-0.5,14.7,14.2,"-0,5", 5 mar.,▼,#2171b5
2024-03-06,2462,Puerto de Navacerrada (Madrid),Madrid,5.9,3.8,2.1,5.9,3.8,"+2,1", 6 mar.,▲,#cb181d
2024-03-06,3111D,Somosierra (Madrid),Madrid,8.6,4.4,4.2,8.6,4.4,"+4,2", 6 mar.,▲,#cb181d
2024-03-06,3195,"Madrid, Retiro (Madrid)",Madrid,NA,13.6,NA,NA,NA,NA, 6 mar.,NA,NA
2024-03-06,3191E,Colmenar Viejo (Madrid),Madrid,11.5,12,-0.5,12,11.5,"-0,5", 6 mar.,▼,#2171b5
2024-03-06,3100B,Aranjuez (Madrid),Madrid,16.5,15.6,0.9,16.5,15.6,"+0,9", 6 mar.,▲,#cb181d
2024-03-06,3266A,Puerto Alto del León (Madrid),Madrid,6.2,4.7,1.5,6.2,4.7,"+1,5", 6 mar.,▲,#cb181d
2024-03-06,3110C,Buitrago del Lozoya (Madrid),Madrid,12.2,11.2,1,12.2,11.2,+1, 6 mar.,▲,#cb181d
2024-03-06,3194U,"Madrid, Ciudad Universitaria (Madrid)",Madrid,NA,15.2,NA,NA,NA,NA, 6 mar.,NA,NA
2024-03-06,3129,Madrid Aeropuerto (Madrid),Madrid,15.3,14.5,0.8,15.3,14.5,"+0,8", 6 mar.,▲,#cb181d
2024-03-07,3111D,Somosierra (Madrid),Madrid,5.7,6.7,-1,6.7,5.7,-1, 7 mar.,▼,#2171b5
2024-03-07,3195,"Madrid, Retiro (Madrid)",Madrid,NA,15.8,NA,NA,NA,NA, 7 mar.,NA,NA
2024-03-07,3191E,Colmenar Viejo (Madrid),Madrid,9.3,12.8,-3.5,12.8,9.3,"-3,5", 7 mar.,▼,#2171b5
2024-03-07,3100B,Aranjuez (Madrid),Madrid,14.1,16.9,-2.8,16.9,14.1,"-2,8", 7 mar.,▼,#2171b5
2024-03-07,3266A,Puerto Alto del León (Madrid),Madrid,2.2,6.5,-4.3,6.5,2.2,"-4,3", 7 mar.,▼,#2171b5
2024-03-07,3110C,Buitrago del Lozoya (Madrid),Madrid,10.3,13.1,-2.8,13.1,10.3,"-2,8", 7 mar.,▼,#2171b5
2024-03-07,3194U,"Madrid, Ciudad Universitaria (Madrid)",Madrid,NA,15.9,NA,NA,NA,NA, 7 mar.,NA,NA
2024-03-07,3129,Madrid Aeropuerto (Madrid),Madrid,13.1,16.3,-3.2,16.3,13.1,"-3,2", 7 mar.,▼,#2171b5
2024-03-07,2462,Puerto de Navacerrada (Madrid),Madrid,0.8,4.8,-4,4.8,0.8,-4, 7 mar.,▼,#2171b5
2024-03-08,2462,Puerto de Navacerrada (Madrid),Madrid,-1,5.6,-6.6,5.6,-1,"-6,6", 8 mar.,▼,#2171b5
2024-03-08,3111D,Somosierra (Madrid),Madrid,3.9,8.7,-4.8,8.7,3.9,"-4,8", 8 mar.,▼,#2171b5
2024-03-08,3195,"Madrid, Retiro (Madrid)",Madrid,10.8,16,-5.2,16,10.8,"-5,2", 8 mar.,▼,#2171b5
2024-03-08,3191E,Colmenar Viejo (Madrid),Madrid,6.5,13.9,-7.4,13.9,6.5,"-7,4", 8 mar.,▼,#2171b5
2024-03-08,3100B,Aranjuez (Madrid),Madrid,12.2,18.2,-6,18.2,12.2,-6, 8 mar.,▼,#2171b5
2024-03-08,3266A,Puerto Alto del León (Madrid),Madrid,2.8,7.3,-4.5,7.3,2.8,"-4,5", 8 mar.,▼,#2171b5
2024-03-08,3110C,Buitrago del Lozoya (Madrid),Madrid,9.4,14.7,-5.3,14.7,9.4,"-5,3", 8 mar.,▼,#2171b5
