fecha,indicativo,nombre_completo,provincia_clean,tmax,tmax_median,anomalia,anomalia_positiva,anomalia_negativa,texto_anomalia,texto_fecha,tipo_anomalia,color_anomalia
2024-02-20,2630X,Puerto de San Isidro (León),León,16.6,5.3,11.3,16.6,5.3,"+11,3",20 feb.,▲,#cb181d
2024-02-20,2737E,Lagunas de Somoza (León),León,NA,9.5,NA,NA,NA,NA,20 feb.,NA,NA
2024-02-20,2661,"León, Virgen del Camino (León)",León,16.4,10.6,5.8,16.4,10.6,"+5,8",20 feb.,▲,#cb181d
2024-02-20,1549,Ponferrada (León),León,18,13.6,4.4,18,13.6,"+4,4",20 feb.,▲,#cb181d
2024-02-21,2630X,Puerto de San Isidro (León),León,9.4,4.4,5,9.4,4.4,+5,21 feb.,▲,#cb181d
2024-02-21,2737E,Lagunas de Somoza (León),León,NA,10.2,NA,NA,NA,NA,21 feb.,NA,NA
2024-02-21,2661,"León, Virgen del Camino (León)",León,12.2,10,2.2,12.2,10,"+2,2",21 feb.,▲,#cb181d
2024-02-21,1549,Ponferrada (León),León,16.2,14.2,2,16.2,14.2,+2,21 feb.,▲,#cb181d
2024-02-22,2630X,Puerto de San Isidro (León),León,10.5,4.8,5.7,10.5,4.8,"+5,7",22 feb.,▲,#cb181d
2024-02-22,2737E,Lagunas de Somoza (León),León,NA,10.4,NA,NA,NA,NA,22 feb.,NA,NA
