cod_mun,municipio,provincia,Alemania,EE.UU.,Francia,Italia,Otros,Países Bajos,Reino Unido,turistas
40077,Espirdo,Segovia,0.0,0.0,0.0,0.0,0.0,33.0,0.0,33.0
40092,Fuentidueña,Segovia,0.0,0.0,97.0,0.0,0.0,181.0,0.0,278.0
40112,"Lastrilla, La",Segovia,0.0,37.0,40.0,0.0,38.0,0.0,0.0,115.0
40115,Maderuelo,Segovia,0.0,0.0,41.0,0.0,0.0,0.0,0.0,41.0
40134,Mozoncillo,Segovia,64.0,0.0,0.0,0.0,301.0,35.0,0.0,400.0
40138,Nava de la Asunción,Segovia,0.0,0.0,357.0,0.0,349.0,41.0,0.0,747.0
40139,Navafría,Segovia,0.0,0.0,37.0,0.0,0.0,0.0,0.0,37.0
40140,Navalilla,Segovia,0.0,0.0,0.0,0.0,37.0,0.0,0.0,37.0
40141,Navalmanzano,Segovia,0.0,0.0,0.0,0.0,35.0,0.0,0.0,35.0
40145,Navas de Oro,Segovia,0.0,0.0,0.0,0.0,34.0,0.0,0.0,34.0
40146,Navas de San Antonio,Segovia,0.0,0.0,0.0,0.0,259.0,0.0,0.0,259.0
40152,Otero de Herreros,Segovia,0.0,0.0,0.0,0.0,109.0,0.0,48.0,157.0
40155,Palazuelos de Eresma,Segovia,0.0,0.0,404.0,0.0,0.0,271.0,0.0,675.0
40156,Pedraza,Segovia,0.0,0.0,37.0,0.0,80.0,0.0,0.0,117.0
40161,Carabias,Segovia,0.0,0.0,40.0,0.0,0.0,0.0,0.0,40.0
40162,Prádena,Segovia,0.0,0.0,0.0,0.0,0.0,34.0,0.0,34.0
40170,Riaza,Segovia,0.0,0.0,50.0,0.0,0.0,33.0,0.0,83.0
40181,Real Sitio de San Ildefonso,Segovia,70.0,315.0,801.0,56.0,503.0,409.0,193.0,2347.0
40185,Santa María la Real de Nieva,Segovia,0.0,0.0,139.0,0.0,0.0,0.0,0.0,139.0
40191,Santo Tomé del Puerto,Segovia,427.0,0.0,1088.0,245.0,674.0,260.0,30.0,2724.0
40194,Segovia,Segovia,3036.0,4062.0,6188.0,1677.0,20666.0,2573.0,2519.0,40721.0
40195,Sepúlveda,Segovia,0.0,0.0,436.0,0.0,0.0,202.0,0.0,638.0
40198,Sotillo,Segovia,62.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0
40205,Torreiglesias,Segovia,0.0,0.0,0.0,0.0,30.0,0.0,0.0,30.0
40206,Torre Val de San Pedro,Segovia,0.0,0.0,0.0,0.0,35.0,0.0,0.0,35.0
40208,Turégano,Segovia,0.0,0.0,0.0,0.0,53.0,0.0,0.0,53.0
40216,Valverde del Majano,Segovia,0.0,0.0,30.0,0.0,0.0,0.0,0.0,30.0
40223,Vegas de Matute,Segovia,0.0,0.0,0.0,34.0,36.0,0.0,0.0,70.0
40225,Villacastín,Segovia,62.0,0.0,666.0,35.0,1283.0,183.0,0.0,2229.0
41002,Alanís,Sevilla,0.0,0.0,31.0,0.0,0.0,142.0,0.0,173.0
41004,Alcalá de Guadaíra,Sevilla,21689.0,1413.0,6032.0,1409.0,11831.0,2931.0,2011.0,47316.0
41005,Alcalá del Río,Sevilla,498.0,0.0,589.0,0.0,0.0,325.0,97.0,1509.0
41007,"Algaba, La",Sevilla,74.0,0.0,352.0,0.0,934.0,0.0,43.0,1403.0
41008,Algámitas,Sevilla,0.0,0.0,0.0,0.0,0.0,0.0,61.0,61.0
41009,Almadén de la Plata,Sevilla,0.0,0.0,32.0,0.0,88.0,181.0,0.0,301.0
41010,Almensilla,Sevilla,0.0,0.0,104.0,0.0,0.0,0.0,0.0,104.0
41011,Arahal,Sevilla,510.0,900.0,702.0,0.0,435.0,520.0,357.0,3424.0
41012,Aznalcázar,Sevilla,113.0,0.0,577.0,0.0,165.0,274.0,224.0,1353.0
41013,Aznalcóllar,Sevilla,0.0,0.0,32.0,0.0,0.0,128.0,0.0,160.0
41015,Benacazón,Sevilla,30.0,0.0,310.0,0.0,785.0,62.0,0.0,1187.0
41016,Bollullos de la Mitación,Sevilla,264.0,0.0,962.0,0.0,135.0,342.0,794.0,2497.0
41017,Bormujos,Sevilla,660.0,203.0,1664.0,252.0,2189.0,789.0,699.0,6456.0
41018,Brenes,Sevilla,83.0,0.0,0.0,0.0,0.0,103.0,0.0,186.0
41020,"Cabezas de San Juan, Las",Sevilla,407.0,0.0,1284.0,0.0,749.0,671.0,129.0,3240.0
41021,Camas,Sevilla,862.0,187.0,1771.0,355.0,4131.0,1256.0,648.0,9210.0
